artist,song_name,golden_label,golden_dist,base1_dist,base2_dist,ours_dist
이영현,그 겨울,그리움,"[0.6111, 0.2222, 0.0, 0.0278, 0.0, 0.1389]",[0.6521 0.055  0.0255 0.0119 0.1122 0.1433],[0.5699 0.0617 0.0472 0.0141 0.1255 0.1816],"[0.6111, 0.1944, 0.0, 0.0, 0.0, 0.1944]"
정준일,하루만큼 하루만 더,그리움,"[0.3, 0.1, 0.0, 0.15, 0.05, 0.4]",[0.2695 0.1563 0.0776 0.019  0.2898 0.1878],[0.3357 0.0737 0.0505 0.0199 0.3233 0.1968],"[0.4, 0.05, 0.0, 0.0, 0.2, 0.35]"
로이킴,그냥 그때,그리움,"[0.4118, 0.0, 0.0, 0.1176, 0.3529, 0.1176]",[0.4051 0.0351 0.0156 0.0195 0.1402 0.3844],[0.4529 0.0413 0.0205 0.0129 0.1612 0.3112],"[0.1176, 0.2353, 0.0, 0.1176, 0.3529, 0.1765]"
빌리어코스티,그 겨울의 우리,그리움,"[0.375, 0.5625, 0.0, 0.0, 0.0, 0.0625]",[0.3998 0.0588 0.022  0.0143 0.2829 0.2222],[0.4538 0.0566 0.0313 0.0121 0.1971 0.2491],"[0.4375, 0.1875, 0.0, 0.0, 0.0, 0.375]"
박지윤,겨울이 온다,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4272 0.0296 0.0152 0.0143 0.2243 0.2893],[0.3411 0.0337 0.0297 0.0158 0.3576 0.2221],"[0.25, 0.0, 0.0, 0.0, 0.25, 0.5]"
서영은,Don′t Say Good bye,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.7125 0.038  0.0196 0.0176 0.1052 0.1072],[0.4712 0.0622 0.0381 0.0133 0.2141 0.2011],"[0.3333, 0.0, 0.0, 0.0, 0.6667, 0.0]"
소울라이츠(Soulights),극야 (極夜),그리움,"[0.6, 0.0, 0.0, 0.0, 0.0667, 0.3333]",[0.4212 0.0248 0.0127 0.0166 0.1692 0.3555],[0.3414 0.0218 0.0132 0.013  0.2198 0.3908],"[0.1333, 0.0, 0.0, 0.0, 0.2, 0.6667]"
유재하,사랑하기 때문에,그리움,"[0.2143, 0.7143, 0.0, 0.0, 0.0, 0.0714]",[0.6228 0.0762 0.0252 0.0143 0.1192 0.1424],[0.4808 0.0744 0.0277 0.0121 0.152  0.253 ],"[0.2857, 0.2857, 0.0, 0.0, 0.0714, 0.3571]"
너드커넥션(Nerd Connection),좋은 밤 좋은 꿈,그리움,"[0.2857, 0.4286, 0.1429, 0.0, 0.0, 0.1429]",[0.4026 0.0921 0.0297 0.0161 0.1893 0.2703],[0.4405 0.1197 0.036  0.0124 0.16   0.2315],"[0.5714, 0.1429, 0.0, 0.0, 0.0, 0.2857]"
아이유(IU),아이와 나의 바다,그리움,"[0.2857, 0.2143, 0.1429, 0.1429, 0.0, 0.2143]",[0.3793 0.0577 0.0212 0.0152 0.2523 0.2742],[0.4163 0.0476 0.0236 0.013  0.2088 0.2908],"[0.2143, 0.0714, 0.2143, 0.0, 0.2857, 0.2143]"
수지 (Suzy),행복한 척,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.5514 0.0836 0.0556 0.0178 0.1342 0.1573],[0.3466 0.0623 0.028  0.0181 0.2838 0.2613],"[0.3333, 0.0, 0.0, 0.0, 0.3333, 0.3333]"
김광석,불행아,그리움,"[0.2, 0.0, 0.0, 0.0667, 0.2, 0.5333]",[0.5952 0.1212 0.0548 0.0163 0.1105 0.1021],[0.4986 0.1071 0.0457 0.012  0.1652 0.1714],"[0.2, 0.0, 0.0, 0.0, 0.2, 0.6]"
로꼬,귀가,그리움,"[0.3333, 0.1667, 0.0, 0.3333, 0.1667, 0.0]",[0.4021 0.0291 0.0169 0.012  0.2809 0.259 ],[0.2976 0.0252 0.0216 0.0167 0.3887 0.2502],"[0.0833, 0.0833, 0.1667, 0.0833, 0.4167, 0.1667]"
가을방학,가끔 미치도록 네가 안고 싶어질 때가 있어,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.3022 0.1192 0.0909 0.0179 0.3074 0.1625],[0.3622 0.1524 0.1444 0.0181 0.2038 0.1191],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
백예린 (Yerin Baek),돌아가자,그리움,"[0.8333, 0.0833, 0.0, 0.0, 0.0833, 0.0]",[0.5803 0.0376 0.0193 0.0114 0.1687 0.1827],[0.5005 0.0425 0.0219 0.0119 0.1555 0.2678],"[0.5833, 0.0, 0.0, 0.1667, 0.1667, 0.0833]"
오왠(O.WHEN),그대로,그리움,"[0.52, 0.44, 0.0, 0.0, 0.04, 0.0]",[0.3586 0.2082 0.0652 0.0169 0.1951 0.1559],[0.2319 0.4925 0.0624 0.0137 0.1005 0.0991],"[0.44, 0.28, 0.0, 0.08, 0.16, 0.04]"
검정치마,"기다린 만큼, 더",그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.3418 0.0444 0.0226 0.0172 0.2285 0.3455],[0.378  0.0299 0.0222 0.0134 0.2321 0.3244],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
제휘,Dear Moon,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.1189 0.0832 0.2111 0.1594 0.3755 0.052 ],[0.209  0.1301 0.1933 0.0895 0.3237 0.0544],"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5]"
혁오 (HYUKOH),LOVE YA!,그리움,"[0.3333, 0.6667, 0.0, 0.0, 0.0, 0.0]",[0.0601 0.1182 0.0815 0.5651 0.1415 0.0336],[0.0759 0.0969 0.0633 0.5778 0.1491 0.0369],"[0.0, 0.2222, 0.2778, 0.1111, 0.0, 0.3889]"
Crush,어떻게 지내,그리움,"[0.5556, 0.2222, 0.0, 0.0, 0.1111, 0.1111]",[0.3355 0.1195 0.052  0.0132 0.3716 0.1082],[0.3006 0.1263 0.1038 0.0239 0.3347 0.1106],"[0.4444, 0.0556, 0.0, 0.0, 0.3333, 0.1667]"
AKMU(악뮤),작별 인사,그리움,"[0.3333, 0.3333, 0.1667, 0.1667, 0.0, 0.0]",[0.6208 0.0386 0.0191 0.018  0.1565 0.147 ],[0.5299 0.0339 0.0256 0.0119 0.1687 0.2299],"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ROLE MODEL,hello!,그리움,"[0.1818, 0.2727, 0.0909, 0.1818, 0.1818, 0.0909]",[0.0768 0.1863 0.1703 0.2969 0.2334 0.0362],[0.1216 0.181  0.1305 0.3391 0.1891 0.0387],"[0.0, 0.0909, 0.1818, 0.1818, 0.0909, 0.4545]"
멜로망스(MeloMance),My Dream,그리움,"[0.3636, 0.1818, 0.0, 0.0, 0.0, 0.4545]",[0.6123 0.0315 0.015  0.0161 0.0917 0.2334],[0.4561 0.0287 0.0155 0.0129 0.1596 0.3273],"[0.1818, 0.1818, 0.0, 0.0, 0.0, 0.6364]"
오왠(O.WHEN),오늘,그리움,"[0.1875, 0.0625, 0.0, 0.25, 0.125, 0.375]",[0.1752 0.0415 0.0218 0.0131 0.5773 0.1711],[0.1821 0.0325 0.031  0.0321 0.5115 0.2107],"[0.1875, 0.0625, 0.0, 0.3125, 0.125, 0.3125]"
blah,웃음을 지어도,그리움,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.2]",[0.6291 0.0494 0.0197 0.02   0.0808 0.201 ],[0.4291 0.058  0.0222 0.0123 0.1664 0.312 ],"[0.6, 0.1, 0.0, 0.0, 0.0, 0.3]"
이준형,Sleep,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.072  0.163  0.1287 0.4011 0.2028 0.0324],[0.1242 0.1593 0.1093 0.3678 0.2001 0.0392],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
데이먼스 이어(Damons year),Mondegreen,그리움,"[0.1538, 0.5385, 0.0, 0.0, 0.0, 0.3077]",[0.3376 0.2319 0.0546 0.019  0.1638 0.1931],[0.4194 0.1568 0.0465 0.0142 0.1361 0.2269],"[0.1538, 0.4615, 0.0, 0.0, 0.0, 0.3846]"
정오월,연화 (年華),그리움,"[0.3571, 0.1429, 0.0, 0.0, 0.1429, 0.3571]",[0.468  0.0268 0.0131 0.0168 0.1403 0.3349],[0.4471 0.0302 0.0182 0.0133 0.1676 0.3236],"[0.5, 0.0, 0.0, 0.0, 0.2857, 0.2143]"
Slowcity,왜냐하면 나는 널,그리움,"[0.0, 0.2, 0.0, 0.0, 0.4, 0.4]",[0.2392 0.0265 0.017  0.0133 0.3532 0.3508],[0.3364 0.0284 0.0191 0.0127 0.2489 0.3545],"[0.0, 0.2, 0.2, 0.0, 0.2, 0.4]"
검정치마,Min (미는 남자),그리움,"[0.5333, 0.4, 0.0, 0.0667, 0.0, 0.0]",[0.1972 0.5041 0.1484 0.0549 0.0517 0.0437],[0.0332 0.3818 0.5091 0.032  0.0312 0.0127],"[0.2667, 0.2, 0.1333, 0.0667, 0.2667, 0.0667]"
밤마루,사랑이란 누구에게 상처받을지 정하는 거지,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4481 0.0291 0.0137 0.0139 0.2358 0.2594],[0.3774 0.0366 0.02   0.014  0.2723 0.2797],"[0.0, 0.0, 0.0, 0.0, 0.4, 0.6]"
stayoung,편지,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.426  0.0271 0.0159 0.0135 0.2571 0.2604],[0.4041 0.0361 0.03   0.0138 0.2848 0.2312],"[0.2, 0.0, 0.0, 0.0, 0.0, 0.8]"
하범석,내일 (Feat. 나상현씨밴드),그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.0729 0.0528 0.064  0.0169 0.6931 0.1004],[0.21   0.0905 0.1468 0.0424 0.4022 0.1081],"[0.0, 0.0, 0.0, 0.0, 0.3333, 0.6667]"
Tuesday Beach Club,Endless Shine,그리움,"[0.2667, 0.6, 0.0, 0.0667, 0.0, 0.0667]",[0.5456 0.0545 0.02   0.02   0.1233 0.2366],[0.4134 0.0499 0.0275 0.0133 0.1974 0.2984],"[0.3333, 0.4, 0.0, 0.0, 0.0, 0.2667]"
차세대,타이타닉,그리움,"[0.4444, 0.5556, 0.0, 0.0, 0.0, 0.0]",[0.6444 0.0441 0.0194 0.0137 0.1053 0.1731],[0.4772 0.0636 0.0366 0.0123 0.1901 0.2202],"[0.5556, 0.1111, 0.1111, 0.1111, 0.1111, 0.0]"
검은잎들,꽃을 주세요,그리움,"[0.3333, 0.3333, 0.0, 0.1667, 0.0833, 0.0833]",[0.3147 0.22   0.1284 0.0212 0.2168 0.0989],[0.2525 0.1517 0.196  0.0283 0.254  0.1175],"[0.3333, 0.3333, 0.0833, 0.0, 0.0, 0.25]"
케빈오(Kevin Oh),Crazy,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.0839 0.1167 0.0888 0.4733 0.1987 0.0386],[0.0769 0.1301 0.0969 0.4766 0.1878 0.0316],"[0.2, 0.0, 0.2, 0.2, 0.0, 0.4]"
카더가든,Stay,그리움,"[0.5, 0.25, 0.0, 0.1667, 0.0833, 0.0]",[0.1045 0.0773 0.0795 0.5831 0.1083 0.0473],[0.3069 0.0375 0.0365 0.019  0.385  0.215 ],"[0.0833, 0.3333, 0.0, 0.1667, 0.0, 0.4167]"
2단지,~,그리움,"[0.4444, 0.5556, 0.0, 0.0, 0.0, 0.0]",[0.5021 0.0975 0.0349 0.015  0.2069 0.1437],[0.4771 0.0759 0.0418 0.0121 0.1748 0.2183],"[0.7778, 0.0, 0.0, 0.0, 0.2222, 0.0]"
사공(Sagong),"노스텔지아, 노스텔지아!",그리움,"[0.5714, 0.1429, 0.1429, 0.0, 0.0, 0.1429]",[0.4068 0.198  0.0841 0.019  0.1325 0.1596],[0.4053 0.0926 0.0559 0.0146 0.2322 0.1994],"[0.5714, 0.0, 0.2857, 0.1429, 0.0, 0.0]"
김요일밴드,남겨진 날,그리움,"[0.4, 0.2, 0.0, 0.0, 0.2, 0.2]",[0.4381 0.035  0.018  0.0148 0.1904 0.3038],[0.4451 0.0396 0.0227 0.0127 0.1939 0.286 ],"[0.4, 0.0, 0.0, 0.0, 0.2, 0.4]"
이강승,Northwest side 48km,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.5113 0.049  0.0196 0.0153 0.1498 0.2549],[0.4263 0.0688 0.0226 0.0118 0.1858 0.2847],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
Woshi,별것 (with. 예빛),그리움,"[0.6, 0.2, 0.0, 0.2, 0.0, 0.0]",[0.5064 0.0948 0.1089 0.0188 0.1455 0.1256],[0.3418 0.1272 0.1833 0.0224 0.2372 0.088 ],"[0.3, 0.2, 0.0, 0.0, 0.1, 0.4]"
SAGA,춤추는 당신을 보았을 때,그리움,"[0.4706, 0.2353, 0.0, 0.1176, 0.0588, 0.1176]",[0.2403 0.032  0.0158 0.0281 0.1706 0.5131],[0.2893 0.033  0.0193 0.0136 0.256  0.3888],"[0.5294, 0.1765, 0.0, 0.1176, 0.0588, 0.1176]"
김뜻돌,꿈에서 걸려온 전화,그리움,"[0.2667, 0.2667, 0.1333, 0.1333, 0.0667, 0.1333]",[0.2452 0.047  0.0279 0.0134 0.4148 0.2517],[0.3047 0.0315 0.0211 0.0155 0.2745 0.3526],"[0.2667, 0.1333, 0.2667, 0.1333, 0.0, 0.2]"
hey1996,오랜만에 그대를 마주하게 되면서,그리움,"[0.3333, 0.5, 0.0, 0.1667, 0.0, 0.0]",[0.5414 0.043  0.0175 0.0176 0.147  0.2335],[0.4537 0.0357 0.0228 0.0122 0.181  0.2946],"[0.3333, 0.1667, 0.0, 0.1667, 0.0, 0.3333]"
n@di (나디),그 애가 떠난 밤에,그리움,"[0.4615, 0.3077, 0.0, 0.0, 0.1538, 0.0769]",[0.3593 0.0849 0.0368 0.0143 0.279  0.2257],[0.4819 0.0595 0.0272 0.012  0.1772 0.2422],"[0.3077, 0.1538, 0.0, 0.0, 0.2308, 0.3077]"
김동률,Replay,그리움,"[0.4, 0.2667, 0.0, 0.1333, 0.0, 0.2]",[0.5579 0.0305 0.0171 0.0104 0.2059 0.1781],[0.4738 0.0286 0.0187 0.0119 0.1816 0.2853],"[0.2667, 0.2, 0.0, 0.3333, 0.1333, 0.0667]"
김필(Kim Feel),"난, 너를",그리움,"[0.5333, 0.4667, 0.0, 0.0, 0.0, 0.0]",[0.4101 0.1614 0.0568 0.0246 0.1362 0.2109],[0.4777 0.1078 0.0366 0.0143 0.1305 0.2331],"[0.4667, 0.2, 0.0, 0.0, 0.1333, 0.2]"
빌리어코스티,사랑한다는 한마디,그리움,"[0.5625, 0.125, 0.0, 0.0, 0.0, 0.3125]",[0.5164 0.1198 0.0337 0.023  0.0951 0.212 ],[0.4842 0.0804 0.0337 0.0147 0.1427 0.2443],"[0.8125, 0.125, 0.0, 0.0, 0.0, 0.0625]"
아이유(IU),겨울잠,그리움,"[0.5625, 0.375, 0.0, 0.0, 0.0, 0.0625]",[0.2637 0.3298 0.158  0.0239 0.145  0.0795],[0.5048 0.1284 0.071  0.0118 0.1237 0.1603],"[0.4375, 0.1875, 0.125, 0.0, 0.0625, 0.1875]"
헤이즈(Heize),마지막 너의 인사,그리움,"[0.5455, 0.3636, 0.0, 0.0, 0.0, 0.0909]",[0.6254 0.0649 0.022  0.0155 0.1141 0.1581],[0.5016 0.0753 0.0299 0.013  0.1369 0.2433],"[0.5455, 0.3182, 0.0, 0.0, 0.0, 0.1364]"
정승환,눈사람,그리움,"[0.4375, 0.4375, 0.0, 0.0, 0.0, 0.125]",[0.539  0.1461 0.0456 0.0166 0.1106 0.1421],[0.4697 0.1125 0.0376 0.0135 0.1376 0.2292],"[0.5, 0.3125, 0.0, 0.0, 0.0, 0.1875]"
토이(Toy),오늘 서울은 하루종일 맑음 (Vocal By 윤하),그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.2506 0.2117 0.0812 0.0133 0.3325 0.1108],[0.3944 0.0913 0.0476 0.0145 0.2808 0.1713],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
폴킴(Paul Kim),너도 아는,그리움,"[0.1875, 0.25, 0.0, 0.25, 0.0625, 0.25]",[0.4793 0.0567 0.021  0.0137 0.1747 0.2546],[0.5145 0.037  0.0223 0.012  0.1699 0.2443],"[0.3125, 0.125, 0.0, 0.25, 0.0625, 0.25]"
토이(Toy),그녀가 말했다 (With 권진아),그리움,"[0.4167, 0.1667, 0.0, 0.125, 0.0833, 0.2083]",[0.7793 0.0176 0.011  0.0192 0.0679 0.105 ],[0.4451 0.0305 0.0249 0.0138 0.2385 0.2472],"[0.25, 0.2083, 0.0, 0.125, 0.2083, 0.2083]"
박지윤,고백,그리움,"[0.3846, 0.1538, 0.0769, 0.2308, 0.0769, 0.0769]",[0.598  0.0733 0.0237 0.0188 0.1255 0.1607],[0.3712 0.0391 0.0206 0.0134 0.2382 0.3175],"[0.4615, 0.0, 0.0, 0.0, 0.1538, 0.3846]"
허회경,오 사랑아,그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.4369 0.1007 0.0422 0.0364 0.1476 0.2363],[0.4184 0.1125 0.0433 0.0152 0.1814 0.2292],"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
허회경,기어코 기어코,그리움,"[0.2857, 0.4286, 0.0, 0.2857, 0.0, 0.0]",[0.4141 0.0378 0.0215 0.0179 0.198  0.3108],[0.3842 0.0299 0.021  0.0146 0.2522 0.298 ],"[0.2857, 0.2857, 0.0, 0.1429, 0.0, 0.2857]"
윤하(Younha/ユンナ),WINTER FLOWER(雪中梅)(Feat.RM),그리움,"[0.2903, 0.4194, 0.0323, 0.0645, 0.0645, 0.129]",[0.2632 0.0268 0.0152 0.0143 0.2988 0.3818],[0.2813 0.0229 0.0199 0.016  0.3614 0.2986],"[0.1935, 0.3226, 0.0, 0.0323, 0.1935, 0.2581]"
정준일,겨울,그리움,"[0.3846, 0.4615, 0.0769, 0.0, 0.0, 0.0769]",[0.1283 0.0295 0.018  0.017  0.6648 0.1424],[0.2047 0.0253 0.0308 0.029  0.5224 0.1877],"[0.3077, 0.2308, 0.0, 0.0769, 0.0769, 0.3077]"
S.M. THE BALLAD,Set Me Free (Sung by 태연(소녀시대)),그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.5666 0.1587 0.0481 0.0207 0.1048 0.1011],[0.4707 0.1672 0.0647 0.0139 0.1293 0.1542],"[0.0, 0.0, 0.0, 0.0, 0.3333, 0.6667]"
에피톤 프로젝트(Epitone Project),불면증 (Vocal by 윤하),그리움,"[0.25, 0.05, 0.0, 0.25, 0.05, 0.4]",[0.5102 0.0328 0.0155 0.0122 0.229  0.2003],[0.4761 0.0394 0.0199 0.0118 0.187  0.2658],"[0.15, 0.1, 0.0, 0.15, 0.15, 0.45]"
백예린 (Yerin Baek),"다시 난, 여기",그리움,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",[0.0304 0.5506 0.2902 0.0277 0.0749 0.0261],[0.1657 0.4425 0.1908 0.0227 0.1144 0.0639],"[0.25, 0.0, 0.0, 0.0, 0.5, 0.25]"
포맨 (4MEN),이불킥,그리움,"[0.3684, 0.3684, 0.1053, 0.1053, 0.0526, 0.0]",[0.0403 0.1772 0.6155 0.1218 0.0297 0.0155],[0.2328 0.0838 0.1148 0.0556 0.3502 0.1628],"[0.3684, 0.1579, 0.2105, 0.0526, 0.1579, 0.0526]"
포맨 (4MEN),너의 웃음 고마워 (Vision Of Love),그리움,"[0.3125, 0.6875, 0.0, 0.0, 0.0, 0.0]",[0.3126 0.3142 0.0651 0.0217 0.1374 0.1489],[0.2426 0.4736 0.0854 0.0118 0.0929 0.0937],"[0.0625, 0.75, 0.0, 0.0, 0.0, 0.1875]"
