count,probability,kl_divergence
"[9, 3, 0, 2, 4, 7]","[0.36, 0.12, 0.0, 0.08, 0.16, 0.28]",0.2538546285956623
"[14, 11, 0, 0, 9, 7]","[0.3415, 0.2683, 0.0, 0.0, 0.2195, 0.1707]",0.9753980020299927
"[6, 4, 0, 0, 0, 1]","[0.5455, 0.3636, 0.0, 0.0, 0.0, 0.0909]",3.2965786237115666
"[22, 7, 0, 0, 0, 7]","[0.6111, 0.1944, 0.0, 0.0, 0.0, 0.1944]",0.45941332400655455
"[8, 1, 0, 0, 4, 7]","[0.4, 0.05, 0.0, 0.0, 0.2, 0.35]",2.7910298152131667
"[2, 4, 0, 2, 6, 3]","[0.1176, 0.2353, 0.0, 0.1176, 0.3529, 0.1765]",0.4683853096420194
"[7, 3, 0, 0, 0, 6]","[0.4375, 0.1875, 0.0, 0.0, 0.0, 0.375]",0.4481779360536615
"[1, 0, 0, 0, 1, 2]","[0.25, 0.0, 0.0, 0.0, 0.25, 0.5]",0.6931471374202667
"[1, 0, 0, 0, 2, 0]","[0.3333, 0.0, 0.0, 0.0, 0.6667, 0.0]",20.723265694387678
"[2, 0, 0, 0, 3, 10]","[0.1333, 0.0, 0.0, 0.0, 0.2, 0.6667]",0.5982764010880848
"[4, 4, 0, 0, 1, 5]","[0.2857, 0.2857, 0.0, 0.0, 0.0714, 0.3571]",0.47789731332983637
"[4, 1, 0, 0, 0, 2]","[0.5714, 0.1429, 0.0, 0.0, 0.0, 0.2857]",2.8566736861012036
"[3, 1, 3, 0, 4, 3]","[0.2143, 0.0714, 0.2143, 0.0, 0.2857, 0.2143]",2.942715143271336
"[1, 0, 0, 0, 1, 1]","[0.3333, 0.0, 0.0, 0.0, 0.3333, 0.3333]",1.0986122419257416
"[3, 0, 0, 0, 3, 9]","[0.2, 0.0, 0.0, 0.0, 0.2, 0.6]",1.1388012115451214
"[1, 1, 2, 1, 5, 2]","[0.0833, 0.0833, 0.1667, 0.0833, 0.4167, 0.1667]",0.8872258052936495
"[0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[7, 0, 0, 2, 2, 1]","[0.5833, 0.0, 0.0, 0.1667, 0.1667, 0.0833]",1.758940225376434
"[11, 7, 0, 2, 4, 1]","[0.44, 0.28, 0.0, 0.08, 0.16, 0.04]",0.2302897661728283
"[0, 0, 0, 0, 0, 6]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[0, 0, 0, 0, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0.6931471560640908
"[0, 4, 5, 2, 0, 7]","[0.0, 0.2222, 0.2778, 0.1111, 0.0, 0.3889]",7.273408434665181
"[8, 1, 0, 0, 6, 3]","[0.4444, 0.0556, 0.0, 0.0, 0.3333, 0.1667]",0.26477693225997534
"[6, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.486493769962033
"[0, 1, 2, 2, 1, 5]","[0.0, 0.0909, 0.1818, 0.1818, 0.0909, 0.4545]",3.674216506084186
"[2, 2, 0, 0, 0, 7]","[0.1818, 0.1818, 0.0, 0.0, 0.0, 0.6364]",0.09914016841222234
"[3, 1, 0, 5, 2, 5]","[0.1875, 0.0625, 0.0, 0.3125, 0.125, 0.3125]",0.012584695852850339
"[6, 1, 0, 0, 0, 3]","[0.6, 0.1, 0.0, 0.0, 0.0, 0.3]",0.14905261690701244
"[0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[2, 6, 0, 0, 0, 5]","[0.1538, 0.4615, 0.0, 0.0, 0.0, 0.3846]",0.014352205657440026
"[7, 0, 0, 0, 4, 3]","[0.5, 0.0, 0.0, 0.0, 0.2857, 0.2143]",2.6464783510507317
"[0, 2, 2, 0, 2, 4]","[0.0, 0.2, 0.2, 0.0, 0.2, 0.4]",0.2772588511397443
"[4, 3, 2, 1, 4, 1]","[0.2667, 0.2, 0.1333, 0.0667, 0.2667, 0.0667]",0.6469142073708778
"[0, 0, 0, 0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.4, 0.6]",0.5108256007382209
"[1, 0, 0, 0, 0, 4]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.8]",0.22314353083466434
"[0, 0, 0, 0, 1, 2]","[0.0, 0.0, 0.0, 0.0, 0.3333, 0.6667]",0.4054150872065689
"[5, 6, 0, 0, 0, 4]","[0.3333, 0.4, 0.0, 0.0, 0.0, 0.2667]",1.2928048068800042
"[5, 1, 1, 1, 1, 0]","[0.5556, 0.1111, 0.1111, 0.1111, 0.1111, 0.0]",0.79505866338193
"[4, 4, 1, 0, 0, 3]","[0.3333, 0.3333, 0.0833, 0.0, 0.0, 0.25]",4.5840481092839145
"[1, 0, 1, 1, 0, 2]","[0.2, 0.0, 0.2, 0.2, 0.0, 0.4]",0.9162906684512179
"[1, 4, 0, 2, 0, 5]","[0.0833, 0.3333, 0.0, 0.1667, 0.0, 0.4167]",2.3434062334680994
"[7, 0, 0, 0, 2, 0]","[0.7778, 0.0, 0.0, 0.0, 0.2222, 0.0]",10.938566215021833
"[4, 0, 2, 1, 0, 0]","[0.5714, 0.0, 0.2857, 0.1429, 0.0, 0.0]",5.267026540716866
"[2, 0, 0, 0, 1, 2]","[0.4, 0.0, 0.0, 0.0, 0.2, 0.4]",3.6841361466063383
"[0, 0, 0, 0, 0, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[3, 2, 0, 0, 1, 4]","[0.3, 0.2, 0.0, 0.0, 0.1, 0.4]",4.238653849385825
"[9, 3, 0, 2, 1, 2]","[0.5294, 0.1765, 0.0, 0.1176, 0.0588, 0.1176]",0.012253012017835865
"[4, 2, 4, 2, 0, 3]","[0.2667, 0.1333, 0.2667, 0.1333, 0.0, 0.2]",1.2400822695154337
"[2, 1, 0, 1, 0, 2]","[0.3333, 0.1667, 0.0, 0.1667, 0.0, 0.3333]",0.5492061305119438
"[4, 2, 0, 0, 3, 4]","[0.3077, 0.1538, 0.0, 0.0, 0.2308, 0.3077]",0.23151848000356332
"[4, 3, 0, 5, 2, 1]","[0.2667, 0.2, 0.0, 0.3333, 0.1333, 0.0667]",0.3363550980909891
"[7, 3, 0, 0, 2, 3]","[0.4667, 0.2, 0.0, 0.0, 0.1333, 0.2]",0.4666080727477273
"[13, 2, 0, 0, 0, 1]","[0.8125, 0.125, 0.0, 0.0, 0.0, 0.0625]",0.2961041545879458
"[7, 3, 2, 0, 1, 3]","[0.4375, 0.1875, 0.125, 0.0, 0.0625, 0.1875]",0.33263125121274517
"[12, 7, 0, 0, 0, 3]","[0.5455, 0.3182, 0.0, 0.0, 0.0, 0.1364]",0.01170476528931877
"[8, 5, 0, 0, 0, 3]","[0.5, 0.3125, 0.0, 0.0, 0.0, 0.1875]",0.03810348036221973
"[0, 0, 0, 0, 2, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",20.723265713606814
"[5, 2, 0, 4, 1, 4]","[0.3125, 0.125, 0.0, 0.25, 0.0625, 0.25]",0.07750698980114269
"[6, 5, 0, 3, 5, 5]","[0.25, 0.2083, 0.0, 0.125, 0.2083, 0.2083]",0.09930933123014171
"[6, 0, 0, 0, 2, 5]","[0.4615, 0.0, 0.0, 0.0, 0.1538, 0.3846]",8.493846755969624
"[0, 0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[2, 2, 0, 1, 0, 2]","[0.2857, 0.2857, 0.0, 0.1429, 0.0, 0.2857]",0.371764493132491
"[6, 10, 0, 1, 6, 8]","[0.1935, 0.3226, 0.0, 0.0323, 0.1935, 0.2581]",0.6705793753091654
"[4, 3, 0, 1, 1, 4]","[0.3077, 0.2308, 0.0, 0.0769, 0.0769, 0.3077]",1.6955734008513887
"[0, 0, 0, 0, 1, 2]","[0.0, 0.0, 0.0, 0.0, 0.3333, 0.6667]",0.4054150872065689
"[3, 2, 0, 3, 3, 9]","[0.15, 0.1, 0.0, 0.15, 0.15, 0.45]",0.11871162250332282
"[1, 0, 0, 0, 2, 1]","[0.25, 0.0, 0.0, 0.0, 0.5, 0.25]",1.3862943118213287
"[7, 3, 4, 1, 3, 1]","[0.3684, 0.1579, 0.2105, 0.0526, 0.1579, 0.0526]",0.25434090444586804
"[1, 12, 0, 0, 0, 3]","[0.0625, 0.75, 0.0, 0.0, 0.0, 0.1875]",0.4431290018529825
"[9, 2, 1, 1, 3, 5]","[0.4286, 0.0952, 0.0476, 0.0476, 0.1429, 0.2381]",0.15824755541586258
"[3, 13, 0, 8, 3, 5]","[0.0938, 0.4062, 0.0, 0.25, 0.0938, 0.1562]",0.13448825328841987
"[1, 9, 0, 2, 2, 1]","[0.0667, 0.6, 0.0, 0.1333, 0.1333, 0.0667]",1.1174387215711665
"[9, 0, 2, 2, 4, 7]","[0.375, 0.0, 0.0833, 0.0833, 0.1667, 0.2917]",2.474514501148541
"[0, 0, 0, 3, 9, 5]","[0.0, 0.0, 0.0, 0.1765, 0.5294, 0.2941]",1.2238353858267204
"[8, 11, 2, 0, 0, 1]","[0.3636, 0.5, 0.0909, 0.0, 0.0, 0.0455]",0.5435026675153231
"[17, 1, 2, 0, 4, 3]","[0.6296, 0.037, 0.0741, 0.0, 0.1481, 0.1111]",0.163597899509533
"[3, 3, 5, 1, 4, 6]","[0.1364, 0.1364, 0.2273, 0.0455, 0.1818, 0.2727]",0.4780934171642033
"[4, 0, 0, 2, 3, 5]","[0.2857, 0.0, 0.0, 0.1429, 0.2143, 0.3571]",3.0156591418251506
"[0, 0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[10, 3, 0, 1, 2, 9]","[0.4, 0.12, 0.0, 0.04, 0.08, 0.36]",0.152905575309575
"[4, 1, 1, 1, 0, 7]","[0.2857, 0.0714, 0.0714, 0.0714, 0.0, 0.5]",0.21898712070319096
"[4, 0, 0, 0, 3, 2]","[0.4444, 0.0, 0.0, 0.0, 0.3333, 0.2222]",2.0395602534254267
"[4, 3, 0, 0, 6, 8]","[0.1905, 0.1429, 0.0, 0.0, 0.2857, 0.381]",3.813380455750008
"[0, 0, 0, 0, 0, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[0, 0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[3, 1, 0, 0, 1, 2]","[0.4286, 0.1429, 0.0, 0.0, 0.1429, 0.2857]",0.6351800640028995
"[0, 0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[5, 2, 1, 1, 4, 1]","[0.3571, 0.1429, 0.0714, 0.0714, 0.2857, 0.0714]",0.5957170387767584
"[7, 5, 0, 0, 2, 5]","[0.3684, 0.2632, 0.0, 0.0, 0.1053, 0.2632]",0.12969592059927382
"[12, 2, 0, 2, 2, 7]","[0.48, 0.08, 0.0, 0.08, 0.08, 0.28]",0.22137199766535537
"[1, 0, 4, 0, 3, 1]","[0.1111, 0.0, 0.4444, 0.0, 0.3333, 0.1111]",0.8283021892906625
"[3, 2, 1, 0, 4, 2]","[0.25, 0.1667, 0.0833, 0.0, 0.3333, 0.1667]",0.04363149448534235
"[4, 6, 0, 1, 4, 7]","[0.1818, 0.2727, 0.0, 0.0455, 0.1818, 0.3182]",0.18162212534995106
"[8, 4, 0, 0, 1, 7]","[0.4, 0.2, 0.0, 0.0, 0.05, 0.35]",1.0392292888620414
"[9, 2, 0, 0, 2, 0]","[0.6923, 0.1538, 0.0, 0.0, 0.1538, 0.0]",0.05186915644606224
"[2, 2, 0, 1, 1, 8]","[0.1429, 0.1429, 0.0, 0.0714, 0.0714, 0.5714]",0.45853067570975886
"[9, 5, 0, 1, 2, 1]","[0.5, 0.2778, 0.0, 0.0556, 0.1111, 0.0556]",0.022216597532293263
"[4, 4, 0, 3, 3, 4]","[0.2222, 0.2222, 0.0, 0.1667, 0.1667, 0.2222]",0.2497824581982122
"[3, 1, 2, 4, 7, 3]","[0.15, 0.05, 0.1, 0.2, 0.35, 0.15]",0.2683298941890945
"[4, 0, 0, 0, 3, 3]","[0.4, 0.0, 0.0, 0.0, 0.3, 0.3]",3.5742749368874285
"[5, 0, 0, 1, 0, 2]","[0.625, 0.0, 0.0, 0.125, 0.0, 0.25]",0.0
"[6, 2, 0, 0, 3, 5]","[0.375, 0.125, 0.0, 0.0, 0.1875, 0.3125]",0.9808291891876854
"[6, 2, 1, 0, 4, 8]","[0.2857, 0.0952, 0.0476, 0.0, 0.1905, 0.381]",0.936599297379599
"[4, 2, 1, 0, 6, 0]","[0.3077, 0.1538, 0.0769, 0.0, 0.4615, 0.0]",0.39242131016648946
"[1, 1, 0, 0, 5, 6]","[0.0769, 0.0769, 0.0, 0.0, 0.3846, 0.4615]",0.44258134862817955
"[8, 2, 0, 0, 3, 0]","[0.6154, 0.1538, 0.0, 0.0, 0.2308, 0.0]",0.0805661291549929
"[4, 4, 0, 0, 0, 4]","[0.3333, 0.3333, 0.0, 0.0, 0.0, 0.3333]",0.4194077868627418
"[1, 0, 0, 0, 0, 3]","[0.25, 0.0, 0.0, 0.0, 0.0, 0.75]",0.2876820513430658
"[5, 3, 0, 0, 2, 0]","[0.5, 0.3, 0.0, 0.0, 0.2, 0.0]",4.055395722908082
"[7, 3, 0, 0, 3, 5]","[0.3889, 0.1667, 0.0, 0.0, 0.1667, 0.2778]",1.1116453531962098
"[7, 4, 0, 3, 1, 5]","[0.35, 0.2, 0.0, 0.15, 0.05, 0.25]",2.7857053467302366
"[2, 2, 0, 1, 0, 1]","[0.3333, 0.3333, 0.0, 0.1667, 0.0, 0.1667]",0.46222119183594795
"[4, 1, 0, 3, 0, 7]","[0.2667, 0.0667, 0.0, 0.2, 0.0, 0.4667]",1.5109386728114753
"[1, 0, 0, 0, 1, 0]","[0.5, 0.0, 0.0, 0.0, 0.5, 0.0]",20.723265694269845
"[7, 0, 0, 0, 2, 0]","[0.7778, 0.0, 0.0, 0.0, 0.2222, 0.0]",8.216125451849324
"[1, 0, 0, 1, 1, 4]","[0.1429, 0.0, 0.0, 0.1429, 0.1429, 0.5714]",0.9512749183886581
"[1, 0, 0, 0, 1, 5]","[0.1429, 0.0, 0.0, 0.0, 0.1429, 0.7143]",5.366117340810063
"[8, 2, 0, 1, 0, 2]","[0.6154, 0.1538, 0.0, 0.0769, 0.0, 0.1538]",0.24056855282284584
"[1, 0, 0, 2, 3, 1]","[0.1429, 0.0, 0.0, 0.2857, 0.4286, 0.1429]",0.2558642133365987
"[2, 2, 0, 0, 2, 0]","[0.3333, 0.3333, 0.0, 0.0, 0.3333, 0.0]",0.4621212050750738
"[2, 4, 0, 0, 2, 1]","[0.2222, 0.4444, 0.0, 0.0, 0.2222, 0.1111]",2.1935929402643928
"[7, 2, 0, 0, 1, 2]","[0.5833, 0.1667, 0.0, 0.0, 0.0833, 0.1667]",3.175031239769017
"[5, 7, 1, 1, 1, 5]","[0.25, 0.35, 0.05, 0.05, 0.05, 0.25]",0.12654909329403286
"[2, 0, 0, 0, 0, 0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0
"[7, 0, 1, 0, 4, 3]","[0.4667, 0.0, 0.0667, 0.0, 0.2667, 0.2]",8.719387658809737
"[2, 5, 1, 2, 1, 1]","[0.1667, 0.4167, 0.0833, 0.1667, 0.0833, 0.0833]",0.5371273724847978
"[3, 2, 1, 0, 2, 2]","[0.3, 0.2, 0.1, 0.0, 0.2, 0.2]",0.8769340147895799
"[3, 4, 0, 0, 1, 3]","[0.2727, 0.3636, 0.0, 0.0, 0.0909, 0.2727]",1.696824411858386
"[8, 1, 1, 0, 1, 3]","[0.5714, 0.0714, 0.0714, 0.0, 0.0714, 0.2143]",4.812601198651043
"[0, 0, 0, 1, 0, 6]","[0.0, 0.0, 0.0, 0.1429, 0.0, 0.8571]",0.15420066136191596
"[4, 0, 1, 0, 2, 3]","[0.4, 0.0, 0.1, 0.0, 0.2, 0.3]",3.6148214292730834
"[4, 0, 0, 1, 3, 1]","[0.4444, 0.0, 0.0, 0.1111, 0.3333, 0.1111]",1.9625439007420464
"[7, 3, 1, 0, 0, 1]","[0.5833, 0.25, 0.0833, 0.0, 0.0, 0.0833]",0.09586067028985543
"[1, 8, 0, 1, 1, 6]","[0.0588, 0.4706, 0.0, 0.0588, 0.0588, 0.3529]",0.6721956649045387
"[0, 0, 2, 0, 0, 0]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",20.723265713606814
"[2, 1, 0, 1, 1, 1]","[0.3333, 0.1667, 0.0, 0.1667, 0.1667, 0.1667]",0.43380848096631097
"[4, 2, 0, 0, 0, 1]","[0.5714, 0.2857, 0.0, 0.0, 0.0, 0.1429]",2.8813591240682457
"[4, 4, 0, 0, 1, 3]","[0.3333, 0.3333, 0.0, 0.0, 0.0833, 0.25]",0.025401222476007485
"[8, 6, 1, 2, 2, 4]","[0.3478, 0.2609, 0.0435, 0.087, 0.087, 0.1739]",0.09924445142968742
"[2, 0, 0, 1, 0, 4]","[0.2857, 0.0, 0.0, 0.1429, 0.0, 0.5714]",0.5596657473889396
"[3, 0, 0, 1, 0, 7]","[0.2727, 0.0, 0.0, 0.0909, 0.0, 0.6364]",0.4519279419383733
"[1, 0, 0, 0, 1, 2]","[0.25, 0.0, 0.0, 0.0, 0.25, 0.5]",0.6931471374202667
"[5, 1, 0, 0, 6, 3]","[0.3333, 0.0667, 0.0, 0.0, 0.4, 0.2]",0.2037491477167564
"[9, 0, 0, 5, 0, 4]","[0.5, 0.0, 0.0, 0.2778, 0.0, 0.2222]",1.4257351401002287
"[9, 4, 0, 0, 2, 5]","[0.45, 0.2, 0.0, 0.0, 0.1, 0.25]",1.0444805337039238
"[13, 2, 4, 0, 0, 1]","[0.65, 0.1, 0.2, 0.0, 0.0, 0.05]",0.06954301757623935
"[0, 0, 0, 0, 0, 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[1, 0, 0, 2, 0, 5]","[0.125, 0.0, 0.0, 0.25, 0.0, 0.625]",0.4700035883149219
"[2, 2, 0, 1, 0, 8]","[0.1538, 0.1538, 0.0, 0.0769, 0.0, 0.6154]",0.24589898288747913
"[14, 10, 1, 6, 1, 1]","[0.4242, 0.303, 0.0303, 0.1818, 0.0303, 0.0303]",0.2899522332470602
"[4, 6, 2, 0, 1, 6]","[0.2105, 0.3158, 0.1053, 0.0, 0.0526, 0.3158]",1.1112263566558689
"[9, 3, 1, 0, 1, 4]","[0.5, 0.1667, 0.0556, 0.0, 0.0556, 0.2222]",1.0084113079428987
"[0, 0, 0, 0, 0, 2]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[0, 2, 0, 0, 0, 4]","[0.0, 0.3333, 0.0, 0.0, 0.0, 0.6667]",3.0120494143858982
"[6, 6, 2, 0, 0, 1]","[0.4, 0.4, 0.1333, 0.0, 0.0, 0.0667]",0.2797996324112307
"[0, 0, 0, 0, 2, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",20.723265713606814
"[0, 0, 1, 0, 4, 3]","[0.0, 0.0, 0.125, 0.0, 0.5, 0.375]",0.9808292077669705
"[3, 0, 0, 0, 0, 2]","[0.6, 0.0, 0.0, 0.0, 0.0, 0.4]",0.916290705580261
"[5, 5, 0, 0, 2, 1]","[0.3846, 0.3846, 0.0, 0.0, 0.1538, 0.0769]",0.11801865991182
"[0, 0, 0, 2, 0, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",20.723265713606814
"[1, 0, 0, 0, 0, 1]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.5]",0.6931471560640907
"[5, 1, 2, 3, 0, 4]","[0.3333, 0.0667, 0.1333, 0.2, 0.0, 0.2667]",1.0186830886570173
"[9, 1, 0, 0, 1, 2]","[0.6923, 0.0769, 0.0, 0.0, 0.0769, 0.1538]",0.20025669425428588
"[2, 0, 0, 0, 0, 1]","[0.6667, 0.0, 0.0, 0.0, 0.0, 0.3333]",1.098712265856731
"[0, 0, 0, 1, 1, 0]","[0.0, 0.0, 0.0, 0.5, 0.5, 0.0]",20.723265694269845
"[3, 1, 0, 0, 0, 0]","[0.75, 0.25, 0.0, 0.0, 0.0, 0.0]",0.28768205134306596
"[9, 6, 0, 0, 8, 2]","[0.36, 0.24, 0.0, 0.0, 0.32, 0.08]",1.151932164807651
"[1, 1, 0, 1, 0, 2]","[0.2, 0.2, 0.0, 0.2, 0.0, 0.4]",0.1386294347802124
"[2, 9, 0, 0, 1, 1]","[0.1538, 0.6923, 0.0, 0.0, 0.0769, 0.0769]",0.21328136080817817
"[5, 3, 2, 0, 4, 11]","[0.2, 0.12, 0.08, 0.0, 0.16, 0.44]",0.8023888319905067
"[4, 2, 0, 0, 1, 8]","[0.2667, 0.1333, 0.0, 0.0, 0.0667, 0.5333]",0.4055276023245972
"[1, 0, 0, 0, 5, 2]","[0.125, 0.0, 0.0, 0.0, 0.625, 0.25]",2.707909138202961
"[0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[9, 2, 0, 3, 0, 4]","[0.5, 0.1111, 0.0, 0.1667, 0.0, 0.2222]",0.06873845713748555
"[7, 2, 1, 1, 5, 3]","[0.3684, 0.1053, 0.0526, 0.0526, 0.2632, 0.1579]",0.31717180764134184
"[0, 0, 0, 0, 0, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[1, 0, 0, 0, 1, 4]","[0.1667, 0.0, 0.0, 0.0, 0.1667, 0.6667]",0.40551506396744297
"[8, 2, 1, 0, 1, 2]","[0.5714, 0.1429, 0.0714, 0.0, 0.0714, 0.1429]",0.40402450270492857
"[1, 2, 0, 5, 1, 5]","[0.0714, 0.1429, 0.0, 0.3571, 0.0714, 0.3571]",0.1948095661834296
"[1, 1, 0, 0, 8, 6]","[0.0625, 0.0625, 0.0, 0.0, 0.5, 0.375]",1.1887350554669478
"[5, 1, 0, 0, 5, 0]","[0.4545, 0.0909, 0.0, 0.0, 0.4545, 0.0]",7.120283471004273
"[2, 5, 0, 0, 0, 2]","[0.2222, 0.5556, 0.0, 0.0, 0.0, 0.2222]",4.11646414190832
"[1, 5, 0, 2, 2, 10]","[0.05, 0.25, 0.0, 0.1, 0.1, 0.5]",1.5935813822026124
"[2, 0, 0, 0, 0, 8]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.8]",0.22314353083466434
"[5, 2, 0, 0, 4, 2]","[0.3846, 0.1538, 0.0, 0.0, 0.3077, 0.1538]",0.05802772267059877
"[2, 3, 1, 0, 12, 8]","[0.0769, 0.1154, 0.0385, 0.0, 0.4615, 0.3077]",0.04823664543503146
"[0, 0, 0, 0, 2, 2]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",0.6931471560640908
"[4, 10, 1, 0, 0, 0]","[0.2667, 0.6667, 0.0667, 0.0, 0.0, 0.0]",0.05347073110999579
"[0, 0, 0, 0, 0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[0, 0, 0, 0, 0, 7]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.0
"[7, 3, 0, 0, 3, 1]","[0.5, 0.2143, 0.0, 0.0, 0.2143, 0.0714]",0.35757516715272947
"[0, 0, 1, 6, 1, 11]","[0.0, 0.0, 0.0526, 0.3158, 0.0526, 0.5789]",6.999241800020933
"[1, 0, 2, 0, 1, 0]","[0.25, 0.0, 0.5, 0.0, 0.25, 0.0]",20.72326567562602
"[1, 0, 0, 0, 1, 1]","[0.3333, 0.0, 0.0, 0.0, 0.3333, 0.3333]",1.0986122419257416
"[3, 9, 1, 7, 11, 8]","[0.0769, 0.2308, 0.0256, 0.1795, 0.2821, 0.2051]",0.8672932120253808
"[9, 0, 0, 15, 3, 11]","[0.2368, 0.0, 0.0, 0.3947, 0.0789, 0.2895]",0.42812926199534923
"[2, 0, 0, 0, 1, 1]","[0.5, 0.0, 0.0, 0.0, 0.25, 0.25]",1.3862943118213287
"[0, 0, 1, 1, 0, 3]","[0.0, 0.0, 0.2, 0.2, 0.0, 0.6]",0.5108255823175403
"[1, 0, 2, 1, 0, 5]","[0.1111, 0.0, 0.2222, 0.1111, 0.0, 0.5556]",11.26432525888424
"[0, 0, 0, 1, 0, 0]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",20.723265713606814
"[4, 4, 3, 1, 4, 5]","[0.1905, 0.1905, 0.1429, 0.0476, 0.1905, 0.2381]",0.4440374347691859
"[7, 11, 16, 27, 2, 15]","[0.0897, 0.141, 0.2051, 0.3462, 0.0256, 0.1923]",0.3354401367140627
"[1, 10, 1, 1, 5, 1]","[0.0526, 0.5263, 0.0526, 0.0526, 0.2632, 0.0526]",0.5805801294094823
