,diary,emotion,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
29,나는 맞은뒤로 쌤이 바로수학문제를 풀라해서 수학문제를풀었다 근데 내가생각해도 고2수학문제는 너무 어렵게 느껴졌다 왜냐하면 대한민국의 수학은 항상 어렵기때문이다 나는 수학이 너무 어려워 계속 선생님에게 모르는 문제를 질문했다 근데 쌤도 계속오느라 피곤하셨는지 한숨을 푹푹 내쉬 면서 아르켜주었다근데 나도 그한숨을 들으니 짜증이 났다 나는 다행이 오늘 하루 수학할 양과  6시간 공부를채우고 나니 쌤이 집을 보내줬다,5,,,,,
30,나는 하루동안보고 쌤이 싫었는데 쌤이 집에가 라고 하는동시에 기분이 좋아 넵히ㅡ고 빨리 학원에서 벗어났다 근데 막쌍 나오니 너무배고파 친구에게같이 저녁을 먹자고하였다,5,,,,,
31,근데슬프게도 친구가 엄마에게 돈을 뺏겼다고하여 친구가돈이 없었다,5,,,,,
32,나는 하는수없이 밥을사주었다,1,,,,,
33,근데 나는 그렇게 돈이 아깝지않았다,1,,,,,
34,나는친구와 밥을먹고 헬스장으로ㅈ운동을 하러갔다 요새 18살이어서 몸에 관심이 생겨운동을 하였다 나는친구와 같이 2시간빡세게 운동을같이하고 엄청피곤하게 집에같이 돌아왔다 나는 집에와서 생각했다 오늘은 너무 피곤한 하루였다,1,,,,,
35,마음을 비우며,1,,,,,
36,혼자서 여유를 부리는 이 시간이 너무 행복해요,1,,,,,
37,이것이 감사이고 진정한 평안함이고 주님께서 주신 축복이라는 것을,2,,,,,
38,고백합니다,2,,,,,
39,주님 지켜주셔서 감사합니다,1,,,,,
40,오직 주님만 바라보겠습니다,1,,,,,
41,더욱 담대하게 나아가겠습니다,1,,,,,
42,주님 사랑해요,1,,,,,
43,주님께서 저를 너무 사랑하신다는 사실 저는 느끼고있죠,2,,,,,
44,불안하고 두려운 순간도 있지만,4,,,,,
45,주님께 의지하며 살아내겠습니다,1,,,,,
46,힘을 내곤합니다,1,,,,,
47,저는 작은 거에 크게 기뻐하고 좋아라해요,1,,,,,
48,어제는 어떤일이 있었냐면요 삼성전자 갤럭시Z프립이 내손안에♡,2,,,,,
49,핸폰을 바꾸고 말았죠 신나요,2,,,,,
50,블링블링 퍼플빛깔이 접혀서 주머니에 쏙♡이 역시 주님께서주신 축복이고 감사입니다,1,,,,,
51,카페서 시원하고 달콤한 커피음료를 마시며 여유를부리다가 금식기도에 들어갑니다 목요일 새벽 눈을 뜨는 금식에 성공해서 넘 기쁜마음입니다,1,,,,,
52,몸과 마음이 상쾌하고 가벼워짐을 느껴요 저는 불안하거다 두려움이 몰려오면 명상을 하고 잠시 요가를해요 어렸을 때 부터 발레를해서 심하게 저체중이지만 감기 한번 안걸리는 체력주신 주님의 사랑에 감사합니다,1,,,,,
53,주말엔 양재 하나로마트로 장을보러가죠 그시간 진짜 평화로워요 제가 좋아하는 카페가 양재 하나로마트에있거든요  그곳은 바로 소복소복 눈꽃디저트카페랍니다 커피맛집이예요 스타벅스랑 커피빈이랑은 조금 다른  뭔가 더 깊은 맛이 있죠 제가 젤 좋아하는 최애커피메뉴는 바로 소복카페 눈꽃소복라떼랍니다 눈꽃우유얼음에 연유넣은 샷을 넣어주시는데 넘 맛나요 오늘도 소복라떼 먹으러가고싶었는데 꾹 참고 커피빈 헤이즐넛블랜디드로 대신했어요 휘핑 많이 올려주셔서 살짝 허기졌는데 ㅎㅎㅈ냠냠 휘핑크림 사랑이예요♡내일이 벌써 주말이네요 주말엔 스타벅스 별쿠폰으로 블론드 커피가있는 서울세관사거리점에서 아이스 블론드 카라멜 클라우드 마끼야또를 마실거예요 생각만으로도 행복해집니다 삶은 이렇듯 작은 거에,1,,,,,
54,큰 기쁨이 있는 것이죠,1,,,,,
55,하루하루 호흡하며 주신 축복 누리며,1,,,,,
56,살아내려해요 주님 지켜주세요 주님 최고♡,1,,,,,
57,"이 일기는 내가 종업식날 울게 된 이야기다. 일단 운 소감을 얘기하자면 약간은 얼떨떨하다는 것이다. 그 이유는 첫 번째로 졸업식도 아닌 종업식에 울었다는 것. 물론 종업식이 슬프지 않다는 의미는 아니다. 분명 종업식도 하나의 이별이니까. 그래도 같은 학교 안에 있다는 느낌 때문에 여태껏 종업식을 하며 운 적은 한 번도 없었기에 조금 놀랍기는 했다. 어쨌든 두 번째는 나는 평소에 잘 우는 사람이 아니라는 것. 이 두 가지 이유로 약간은 얼떨떨했다. 그런데 이렇게만 써놓으니 나만 종업식에서 운 것 같은데 절대 아니다! 놀랍게도 우리 반 친구들 전부가 울었다. 정말 놀랍게도. 언제나 반에는 절대로 울지 않는 아이들이 몇 명 있기 마련이다. 나도 그 중 한 명이었는데 울었다. 약간의 변명을 붙여보자면 정말 울지 않을 수 없었다는 것?그만큼 우리 반은 정말 사랑스러운 반이었다. 이 기세를 몰아 우리 반의 지난 1년간의 이야기를 해보려한다. 쓰다 보면 우리 반에 대한 애정이 살짝 과하게 묻어나와 읽는 입장에서는 당황스러울 수도 있을 것 같은데, 그래도 일단 나는 써보겠다. 정 오글거리면 읽지 마시길. 일단 3월에 만났던 첫인상부터 말해볼까. 뭐 사실 그때는 별 생각 없었다. 처음이라 어색해서 숨도 못 쉴 것 같아서 반을 객관적으로 살필 여유가 없었던 것 같기도 하다. 그렇지만 기억에 남는 것 한 가지가 있다면 역시 3월 2일인가 처음으로 학교를 갔을 때 친구들이 인사를 해주었다는 것이다. 개인 대 개인으로 인사를 한 것이 아니라 반에 친구들이 한 명 한 명 등교를 할 때마다 친구들이 다 함께 입을 모아 안녕~!이라고 외쳤는데 그게 아직도 기억에 남아있다. 세상에 어느 사회 집단이 첫날부터 그렇게 단합이 잘 된다는 말인가? 심지어 우리 학교는 각 지역에서 친구들이 모여오는 학교라 모두들 친구가 없었는데 어떻게 첫날부터 다 같이 모여 그렇게 인사를 할 수 있었는지 모르겠다. 그 인사는 내게 우리 반 친구들이 참 다정하구니라는 생각과 함께 어색함과 긴장감을 꽤 많이 덜어주는 효과를 가져왔다. 그리고 이건 시작에 불과했다. 나는 내성적인 성격이라 언제나 학교에서는 소수의 친구들과만 지내고 모둠 활동도 함께 하는 친구들이 극히 제한적이었는데 어쩌다가 우리 반 친구들 대부분하고 모둠활동을 해보았는지 모르겠다. 난 이게 다 우리 반 친구들 덕분이라고 생각한다. 먼저  다가와주고 겉도는 친구가 있으면 곧바로 불러 다 함께 놀고 식사 시간에도 배고프다고 먼저 가지 않고 끝까지 친구를 기다리는 그런 친구들 덕분이라고. 쓰다보니 초등학교 도덕 시간에 배우는 당연한 것들 뿐이기는 한데 이쯤 인생을 살았으면 다들 알지 않는가. 한 사회 집단 안에서 싸우는 일이 없을 수 없고 뒷담이 돌지 않을 수 없다는 걸. 그런데 정말 그런 일이 없는 사회 집단이 있었다. 우리 반이었다. 난 정말 이런 반은 처음 보았다. 마니또 행사를 통해 매번 편지를 주고받는데 그렇게 정성스러운 편지를 매반 받을 줄도 몰랐고 불편한 점이 있으면 그걸 뒷담으로 해결하지 않고 -사실 뒷담으로는 해결이 불가능하지만- 앞에서 직접 이야기하며 서로 감정이 상하지 않게 타협점을 찾아나갔고 공공규칙을 당연히 지켜야 한다는 분위기를 만들어 서로에게 피해를 주지 않았고 반 단합에 거의 모든 친구들이 참여했다. 이게 놀라운 건 강제가 아니라 자의였다는 점인데 그만큼 이런 반 분위기와 이 분위기를 만들어나간 이타적이고 현명한 친구들에게 서로가 애정을 깊게 품고 있었다는 것이다. 또 성적을 숨기거나 노트필기를 숨기지도 않았다. 고등학교에서 이게 과연 쉬운 일일까? 난 절대 아니라고 생각한다. 반톡에서 나 이거 모르겠어 알려줄 사람? 아니면 교과서 몇 쪽이랑 필기 있는 사람 공유 가능?이랬을 때 답장이 없던 적이나 거부하던 사람이 없었다. 이런 완벽한 반이 또 어디에 있을까? 개인적으로 중학교 시절 반 친구들이 너무 많이 싸워서 학교라는 공간에 염증을 느끼기더 했었고 그 때문에 올해의 우리 반이 보여준 이런 선한 모습들에도 처음에는 의문을 품었다. 저거 다 가짜 아니야? 이미지 메이킹 아니야? 그런데 아니었다. 뼛속까지 착한 친구들이고 너무나도 귀여운 아이들이었다. 이렇게까지 사진을 많이 찍고 웃고 위로해주고 안고 놀고 한 해가 있을까? 앞으로도 그럴 일이 있을까? 참 쉽지는 않을 것 같다. 우리 반은 정말 선한 영향력을 끼치는 아이들이 우연히 같은 반에 모여 시너지 효과를 보여준 케이스인데 그런 집단은 흔치 않다. 착한 사람이 한 명이라도 있으면 다행이지 않은가. 그렇지만 이런 집단으로만 이 사회가 구성이 되어있다면 정말 살 맛이 날 것 같다는 생각을 한다. 뭐 이건 그냥 집단생활에 대한 내 여담이고 본 내용으로 돌아와서 그랬기에 난 우리 반이 너무 좋았다는 것이다. 이런 완벽한 친구들과 더 이상 같은 공간에서 생활할 수 없다는 게 너무나 슬펐고 매일 얼굴을 보단 사이에서 이제 복도에서만 가끔씩 얼굴을 마주칠 수 있다는 사실에 나도 모르게 눈물을 터뜨렸다. 안 울려고 했는데 친구들 말대로 야 앞에 서면 나도 모르게 운다니까. 라는 말이 진실이 되어 앞에 서서 이야기를 하는데 목소리가 갈라지더니 눈물이 팍 솟는 것이었다. 그때 순간적으로 무슨 생각이 내 뇌를 감쌌냐면 아. 내가 우리 반 친구들을 생각보다 다 많이 좋아했구나. 어쩌지. 나 얘들하고 못 떨어징 것 같아. 너희랑 헤어지기 싫어 같은 생각들이었다. 그 생각만이 멤돌면셔 눈물이 멎지를 않았는데 그래서 그때 친구들에게 하고 싶었던 말을 다 못해서 아쉽기도 하다. 그러니까 여기에 남겨보겠다. 뭐 내가 누군지도 모르겠지만 일단은! 사랑하는 우리 반 친구들아. 정말 너희 덕분에 긴장했던 고등학교 1학년 생활이 걱정 없이 지나갈 수 있었어. 우리 매번 시험기간마다 진짜 미친 것처럼 웃고 떠들었던 거 기억나? 진짜 무슨 정신으로 그렇게 놀았는지 모르겠다. 근데 너무 재미있었어. 커피랑 멘토스랑 바나나 우윤가. 그거랑 또 뭔가를 섞었는데 기억이 안 나네. 그거 섞어서 선물이랍시고 책상 위에 올려놓고 도망치고 그랬었잖아ㅋㅋㅋ 그리고 난 우리 반이 늘 함께 밥먹는 게 너무 좋았어. 세상에 어떤 반이 매 식사시간마다 다 같이 모여서 밥을 먹냐ㅋㅋㅋㅋ  26명이 한 책상에서! 진짜 웃겨죽겠어. 너네 너무 귀엽고 사랑스럽다 진짜. 다 한 명 한 명 깨물어줄 거야! 진짜 우리 반 놀았던 거는 말하자면 끝도 없지? 시험기간에 도서관에서 공부하다가 너네랑 떡볶이 먹은 거 너무 맛있었는데 또 먹고 싶다. 방학 때 늘 학교 나오는 고정멤버들도 그립네. 너무너무 하고 싶은 말들이 많은데 이만 줄이고 마지막 말을 하자면 정말 고마워 얘들아. 너네 정말 대단한 사람들인 거 알아? 너네는 정말 사람을 아무런 조건 없이 이유 없이 사랑할 줄 안다는 거 알고 있어? 누군가를 사랑할 수 있다는 건 정말 커다란 힘이거든. 나에게는 그런 힘이 없었는데 너희가 나한테 사랑의 힘을 알려준 것 같아. 그게 너무 고마웠어. 그 힘 덕분에 많이 구원받았고 또 힘을 얻었어. 힘들 때마다 안아주고 같이 울어주고 위로해주고 상담해준 너희들을 정말 잊지 못할 거야. 함께 울면 슬픔이 절반으로 줄어든다는 말이 뭔지 정말 너희와 함께하며 몸으로 느낀 것 같아. 나도 너희에게 그런 친구였을까? 받은 게 너무 많아서 전부 다시 돌려주고 싶었어도 그러기가 쉽지 않기는 했겠다ㅋㅋㅋㅋㅋ 참 다시 생각해보면 너희들에게 조금이라도 더 해주고 싶은 게 많아. 워낙에 내성적이고 낯을 많이 가려서 너희에게 많이 표현해주지 못한 것들도 아쉽고...다시 올해를 살아갈 수 있다면 정말 좋겠어. 너희에게 내가 받은 걸 돌려주기 위해서. 그 정도로 너희에게 너무 고마운 일들이 많았어. 우리 동창회 열면 다 올거지? 반 단합에서 다 같이 모여 신나게 놀았던 것처럼 또 그렇게 놀자. 그때는 이제 다들 어른이거네? 아 신기하다 진짜. 너희처럼 반짝거리는 친구들이 어른이 되면 얼마나 빛날까? 그런 너희들과 함께 고등학교 1학년 생활을 보낼 수 있었음에 너무나 감사해. 사랑해 얘들아. 정말로. 꼭 우리 건강하게 고등학교 졸업하고 다시 만나자. 알겠지? 그럼 안녕!",2,,,,,
58,출발전에는 여행만 하고,2,,,,,
59,평소 손발이 시리고 저리고 뻣뻣하며 쥐가나면 통증이 심하고 남 아프다,3,,,,,
60,사놓고 속은건 아닌지,3,,,,,
61,후회도 했는데,3,,,,,
62,효과 있었다 요즘은 종아리가 저리지도 쥐도 나지않고 통증이 거의 사라졌다,1,,,,,
63,더 욕심을 내자면 무릅 관절염도 효과 봤으면 좋겠다~~ㅎ,1,,,,,
64,관절염 3기초라는데 무릅 통증만 없으면 괜_을거같다,1,,,,,
65,잘삿다 _다,1,,,,,
66,애들꺼까지 사고 싶었는데 아쉽다~~~~,5,,,,,
67,어제는 유별나게 나이를 많이 먹고 싶은날이였다.어제 나는 친구들과 만나서 우리동네 말고 코로나의 위험을 뚫고 그냥 마스크 없이 예쁘게 꾸미고 친구들과 시내로 나갔다 ㅎㅎ 시내에서 카페도 가고 짱 오랜만에 이시국에 마라탕도 한 번 먹어봤다 .. ㅎㅎ 코로나를 퍼트린건 정말 나쁜데두 어제먹는 마라탕은 맵고 짜고 맛있고 ! 그냥 존맛탱이였다ㅠ 다음에도 먹고싶다는 생각을 조금많이했다 ㅎㅎ 뭐 이렇게 밥도 먹고 노래방도 가구 요즘은 코노를 많이가는것 같다 ㅎ 노래방은 시간제라서 너무 길고 따분하지만 코노는 그냥 한 곡 만 부르고 나와도 눈치도 안보이고 맘 편히 혼자두 뭐 .. 부를 수 있고 ! 그냥 그냥 좋은거 같당 ㅎㅎ 코노에서 나와서 우린 게임방도 갔다 아니 거기서 친구랑 레이싱 게임을 했는데 진짜 내가 너무 잘해서 이기는 게임이였는데 너무 격차가 나면 재미가 없쨔낭 ㅎ 그래서 기다려주구 달리구 했는데 내친구는 의리도 없지 내가 타이어 바꾸는 동안 씽 가버린거 있져 ! 아놔 그래서 조끔 억울하게 졌지만 나는 그래도 진짜 재밌게 달렸던거 같당 ㅎㅎ 그리고 신나게 놀다가 나와보니 9시였다 그때부터 엄마의 빨리 오라는 독촉전화가 우당탕탕 진짜 천둥번개보다 무섭다 .. 나는 엄마가 나를 아까고 사랑해주는건 진짜 행복하지만 통금 .. 그놈의 통금은 진짜 곤란하다 .. 이제 막 신나구 이제 막 진짜 놀 기분이 났는데도 .. 진짜 흐름이 뚝 깨지고 놀 기분도 안나고 놀기분이 나도 오라시니 못 놀고 .. 진짜 내가 스무살이면 난 그냥 잠을 하루에 3시간만 자고 하루 종 ~~~ 일 놀것이다 진짜 친구들이랑 그 아무 포차나 들어가서 밤 새 ~ 놀고 힘이들면 중간에 뭐 찜질방에서 또 쉰나게 놀고 !!! 벌써 신난다 울엄마는 말했다 너 스무살되면 자취 시켜준다구ㅎㅎ 난 자취를 빨리하고 싶다 엄마가 해준 집밥 아빠가 구워주는 고기 동생이랑 치는 장난 다 ~ 좋은데 나는 혼자가 조금 더 여유로운거 같다 빨리 나이를 쑥쑥 먹어서 으른의 삶 ~ 은계란을 즐겨보고 싶다 얼마나 재미있을지는 안봐도 비디오다 벌써 잼이따 푸하하ㅏㅏ 이게 바로 오늘 든 나의 쉥곽이당 ㅎㅎ,1,,,,,
68,가고 싶 었는데 엄마가 일이있으셔셔,4,,,,,
69,못갓다. 게다가 동생이랑,4,,,,,
70,플라잉볼로 같이즐겁게,2,,,,,
71,놀고 싶었는데 플라잉볼,0,,,,,
72,밑에 아무리 손을 데도,0,,,,,
73,상승 하지않았다. 그래서,0,,,,,
74,않았다. 슬펐다.,5,,,,,
75,함안에 있는 핑크 뮬리 핑크색 갈때를 보러 갔다. 사람들이 우글 우글 몰려 보기도 힘들었다. 저녁이 되자 사람들이 1명 2명 씩 빠지더니 텅텅 비었다. 넓고 넓은 초원에서 캐 치볼을 하다 어느새 해가 지고 우리도 K7이 있는 데로 올라 가는데 길을 읽어서 잠시 머뭇 거리다가 겨우 식당에 갔는데 끝이나 아니면 음색재료가 없는데가 데부분 이었다. 그래서 정말 가고싶지 않았던 편의점에 가서 삼각김밥으로 때 _다. 데계 덜렁덜렁하게 독 숙소로 돌아왔다. 핑크 뮬리는 너무 예뻤다,1,,,,,
76,오늘은 정말 억울하다. 그이유는 지금 시작한다.,5,,,,,
77,"다 만들어서 구운 뒤 가져가는데 부흥공원에서 조**과 박**이 나보고 ""괴력장!"" “괴력장이다!”라고 놀려서 나는 무시했지만 자꾸만 “어디가냐? 괴력장~” 이라고 해서 너무나 화가나서 조**을 _아가다가 나무뿌리에 걸려서 넘어졌는데 아무도 괜찮냐고 해주지 않고 웃어댔다. 나는 ‘이게 다 조** 때문이야’ 라고 생각하고 조**을 _아가다가 그냥 그 쓸데없는 행동을 멈췄다. 정말로 멍청한 짓이였다. 오른쪽 손바닥이 아파서 봤는데 두군데가 까져있었다. 그래서 집으로 갈려는데 @@이가“그거, 쿠키지?나 두개만” 이라고 해서 줬다. 내가 @@이한테 줄때 @@이는 그 상처를 보고도 그냥 지나갔다. 그 순간 나는 너무 우울하고 눈물이 쏟아질 것 같았다.",3,,,,,
78,'친구라고 믿었는데.... 나를 위로해 주는....',5,,,,,
79,그렇게 나는 우울한 마음으로 집으로 갔다.,5,,,,,
80,‘나만큼 아픈 사람은 없어’라는 생각까지 했다.,1,,,,,
81,나한테 다친 것 보다 더욱 큰 마음의 상처를 입었다.,3,,,,,
82,정말로 가슴이 아팠다.,5,,,,,
83,지금도 생각만 하면 가슴이 찢어질 것만 같다.,5,,,,,
84,"나는 매일 운동을 했을뿐인데, 왜 머리가 커지지 않냐, 그럼 저 아이들은 뭐냐. 이런 것 말이다. 그 아저씨는 말했다. 아저씨는 세명의 아이들의 아빠였고, 운동을 너무 하지 않아서 이런 약을 개발했다고, 그러고는 세 아이들에게 사과했다. 나는 그때 흐뭇한 마음으로 집으로 올라왔다.",1,,,,,
85,"""오늘의 교훈: 운동을 열심히 하자""",1,,,,,
86,이걸 잘 지키면 나는 더 건강한 어린이가 될 수 있을거다.,2,,,,,
87,아참! 그 애들은 어떤 길을 선택할까? 건강한 어린이의 길? 아니면 몸이 약한 어린이의 길? 선택은 자유지만 미래도 생각해야 할 것이다!,2,,,,,
88,오늘 학교에서 연들을 만들었다. 연등을 만들때는 철사를 꽂아야 한다. 철사를 꽂을때 연들이 찢어졌다. 그래도 흰색 한지를 그 위에 붙었더니 잘안 보였다. 그리고 색종이로 나무와 하트를 만들어서 붙었다. 재미있었다.,1,,,,,
89,"오늘은 집에서 단 한 발자국도 나가지 않았다.  요즘 전 세계적으로 코로나19가 확산되고 있어 아마 다른 사람들도 대부분 집에 있었을 것이다. 물론, 나는 중학교 봄방학을 보내고 있기에 코로나 바이러스가 아니었어도 별 일이 없다면 나가지 않았을 것 같긴 하다.",4,,,,,
90,"어쨌든 집에 있는 동안 나는 시간을 보내기 위해 공책에 낙서를 했다. 수학 공부 할 때 쓰던 공책의 한 면을 내가 좋아하는 노래 가사와 제목들로 채워보기도 하고, 아무 의미없는 그림들로 다른 면을 채우기도 했다. 가만히 앉아있거나 공부를 하는 것 보다는 훨씬 재미있고 나름 시간도 빨리 가는 듯 했다. 게다가 낙서로 가득 찬 종이들을 보니 뭔가 뿌듯한 느낌이 들었다.",4,,,,,
91,"방학하기 전에는 밖에 나가는게 귀찮게 느껴졌는데, 막상 이렇게 반 강제적으로 외출을 자제해야 하는 상황이 되니 또 집에만 있는 것이 답답하게도 느껴지는 것 같다. 빨리 코로나 바이러스가 사그라들어서 아픈 사람 없이 다들 안심하고 밖을 돌아다닐 수 있게 되면 좋겠다. 바이러스를 제압하려면 시간은 좀 걸리겠지만, 어찌 되었든 더 이상의 사망자는 나오지 않았으면 좋겠다.",5,,,,,
92,"요즘은 상황이 상황인지라 나가지도 못하고, 하루종일 하는 것이 없어 심심해하던 참에 오랜만에 일기나 써보려고 한다. 일단 오늘 몇 주간 귀찮아서 깎고 있지 않았던 머리를 깎게 되었다. 앞머리가 어찌나 긴지 자꾸 눈을 찔러 어쩔 수 없이 깎게 된 것인데, 평소엔 버스를 타고 다른 동네에 가서 깎다가 오늘 처음 우리 동네의 미용실에 가서 머리를 깎게 되었다. 평소 낯을 좀 가리는 성격이라 처음 간 미용실은 조금 어색할 것 같아 걱정을 많이 했는데,, 머리를 깎아 주시는 분이 아주 친절하신 분이어서 부담 없이 원하는 머리 스타일을 말씀드려 잘 깎고 나왔다. 앞으로는 여기서 깎아도 될 것 같다는 생각이 조금 들었다. 사실 오늘은 고민이 많은 하루였다. 평소에는 친구들이 매일 공부를 한다는 소리를 들으면 불안하기도 하고, 경쟁에서 밀릴까 걱정되어 급하게 시작하곤 했는데 오늘은 전혀 공부가 되지 않았다. 몇 달 전부터 느끼는 건데, 난 정말 공부를 하기가 싫다. 초등학교나 중학교를 다닐 때에는 공부는 생각도 하지 않고 잘 놀았는데, 요즘에는 다들 열심히 하다보니 안하면 뒤쳐질 거라는 불안감이 막 들어 공부를 하는 것이다. 그러면서 나는 정말 공부를 하기 싫어한다는 것을 알았다. 정말 성공한 삶을 살고 싶은데, 생각해보니 성공하는 사람의 대부분은 매일 노력하며 열심히 산다는 점에서 나와는 거리가 멀다는 생각도 들었다. 오늘도 결국 아무것도 하지 않았으니까. 내 미래가 좀 걱정된다. 이럴 줄 알았으면 평소에 피아노를 좀 배워둘 걸 그랬다. 평소 음악을 좋아하지만 노래는 잘 못하고, 작곡이라도 좀 배울까 생각하게 되어서 그렇다. 그건 그렇고, 긴 겨울방학이 끝나기 일주일 전이고, 이제 새 친구들도 만나고 할 것인데 공부를 거의 안 해서 뒤쳐질 것을 생각하니 걱정이 많이 된다. 방학 전부터 써놓았던 계획표는 하나도 지키지 못했고, 책이나 유튜브에서 본 성공하는 사람들의 인터뷰를 보니 난 성공을 못할 것 같다. 그래도 열심히 살아야겠다. 개학도 연기되었으니 좀 더 노력해서 써놓은 계획표의 반이라도 지켜보도록 노력해야겠다. 내일도 또 일기 써야지!..",4,,,,,
93,오늘 학교를 마치고 블럭 버스에서 놀았다. 엄마와 집으로 오려는데 천둥 번개가 치고  비가 왔다. 우산을 써도 비가 옆으로 다들어와서 다리가추웠다. 옷도 다 젖었다.,3,,,,,
94,번개가 꽝 치고나니 우르르쾅 소리가 났다. 너무 무서웠다. 천둥 소리가 고양이 소리면 좋겠다.,5,,,,,
95,이번 글쓰기를 말미암아 고백하고 싶습니다. 딸에게 잘해준 적이 없다는 것을요. 자상한 아버지도 아니었고 엄해도 딸바보인 아버지도 아니었습니다. 딸은 지금도 제게 말을 잘 안 겁니다. 대화가 안 됩니다. 다 제 잘못입니다.,4,,,,,
