lyric,Emotion
천천히 와줄래 겨울이 지나고 찾아온 봄처럼,1
얼어붙은 마음 넘어지지 않게 천천히 와줄래,1
내가 널 행복하게 만들 거란 게 어딘지 모를 아픔을 헤아릴 수 있을 것만 같은데,5
오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파,5
잊을 순 없을 거야 너와 함께했던 모든 순간들을 아무리 지우려 해도 몸부림쳐도 널 잊을 순 없을 거야,5
오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파,5
오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파,5
마중 나온다고 했잖아,0
그런데 왜 아무 소식도 왜 없는 거야,3
지난날들 나와 함께했던 넌데,0
돌아온다는 약속도 잊어버린 걸까,3
너무너무 잔인해도,3
지쳐버린 마음에 녹슬은 가슴에,5
내가 벙어리가 됐어,5
처음으로 너를 잃고 돌아서 가는 길,5
잘못된 가슴으로 멀리도 가는 길,5
잠시라도 보고만 싶은데,0
떠나가면 죽을지도 살지도 못 할 거라 생각을 하지만,3
발걸음을 억지로 떼어 눈물 나오는데,5
왜 자꾸만 어리석게 자꾸 너만 불러 울어,1
네가 미워서 울어,3
나를 떠나서 울어,5
너 때문에 생활이 안돼 미안해,3
가지 마 절대 떠나지 마,1
울어 울어 울어서 한참을 살 수 있다면 그냥 울어,5
너만 돌아와 주면 다시 내게 오면 안 울게,1
너 떠난 뒤에 이 빈자리가 채워지질 않아,0
그래도 떠올려 생각해 보면 좋아서 위로라도 되니,0
깊은 밤 내 어깨에 잠든 네 향기에 취해 잠들었던 지난 기억,1
울어 네가 미워서 울어,3
나를 떠나서 또 울어,5
너 때문에 생활이 안돼 미안해,3
가지 마 절대 떠나지 마,1
울어 울어 울어서 한참을 살 수 있다면 그냥 울어,5
너만 돌아와 주면 다시 내게 오면 안 울게,1
너 없이는 단 하루라도 못 살잖아,4
그걸 알면서 내가 죽는다는 걸 알면서 왜 날 버려,5
나를 이렇게 못 살게 울어,5
내가 못나서 울어,5
잡지 못해서 울어,5
망가졌어 영원히 안돼 아파요,5
제발 가지 마 사랑해,1
울어 울어 울어서 한참을 살 수 있다면 그냥 울어,5
너만 돌아와 주면 다시 내게 오면 안 울게,1
자꾸만 연락을 피했고 바쁘다며 약속을 미뤘고,3
점점 지쳐가는 내 모습,5
무심한 말투,3
조금씩 난 널 잊어가고 있어,0
힘들었던 너와의 시간들,5
자꾸만 날 아프게만 하고,3
나를 보며 웃는 네 모습,1
설레이지 않고 이렇게 난 너를 지울 거야,0
우리는 끝난 거야,5
너무나도 힘들었었어,5
그런 너와 사랑하는 게 이젠 너와 난 반대로 살아가야 해,5
그만해 날 사랑한단 말 그 말 너무나도 힘들어서,5
더는 버틸 수가 없잖아,5
이젠 저 멀리 날 보는 네 모습 웃고 있는 날 원망하나 봐,3
자꾸 찾아오지 말아 줘,3
난 다른 사람과 영화 같은 사랑을 할 거야,1
이제 그만 잊어줘,0
그만해 날 사랑한단 말 그 말 너무나도 듣기 싫어,3
더는 버틸 수가 없어,5
난 알고 있었어 다른 여잘 사랑했잖아,5
어떻게 넌 날 사랑한단 말을 해,1
웃으며 날 안아 줬던 너,1
너의 모습이 죽을 만큼 미워졌어,3
이젠 더는 찾지 마 나를,4
그댈 바라보아요,1
머무는 표정에 이 마음 모두 들켜버린대도,1
시간이 더디게만 흐르면 좋을 텐데,0
그대와 걷는 이 걸음이 조급하지 않게,1
이 길 위에 우리 흔적을 남겨줘요,1
모든 걸 그대와 나누고 싶어요,1
이 까만 밤은 그대 미소로 빛나고 있죠,1
그대만의 얘기는 내 밤을 더욱 특별하게 해요,1
오래도록 바래지 않을 마음을 써봐요,0
우리의 이야기가 영원하도록 그댈 새겨두어요,1
낮과 밤의 경계가 희미해질 만큼 찰나 같기만 한 순간이 아쉬워져도,0
우리 둘만의 시간이 쌓여 가요,1
수많은 계절 속에 스며들어,1
이 까만 밤은 그대 미소로 빛나고 있죠,1
그대만의 얘기는 내 밤을 더욱 특별하게 해요,1
오래도록 바래지 않을 마음을 써봐요,0
우리의 이야기가 영원하도록 그댈 새겨두어요,1
내내 멈춰있던 나의 두 눈이 그대 숨으로 움직이고,2
그 온기는 마음을 녹이죠,1
이 까만 밤은 우리 미소로 빛나고 있죠,1
더해질 시간들에 그댄 새로운 의미가 되겠죠,1
이 소소한 이야기들이 끝나지 않기를,0
지금처럼 내 곁에 있어줄 그대,1
그댈 새겨두어요,1
내 사랑 그대여 거기 멈춰 서요,1
나 지금 그대에게 가고 있어요,0
그대 없이 난 이제 단 하루도 살지 못해서 가슴으로 운다,5
내가 정말 사랑했던 사람이 세상 무엇보다 소중했던 사람이,1
언제나 나의 곁에 영원할 것 같았던 그 사람이 날 두고 가네요,5
내 가슴이 죽을 만큼 너무 아픈데,5
난 아직도 그대의 걱정뿐인데,0
나에게는 세상의 오직 한사람 그 사람이 날 떠나네요,5
내 사랑 그대여 거기 멈춰 서요,1
나 지금 그대에게 가고 있어요,0
그대 없이 난 이제 단 하루도 살지 못해서 가슴으로 운다,5
내가 정말 사랑했던 모습도 누구보다 아껴주던 마음도,1
뒤를 돌아보면 바로 서있을 것만 같은데 돌아보면 그대가 없네요,0
바보같이 이런 내 속도 모르고 그 사람이 날 떠나네요,5
내 사랑 그대여 내말 들리나요,0
나 지금 미치도록 울고 있어요,5
미안해요 난 그대 모습 하나 잊지 못해서,0
그댈 불러본다 내가 잊지 못할 나의 사람아,0
듣지 못할 내 사람아 어디에 있나요,0
내게 돌아와요 나 지금 그대에게 가고 있어요,0
지금 아니면 너를 후회하며 살 것 같아서,3
네가 마지막 사랑 같아서,1
제발 거기 멈춰서요,0
사랑해요 내 말 들리나요,1
너를 사랑했던 마음은 지울 수 없나 봐,1
우리 아름답던 날들을 떠올릴 때면 괜찮아,0
더 크게 울면 돼,5
사랑했던 날 사랑하던 그때가 미운가 봐,5
내가 힘들까 봐 때론 슬퍼 울겠지,5
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
시들어진 꽃처럼 움츠린 사랑,5
그저 멍하니 혼자 서서 하늘만 보더라,4
우리 약속했던 날들을 기억하기를 알잖아,0
꼭 내게 오면 돼,0
사랑했던 날 사랑하던 그때가 미운가 봐,5
내가 힘들까 봐 때론 슬퍼 울겠지,5
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
항상 내 곁에서 지켜줄 사랑,1
보고 싶은 나의 사랑,0
사랑해서 널 사랑해서 붙잡지 못했나 봐,1
내가 싫을까 봐 때론 슬퍼 울겠지,5
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
편의점 앞에서 한참을 울었어,5
정말 미안해,5
매일 이별하고 있었어,5
얼마나 더 아프고 아파야 널 잊을 수 있을까,5
헤어지는 건 난 자신 없어,5
매일 이별하고 있었어,5
얼마나 더 아프고 아파야 널 잊을 수 있을까,5
제발 너 없이 남겨진 내 삶은 매일 이별뿐인데,5
먼저 만나자는 전화,1
너무 반가워서 마음이 설레서,2
먼저 있던 약속 없다고 거짓말까지 했죠,3
한 여자가 그댈 보고 싶어 해,0
그 여잔 아무 말도 못 해도,0
그 사람 볼 수 있어 너무 좋대요,1
다른 사람 맘에 품고 있는 그 남자 눈에 예쁘려고 거울을 본대요,0
시간 지나면 혹시 나를 봐줄까,0
언젠가는 내 맘이 닿아 있을까,0
질투가 나지만 어쩔 수 없는 건 내가 사랑하니까,1
내 맘엔 오롯이 그대니까,1
한 여자가 그댈 보고 싶어 해,0
그 여잔 아무 말도 못 해도,0
그 사람 볼 수 있어 너무 좋대요,1
다른 사람 맘에 품고 있는 그 남자 눈에 예쁘려고 거울을 본대요,0
날 사랑하지 않는 그댈 혼자서 사랑 한다는 게 그저 행복할 순 없겠죠,5
그래서 매일 바래요 혹시 오늘이 아닐까,0
그대도 나를 좋아한다고 한 여자가 그댈 보고 있어요,1
그 여자 오늘은 말한대요,1
그대가 앞에 있어 너무 좋대요,1
다른 사람 잊지 못했어도,0
언젠간 내 옆에 오라고 한 여자가,0
네가 나를 떠난 후 서른 밤 지나도 아직 전화기 속엔 네가 웃고 있어,0
우린 서로 특별했으니까 이별도 유난히 아픈 거야,5
난 이 밤에 결국 너에게 전활 걸어 말했어 다시 내게 와줘,0
잘할 게 너의 투정 다 받아줄 게 네가 없다는 게 거짓말 같아 돌아와,1
사랑했어 너만큼 나도 이렇게 아파 울잖아,5
이런 날 한 번만 따뜻하게 안아줄래,1
망설이며 너에게 말을 이어 가고 대답 없는 넌 혼자 무슨 생각 할까,0
널 이대로 놓아버리면 정말로 끝나버릴까,5
다시 내게 와줘 잘할 게 너의 투정 다 받아줄 게 네가 없다는 게 거짓말 같아 돌아와,1
사랑했어 너만큼 나도 이렇게 아파 울잖아,5
이런 날 한 번만 따뜻하게 안아줄래,1
돌아갈 수 없는 우리 사이란 걸 이미 알고 있지만,0
혹시나 하는 마음에 기대를 했던 나인데 결국 너 없는 시간은 계속될 것 같아,4
많이 힘들겠지 끊겨버린 우리 전화에 아직 할 말 더 남았는데,3
너를 붙잡아도 소용이 없어 끝난 사인 걸 놓쳐 버린 너라서,5
이젠 닿을 수 없어 울잖아 이런 날 한 번만 따뜻하게 안아줄래,5
이렇게도 많이 아플 거라고,5
후회할 거라고,5
익숙했던 흔한 이별이라,5
마음은 말보다 늘 조금 빠르고,2
모르겠니 내가 너를 다음은 없을지 몰라,0
미안하단 말 잘 지내라는 말 꺼내기가 듣기보다 아팠을 텐데,5
오늘이 지나고 또 오늘이 온대도 난 여전히 널 놓치겠지만,0
적어도 눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게,1
사랑했던 건 반짝이는 전부였던 건 잊지마,1
우리 한 때 그랬던 건 고마웠단 말,1
사랑 뒤에 숨어있던 슬픈 인사들,5
설레던 시작이 조금씩 닳고 닳아 사라지는 걸 몰랐었나 봐,5
안녕히 더 이상은 내가 너의 아무것도 아니래도,0
추억만으로는 무엇 하나 달라질 수 없대도,0
잠시 사랑했던 너와 나,1
적어도 우리 잊지 않기로 해,0
그러기로 해 사계절이 다 우리 둘을 지울 때까지,0
눈부시던 시절 그 가운데 함께였다는 건 생각만으로도 가슴 저릿하게,1
서로 안았던 건 반짝이는 전부였던 건,1
적어도 우리 한 때 사랑한 건,1
우리 그토록 듣고 함께 불러대던 그때 그 노래,1
노래는 추억들을 부르지,0
아랑곳없이 차갑게 굳어버린 줄만 알았던 내 맘,5
무색하게 씁씁한 미소도 알량한 후회도,5
나는 다시 그때 그 날로 너로 설레고 온통 흔들리던 그 날로,2
밤새 들었던 이 노래를 핑계 삼아 널 그리워하는 내 모습,0
눈감아 주는 그 노래,1
선명하게 벅찼던 마음도 찢어진 가슴도,5
나는 다시 그때 그날로 너로 설레고 온통 흔들리던 그 날로,2
밤새 들었던 이 노래를 핑계 삼아 널 그리워하는 내 모습,0
달래주는 바로 그 노래,1
널 사랑했었다 말하는 그때 우리의 그 노래,1
아무런 일도 없던 것처럼 감은 눈을 뜨면 너무 아픈 마음도 담대히 버텨낼 수 있기를,5
아무런 일도 없던 것처럼 감은 눈을 뜨면 너무 아픈 마음도 담대히 버텨낼 수 있기를,5
기억 못 할 거면서 날 지워버릴 거면서,5
아무렇지 않은 사람 난 못돼요,5
아프고 원망스러우니까,5
마지막일 거예요,5
숨죽여 울던 어제도 우리 자욱이겠죠,5
너무나도 아름다워 슬퍼요,5
그때 내 손을 잡았던 너무 아름다웠던 그 계절이 와요,1
문득 생각이 나서 잠시 눈을 감으면,0
그땐 미처 잘 몰랐던 그대 따뜻한 손길이 느껴지네요,1
꿈을 꾸듯이 그대가 있네요,1
나를 보던 그때 그 눈빛 그대로 웃으며 서있네요,1
내가 보이나요 물어봐도 그대 아무 말 없네요,4
바람만 부네요 자꾸 웃음이 나요,1
그때 왜 그리도 많이 울었었는지 아팠었나 봐요,5
꿈에 그리던 그대가 있네요,0
나를 보던 그때 그 눈빛 그대로 웃으며 서있네요,1
내가 보이나요 물어봐도 그대 아무 말 없네요,4
다시 또 이 계절이 가요,0
이렇게 난 그대를 보내겠어요,5
어쩌면 또다시 올 이 계절에 봐요,0
바람 불면 또 그대 앞에 설게요,0
그대가 부네요,1
그렇게 네가 사라질 때까지 손을 흔들었어,0
마지막이란 걸 알 수가 있었어,0
이별이 늦어서 미안해,5
더는 너를 잡지 않을게,0
잘 가 잘 지내 좋은 것만 가져가,0
나는 오래 걸릴 거야,0
그렇게 한참을 그 자리에 서서,0
난 끝인사를 건네,0
이별이 늦어서 미안해,5
더는 너를 잡지 않을게,0
뒤돌아보지 마,0
애써 널 보낸 내가 또다시 널 부르지 않게,0
이젠 보낼게 시간이 걸려도 잊을게,0
어서 가 빨리 가,0
내 맘 바뀌기 전에 잘 가,0
무심한 계절처럼 그대가 오겠죠,0
알고 있어요 또 멀어질 거란 걸,0
천천히 잊을게요 그대 없이도 혼자 남지 않게,0
또 겨울이 오네요,5
시리도록 하얀 첫눈이 내리면 그대도 올까요,0
여전히 나 혼자 끝맺지 못한 말 여기에 남겨요,0
늦었지만 사랑해요,1
하루씩 그대를 잊어가요,0
그보다 더 슬픈 건 무뎌짐이겠죠,5
알고 있어요 늘 같은 자리란 걸,0
아무리 돌아서도 그댈 향해 서 있는 그게 나라는 걸,0
또 겨울이 오네요,5
슬프도록 하얀 첫눈이 내리면 그대도 볼까요,0
어쩌면 나처럼 울고 있을까요,5
서로의 손을 이제는 놓기로 해요,0
천천히 사라질 온기로 마지막 인사를 나눠요,0
그동안 고마웠어요 그대여 이젠 안녕,0
어디에 있든 어떤 모습이든 그대로의 그댈 사랑해요,1
닿지 않겠지만 늦더라도 부디 행복해요,1
거리마다 그대 추억들이 많아서,0
겨울의 눈꽃이 피어나듯,1
그대 다시 생각이나,0
이렇게 눈물이나,5
서리낀 창문에 그대 얼굴 그리면,0
그때서야 떠오르는 나는 상처투성이,5
언제쯤이면 그댈 잊고서 웃을 수 있나,0
아마 그건 힘들지 몰라,3
그대 나를 사랑하지 말아요,3
내 맘에 다시 들어오지 말아요,3
잠시 눈물아 안녕,5
나를 돌아보지마,3
내게서 제발 달아나줘요,4
언제쯤이면 그대 뒷모습 잊을 수 있나,0
아마 그건 안될지 몰라,3
그대 나를 사랑하지 말아요,3
내 맘에 다시 들어오지 말아요,3
잠시 눈물아 안녕,5
나를 돌아보지마,3
내게서 제발 달아나,4
계절의 끝에 서 있는 추억은 이제는 보내야만 하겠지,0
나의 사랑아 그대 나를 떠나가지 말아요,5
내 가슴이 그대를 붙잡아요,1
달라져 버린 시간 돌릴 수는 없겠죠,5
그대를 정말 사랑했어요,1
사랑에 가려져 행복했던 날들이,1
세월에 걷혀 서로를 외롭게 해,0
힘든 나날들이 우릴 지치게 해,3
그대와 내가 참 많이 웃었던 적 있지,1
어떤 일에도 내게 달려왔었던 적 있지,1
헤어짐은 상상도 못 했던 적 있지,5
잊을 수도 없는 우리의 흔적들은,0
사랑은 어디로 간 걸까,0
시간이 훔쳐간 걸까,0
널 그대와 내가 잃어버린 사랑한 날들,5
웃었던 날들,1
사랑은 어디로 간 걸까,0
시간이 훔쳐간 걸까,0
널 다시 찾을 수 있을까,0
우리 사랑한 날들,1
웃었던 날들,1
그대와 내가 참 많이 울었던 적 있지,5
어떤 일에는 서로 미워했던 적도 있지,3
헤어짐을 상상해 본 적도 있었지,5
지울 수도 없는 우리의 추억들은,0
사랑은 어디로 간 걸까,0
시간이 훔쳐간 걸까,0
널 그대와 내가 잃어버린 사랑한 날들,5
웃었던 날들,1
우리는 어디에 있을까,4
이별에 가까이 온 걸까,5
돌아갈 수는 없을까,0
우리 사랑한 날들,1
웃었던 날들,1
우리 헤어진다면 그 아련했던 날들,5
잊을 수 있을까,5
사랑은 어디로 간 걸까,0
우리가 잃어버린 걸까,5
그대와 내가 놓아버린 좋았던 날들,5
그날들 내가 사랑한 날들,1
우리 지켜온 날들,1
사랑은 어디로 간 걸까,0
시간이 훔쳐간 걸까,0
널 다시 찾을 수 있을까,0
우리 사랑한 날들,1
웃었던 날들,1
하얀 눈 위에 너의 이름을 가만히 그려보네,0
아마 너도 그럴 테니까 굿바이 내 사랑아,0
걸음이 느린 난 한참을 멀리 그대 없이 그대와 걸었죠,4
행복했어 닮아있던 우리의 겨울,1
굿바이 내 사랑아 여기까지가 우리 이야기야,0
걸음이 느린 난 한참을 멀리 그대 없이 그대와 걸었죠,4
잠시 꿈처럼 사랑했던 기억도 굿바이,0
하얀 눈 속에 흩날리던 우리 사라질 때까지,5
그립지 않을 때까지 여기에 서 있을게 굿바이 나의 사랑,0
좋은 기억만 간직하고 싶어,1
아무 이유 없이 널 사랑했던 우리 모든 날들이 좋았어,1
늘 바랬던 네가 시리게 또 불어와,0
아파 이렇게 내 가슴에 남아,5
여미듯이 감싸 쥘 때,1
늘 이렇게 내가 나지막이 부른 노래가 어느새 내 입가에 남아,0
철없이 또 불러보다,1
그때는 널 보내고 나서 괜찮다 했는데,0
지금 그대 없는 날에 햇살은 따가울 만큼 아파와,5
저 꽃잎처럼 난 너 하나 기다리다,0
난 너 하나 바라보다,1
지나버린 날들 위로 나 되돌아가,0
내 뺨 위엔 네가 시리게 또 불어와,0
아파 이렇게 두 손 위에 남아,5
여미듯이 감싸 쥐면,1
그때는 날 보내고 나서 괜찮다 했는데,0
다신 돌아갈 수 없을 것 같아,5
더 아플까 봐 숨었니,3
또 바보처럼 난 너 하나 기다리다,0
난 너 하나 바라보다,1
지나버린 날들 위로 나 되돌아갈래,0
다시 없을 그날처럼,0
다시 없을 바람처럼,0
잃어버린 날들 위로 나 되돌아갈래,0
그때처럼 되돌아가 줄래,0
바람이 낯설어 그대 향기 다해서 버려두고,0
싶지 않은 예전모습처럼,0
내 사랑인걸 저 꽃잎처럼 저 바람처럼,1
나 되돌아갈래,0
난 너 하나 기다리다,0
난 너 하나 바라보다,1
떠나버린 날들 위로,0
되돌아갈래,0
나 되돌아갈래,0
이젠 나 돌아가 돌아가 돌아갈래,0
내 뺨 위엔 네가 시리게 또 불어와,0
아파 이렇게 두 손 위에 남아,5
여미듯이 감싸 쥐면,1
날 바라봐주지 않아도 나를 사랑하지 않는대도,4
나 아닌 사람 곁에 있어도 언제나 난 여기 있어요,0
하루만 더 그리워할게,0
하루빨리 잊혀 지면 안돼요,5
이렇게 나만 아픈 거라고 누구도 말해주지 않았어요,5
끝이 없는 기다림이 끝내 사랑이 아니라 해도,0
결국 혼자 남겨 진다해도 끝내 멈추지 못할 나잖아,0
하루만 더 그리워할게,0
하루빨리 잊혀 지면 안돼요,5
이렇게 나만 아픈 거라면,5
사랑하지 말 것을 그랬네요,5
비워낼수록 무거워지고 밀어내려할수록 가까워지기만 한 너,3
모든 건 결국 네 탓 인거라,3
매일 다그치며 화내도 끝내 돌아오지 않을 너인데,3
하루만 더 그리워할게,0
하루빨리 잊혀 지면 안돼요,5
이렇게 나만 아프고 힘든데 왜 난 그댈 사랑하나요?,5
하루만큼 내게 오기를 하루만 더 내게 잘 해 주기를,1
그대의 등 뒤 어두운 방 한 켠이 내가 있어야 할 나의 집이죠,1
이젠 떠나야 할 나의 집이죠,5
믿었던 너마저 나를 떠나버렸고,5
사랑했던 너마저 나를 슬프게 하고,5
이제 남아있는 건 또 나 혼자서 바라보기,4
또 나 혼자서 애써보기,4
또 나 혼자서 살아보기,4
그냥 그때 한 번이라도 덜 사랑한다 말해 줄 걸,0
그냥 그때 한 번이라도 덜 안아 줄 걸,0
그랬나 봐 그럼 어떻게든 나 지금보단 덜 힘들었을까,0
나의 노력마저도 다 부질없었고,3
너의 진심마저도 다 거짓말 같고,3
이제 남아있는 건 또 나 혼자서 웃어보기,4
또 나 혼자서 이해하기,4
또 나 혼자서 잊어보기,4
그냥 그때 한 번이라도 더 사랑한다 말해 줄 걸,0
그냥 그때 한 번이라도 더 안아 볼 걸,0
그랬나 봐 그럼 어떻게든 널 나 어떻게 난 널 잊을 수 있을까,0
나 어떻게 난 널 나 어떻게 난 널 잊을 수 없나 봐,0
부르튼 입술 사이로 겨우 내어보는 긴 한숨,0
어느새 창가에 서린 새하얀 입김 사이로 널 그려보곤해,1
쌓여가는 마음 한켠엔 깊숙히 남겨진 그리움,0
이 계절 어딘가 숨쉬는 너의 모습 잊혀진 겨울은 기어코 피어나,0
온 세상에 하얀 첫 눈이 내려 아득했던 네가 더 선명해져,1
계절의 저편에 반대로 서면 밝게 반짝이는 우리 마음이 내려 앉은 거리,1
네가 가득했었던 그 겨울,1
언제부터가 내 하루는 지지않는 긴 겨울같아,5
생각을 지워도 마음은 널 그리는 그렇게 겨울은 오늘도 피어나,0
온 세상에 하얀 첫 눈이 내려 아득했던 네가 더 선명해져,1
계절의 저편에 반대로 서면 밝게 반짝이는 우리 마음이 내려 앉은 거리,1
네가 가득했었던 그 겨울,1
우리가 사랑한 이 계절이 여전히 내안에 채 녹지 못했나봐,0
무심하게 바라본 하늘 가득히 하얀눈이 내려,1
어쩌면 너일까 내 세상에 널 닮은 첫 눈이 내려,1
단 하나 바랐던 너로 물들어 기억을 거슬러 딛는 걸음이 고요히 거리에 덮혀 사라져간다해도 나는 가득히 채워 너를,0
사라져 가는 기억을 맴돈다,5
서러워진다,5
허무하게 돌아오는 계절,5
이별처럼 슬피,5
"""Don't Say Goodbye 떠나지 마요""",5
"""Don't Say Goodbye 떠나지 마요""",5
"""Good bye Good bye Don't Say Goodbye 떠나지 마요""",5
별처럼 많은 네 흔적들이 내게 밀려와,0
참았던 눈물들과 말하지 못했던 수많은 말들,0
여전히 날 채운 채 남아있어,0
무너진 날들은 이 겨울 속에 묻힌 채 잊혀져 가기를,5
모진 말들도 따스했던 네 표정들도 모두 다 저 하늘 속에 흩어지기를,0
유독 긴 이 겨울밤 그 속에서 길을 잃은 나,4
나의 하루는 낮조차 밤인 것 같아,5
지우려 애를 써도 미처 다 지우지 못한 날들,5
여전히 내 주위를 맴돌아,0
무너진 날들은 이 겨울 속에 묻힌 채 잊혀져 가기를,5
모진 말들도 따스했던 네 표정들도 모두 다 저 하늘 속에 흩어지기를,0
사랑한 기억도 헤어짐도 다 꿈이었으면,0
이 긴 밤이 지나가면 깨어날 수 있을 텐데,0
무너진 날들은 이 겨울 속에 묻힌 채 잊혀져 가기를,5
모진 말들도 따스했던 네 표정들도 모두 다 저 하늘 속에 흩어지기를,0
해맑은 미소로 나를 바보로 만들었소,1
내 곁을 떠나가던 날 가슴에 품었던 분홍빛의 수많은 추억들이 푸르게 바래졌소,5
어제는 떠난 그대를 잊지 못하는 내가 미웠죠,0
하지만 이젠 깨달아요 그대만의 나였음을,1
다시 돌아온 그댈 위해 내 모든 것 드릴 테요,1
우리 이대로 영원히 헤어지지 않으리,1
나 오직 그대만을 사랑하기 때문에,1
커다란 그대를 향해 작아져만 가는 나이기에,0
어제는 지난 추억을 잊지 못하는 내가 미웠죠,0
하지만 이제 깨달아요 그대만에 나였음을,1
다시 돌아온 그댈 위해 내 모든 것 드릴 테요,1
우리 이대로 영원히 헤어지지 않으리,1
