lyrics;emotion
"우연처럼 필연처럼 우리들은 운명이라 믿었어";"1"
"더는 외롭지 않을 거야 언제든 기댈 수 있어서";"1, 4"
"이젠 힘들고 지쳐 위로받고 싶어";"3"
"슬프고 아파 이해되길 바라";"5"
"세상의 모든 사랑하는 그대 당신의 편이 돼 줄게";"1"
"이 세상이란 환한 빛처럼 밝게 비춰 줄게요";"1"
"힘들고 지쳐 위로받고 싶어 슬프고 아파 이해되길 바라";"3, 5"
"세상의 모든 사랑하는 그대 당신의 편이 돼 줄게 당신의 편이 돼 줄게";"1"
"내가 싫다고 갔잖아 왜 다시 돌아온 건데";"3"
"이제 조금 견딜 만 해졌는데 왜 다시 돌아온 거야";"3, 5"
"다시는 안 보겠다고 그렇게 다짐했는데";"5"
"머리가 하얘지고 모든 게 내 생각과 반대로 인 거야";"3, 5"
"가라고 하고 싶어 몸이 말을 듣지 않아";"3, 4"
"네가 내게 했었던 것처럼 모질게 보내고 싶은데";"5"
"익숙한 네 말투와 따뜻했던 너의 품이 다시 또 무너지게 만들어";"5"
"나를 너무 잘 알아서 그래서 더욱 두려워";"5"
"눈물이 떨어지고 모든 게 내 생각과 반대로 인 거야";"5"
"가라고 하고 싶어 몸이 말을 듣지 않아";"3, 4"
"네가 내게 했었던 것처럼 모질게 보내고 싶은데";"5"
"익숙한 네 말투와 따뜻했던 너의 품이 다시 또 무너지게 만들어";"5"
"또 하나의 상처만 늘어가는 거겠지 난 잘 버텨 왔었는데";"5"
"잘 견디고 있었는데 조금은 괜찮을 거라고 생각했어";"5"
"아니었나 봐 익숙한 네 말투와 따뜻했던 너의 품이 또다시 무너지게 만들어";"5"
"이렇게 무너지게 만들어";"5"
"사랑은 이만큼 이만큼 크지만 보여줄 수가 없네 난";"1"
"힘겨운 하루 또 하루를 알지만 도와줄 게 참 없네 난";"3"
"너의 한숨이 궁금해 무슨 일이니 묻고 싶지만";"0, 5"
"토닥토닥 다 괜찮아 아무 말 없이 다독이는 게";"1"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야";"5"
"너에게 줄 게 사랑뿐이라 그게 참 가슴 깊은 너의 한숨 걱정이 돼서";"1, 5"
"참 힘들지만 토닥토닥 다 괜찮아 아무 말 없이 다독이는 게";"1"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야 너에게 줄 게 사랑뿐이라";"1, 5"
"네 방의 거울이 되고 싶어 괜찮은 척하는 너의 그 아픔을 볼 수 있을 것 같아서";"1, 4"
"토닥토닥 다 괜찮아 이렇게 아무 말 없이 다독이는 게";"1"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야 너에게 줄 게 사랑뿐이라 그게 참";"1, 5"
"잠깐 내 얘길 들어봐 아무도 모르는 비밀";"0"
"요즘 내 안에 누군가 생긴 것만 같아 정말이야 점점 커지는 것 같아";"2"
"내 맘 묻지 마 그게 누구냐고 고백이 참 어려워";"3"
"오늘도 나만 혼자 말하는 거야 너만 몰라";"4"
"사실은 내가 말한 그 사람 반한 그 사랑 구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야";"2"
"자꾸 말해 달래 누구인지 대신 물어봐 준다고 너인 줄도 모르고";"2"
"그렇게 바보처럼 말하는 거야 너만 몰라";"4"
"사실은 내가 말한 그 사람 반한 그 사랑 구름에 가려진 별처럼 뒤에 숨어 항상 너만 보던 나야";"2"
"다가갈까 조금씩 말해볼까 넌 어때 자신이 없어 걱정돼";"3, 2"
"지금 이렇게 좋은 우리 가까운 사이 깨어질까";"3"
"모두들 물어봐 언제쯤 고백해 답답하게 또 기다려";"3"
"나를 알아주길 내 맘 알아주길";"0"
"구름에 가려진 별처럼 보이지 않아도 내 맘 항상 너야";"2"
"사람들 틈에 숨어서 소리도 없이 또 흘렸던 셀 수 없는 눈물";"5"
"셀 수 없는 기억 그 어떤 말의 위로들도 위로가 되지 않아서";"5"
"너무 힘든 하루 너무 아픈 하루";"3"
"모두 잠든 밤 숨죽여 울지 마 마음속의 널 깨워 마주할 수 있게";"1"
"서투른 발걸음 이젠 다 괜찮아 두렵지 않도록 손 내밀어 줄게";"1"
"천천히 와줄래 겨울이 지나고 찾아온 봄처럼 얼어붙은 마음 넘어지지 않게";"1"
"천천히 와줄래 눈앞의 나와 눈 맞추고 수고했다는 말을 건네면";"1"
"내게 스며든 용기 더는 작아지지 않아";"1"
"가끔은 중심을 잃고서 넘어질 것만 같이 보여도";"3"
"그저 해 오던 대로 다시 믿으며 나아가";"1"
"모두 잠든 밤 숨죽여 울지 마 마음속의 널 깨워 마주할 수 있게";"1"
"서투른 발걸음 이젠 다 괜찮아 두렵지 않도록 손 내밀어 줄게";"1"
"천천히 와줄래 겨울이 지나고 찾아온 봄처럼 얼어붙은 마음 넘어지지 않게";"1"
"천천히 와줄래 언제든지 어디서라도 빛날 거야 찬란하게";"1"
"어제의 어둠 오늘의 눈물 걱정하지 마 누구보다 환하게 빛날 테니까";"1"
"서투른 발걸음 이젠 다 괜찮아 두렵지 않도록 손 내밀어 줄게";"1"
"천천히 와줄래 겨울이 지나고 찾아온 봄처럼 얼어붙은 마음 넘어지지 않게 천천히 와줄래";"1"
"욕심이었던 걸까 나와는 다른 널 사랑한다는 게";"5"
"언제나 환하게 웃던 사랑스럽던 그런 너를";"1"
"착각이었던 걸까 내가 널 행복하게 만들 거란 게";"3, 5"
"어딘지 모를 아픔을 헤아릴 수 있을 것만 같은데";"5"
"한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파";"5"
"잊을 순 없을 거야 너와 함께했던 모든 순간들을";"0, 5"
"아무리 지우려 해도 몸부림쳐도 널 잊을 순 없을 거야";"5"
"한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파";"5"
"하염없이 같은 자리에 서서 나는 여전히 그곳에 서 있어";"4, 5"
"앞으로 나아갈 수도 뒤돌아 갈 수도 없이";"3, 5"
"하루 종일 너를 기다려 내 품 안에 널 꼭 안고서";"0"
"사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파";"5"
"마중 나온다고 했잖아 그런데 왜 아무 소식도 왜 없는 거야";"3, 5"
"지난날들 나와 함께했던 넌데 돌아온다는 약속도 잊어버린 걸까";"5"
"너무너무 잔인해도 지쳐버린 마음에 녹슬은 가슴에 내가 벙어리가 됐어";"3, 5"
"처음으로 너를 잃고 돌아서 가는 길 잘못된 가슴으로 멀리도 가는 길";"5"
"잠시라도 보고만 싶은데 떠나가면 죽을지도 살지도 못 할 거라 생각을 하지만";"5"
"발걸음을 억지로 떼어 눈물 나오는데 왜 자꾸만 어리석게 자꾸 너만 불러 울어";"5"
"네가 미워서 울어 나를 떠나서 울어 너 때문에 생활이 안돼 미안해 가지 마 절대 떠나지 마";"5"
"울어 울어 울어서 한참을 살 수 있다면 그냥 울어 너만 돌아와 주면 다시 내게 오면 안 울게";"5"
"추억 그게 우습지 이제 와 소용없잖아 너 떠난 뒤에 이 빈자리가 채워지질 않아";"5"
"그래도 떠올려 생각해 보면 좋아서 위로라도 되니 추억인가 보다";"0, 1"
"깊은 밤 내 어깨에 잠든 네 향기에 취해 잠들었던 지난 기억";"0, 1"
"울어 네가 미워서 울어 나를 떠나서 또 울어 너 때문에 생활이 안돼 미안해 가지 마 절대 떠나지 마";"5"
"울어 울어 울어서 한참을 살 수 있다면 그냥 울어 너만 돌아와 주면 다시 내게 오면 안 울게";"5"
"너 없이는 단 하루라도 못 살잖아 그걸 알면서 내가 죽는다는 걸 알면서 왜 날 버려 나를 이렇게 못 살게";"5"
"울어 내가 못나서 울어 잡지 못해서 울어 망가졌어 영원히 안돼 아파요 제발 가지 마 사랑해";"5"
"울어 울어 울어서 한참을 살 수 있다면 그냥 울어 너만 돌아와 주면 다시 내게 오면 안 울게";"5"
"자꾸만 연락을 피했고 바쁘다며 약속을 미뤘고";"3"
"점점 지쳐가는 내 모습 무심한 말투 조금씩 난 널 잊어가고 있어";"3, 4"
"힘들었던 너와의 시간들 자꾸만 날 아프게만 하고";"5"
"나를 보며 웃는 네 모습 설레이지 않고";"5"
"이렇게 난 너를 지울 거야 우리는 끝난 거야";"5"
"너무나도 힘들었었어 그런 너와 사랑하는 게";"5"
"이젠 너와 난 반대로 살아가야 해 그만해 날 사랑한단 말";"5"
"그 말 너무나도 힘들어서 더는 버틸 수가 없잖아";"3, 5"
"이젠 저 멀리 날 보는 네 모습 웃고 있는 날 원망하나 봐";"5"
"자꾸 찾아오지 말아 줘 난 다른 사람과 영화 같은 사랑을 할 거야";"1"
"이제 그만 잊어줘 너무나도 힘들었었어 그런 너와 사랑하는 게";"5"
"이젠 너와 난 반대로 살아가야 해 그만해 날 사랑한단 말";"5"
"그 말 너무나도 듣기 싫어 더는 버틸 수가 없어";"3, 5"
"난 알고 있었어 다른 여잘 사랑했잖아";"5"
"어떻게 넌 날 사랑한단 말을 해 웃으며 날 안아 줬던 너";"5"
"너의 모습이 죽을 만큼 미워졌어 이젠 더는 찾지 마 나를";"5"
"First base when you think of me 뻔하지 떠올린 순간부터";"2"
"Second base When you hit me up 끝났지 여기 온 순간부터 baby";"2"
"i don't wanna catch you baby I want something other than your heart";"3"
"보다 깊은 걸 너는 아마 모를 걸 I know I know";"3"
"you like the back of my hand I want just I can make you fly we can make a lie";"2"
"눈이 마주치네 우린 숨을 덧칠해 아무도 믿을 수 없게 네 안에 나를";"2"
"I can make you fly When I'm in your eyes";"2"
"들어온 건 너지만 이 문을 연 건 나잖아 선을 넘은 건 너니까 내 안에 너를";"2"
"ay girl how do I look? 날 믿고 싶어 오늘 하루만큼은 maybe you wanna make a lie";"2"
"어떤 말도 말하지마 이건 너와 나 하나라도 미치지 않음 안되잖아";"3"
"들이켜 서로간의 호흡을 anything I like that 없어 내겐 호불호";"2"
"now you can tie me or you can bite me 그래서 어디까지 have I been invited?";"2"
"not gonna be a mistake 어차피 너나 나나 거의 비슷해";"3"
"따르지 않아 일반적인 사고의 시스템 plz stay by my side girl";"1"
"저 달빛도 우릴 밝혀 girl you make me feel so high";"1"
"급하지 않아도 돼 서두르지마 you can make me feel so fly";"1"
"깨어나지 않아도 난 괜찮아 I can make you fly we can make a lie";"1"
"눈이 마주치네 우린 숨을 덧칠해 누구도 믿을 수 없게 네 안에 나를";"2"
"I can make you fly When I'm in your eyes";"2"
"들어온 건 너지만 이 문을 연 건 나잖아 선을 넘은 건 너니까 내 안에 너를";"2"
"우리 잊지 못할 완벽한 거짓말을 만들자 I can make you fly we can make a lie";"2"
"눈이 마주치네 우린 숨을 덧칠해 아무도 믿을 수 없게 네 안에 나를";"2"
"I can make you fly When I'm in your eyes";"2"
"들어온 건 너지만 이 문을 연 건 나잖아 선을 넘은 건 너니까 내 안에 너를";"2"
"Girl why you tryna play with me 뱉은 말은 이기적이지";"3"
"나도 똑같다는 말은 하지 마 그 잘못들 내게 돌리지 마";"3"
"너무 어지러워서 견딜 수가 없어 All I know is what you did to me";"3"
"이게 다야 무슨 말이 필요해 그러니 Don't think that I'm crazy";"3"
"빨리 가줘 Don't make me feel bad 없는 말해 대체 뭐 땜에";"3"
"So don't say for me to stay 생각할수록 화만 나니까";"3"
"I don't like you make that easy 변명 들어줄 필요도 없지";"3"
"널 차라리 몰랐던 게 나았지 난 더 해줄 말도 없으니깐";"5"
"Girl don't tryna play with me 절대 I never should have let you in";"3"
"Girl why you tryna play with me I never should have let you in";"3"
"새벽 두시 반 또 네가 없는 방 It's getting calm & Cold";"6"
"I don't know what I feel I don't know how I feel What should I do";"6"
"헤어질 때 넌 왜 눈물을 흘렸어 잘못은 날 향해 And I don't understand";"5"
"Before you got a judge right or wrong Who is that guy hold your face";"6"
"솔직히 말해 울 자격도 없어 전혀 넌";"5"
"Never come back I'll forget you on my mind I'm already to be good bye";"5"
"I don't like you make that easy 변명 들어줄 필요도 없지";"3"
"널 차라리 몰랐던 게 나았지 난 더 해줄 말도 없으니깐";"5"
"Girl don't tryna play with me 절대 I never should have let you in";"3"
"Girl why you tryna play with me I never should have let you in";"3"
"Girl u make me feel like man U can't let me go out there 난 널 Producing 해 Sounds like r&b goddamn";"1"
"What will u do it on this week 영화 Cgv 어때?";"2"
"아니 우리 집은 어때 그냥 내게 Come over 해";"2"
"뭘 망설여 자기 이미 꽂았어 차 키 널 탐험해 다리부터 허리까지";"6"
"그 담은 상상으로 맡겨버리자 내일 생각해 일단 자고 일어나 널 쳐다보고 싶어";"2"
"스물네 시간 나 욕심 좀 내볼게 오늘 집에 못 들어가니 미리 전화해놔";"2"
"난 어리지만 다 괜찮아 내가 리드할게 넌 따라와 줘 Alright";"1"
"넌 다가와 줘 Alright You drive me crazy Enough to break the rule";"1"
"Girl u got me I wanna give u my owns Sometimes I'm lonely Don't leave me alone";"1, 4"
"Yes I got probs I can not breathe without u";"3"
"I'm thinkin' bout u all day long I'm thinkin' bout u all night long";"2"
"I'm thinkin' bout u all day I'm thinkin' bout u all night";"2"
"너는 나의 Muse 너 땜에 곡이 쌓여가는 중 너는 나의 Mood 너 땜에 하루가 달라지고";"1"
"아무 재미없는 하루 속에 너는 나의 이유가 돼";"1"
"매일 집에 있게 만들지 아무것도 안 하고 너와 쉬어가고 싶어 Uh";"1"
"작업 중이란 핑계로 너의 연락을 못 받아서 미안해 요즘 일이 너무 많아";"3"
"눈코 뜰 새 없이 계속해 바쁘네 하루 종일 널 떠올려 보고 싶어";"3"
"말론 부족한 거 알아 어디야 빨리 내게 말해 옆으로 와줘 Right now";"2"
"내가 옆으로 갈게 Right now Girl I wanna touch u right now";"2"
"Girl I wanna love u right now You drive me crazy Enough to break the rule";"1"
"Girl u got me I wanna give u my owns Sometimes I'm lonely Don't leave me alone";"1, 4"
"Yes I got probs I can not breathe without u";"3"
"I'm thinkin' bout u all day long I'm thinkin' bout u all night long";"2"
"I'm thinkin' bout u all day I'm thinkin' bout u all night";"2"
"I don't know why I miss u I think I still love u";"0"
"I don't know why I miss u I think I still love u";"0"
"많고 많은 Girl 들과 너무 다른 너 가질 수 없어 Oh 넌 I can never take you girl";"2"
"내게 말해줘 I need more 널 알고 싶어져 Alright";"2"
"Girl look at me 날 좀 봐 My outfit 은 Saint laurent 넌 눈길 한번 안 주지";"3"
"Just going on your way Like you don't give a shit 넌 그래서 더 예뻐 보여";"2"
"난 너를 원하고 있어 Girl 가질 수 없다는 건 날 미치게 해";"2"
"다시 말해 너는 나를 미치게 해 Tell me girl now";"2"
"How can I make you my baby 내게 조금만 이라도 알려줘";"2"
"Baby I'm going CRZY 작은 거라도 It's alright";"2"
"네가 좋아하는 색깔 네가 좋아하는 무언가 Tell me girl now";"2"
"How can I make you my baby 내게 조금만 이라도 알려줘";"2"
"Baby I'm going CRZY 작은 거라도 It's alright";"2"
"네가 좋아하는 색깔 네가 좋아하는 무언가 바로 말할게 돼주면 안 돼 나의 Ting?";"2"
"주면 안 돼? 어둠 속 안에 갇힌 나에 빛 목소리마저도 감미로워 그댄 Violin";"1"
"지금 시간 새벽 Twlv Bebe you know what I mean?";"6"
"청색 달라붙은 Jeans 달라붙은 Top 그게 너무 좋아";"1"
"큰 티가 나는 그런 사이즈 내가 어렵겠지 Girl 난 이름난 아이니";"3"
"내가 원하는 건 너와 공개적인 그런 사이니";"2"
"그래 마치 연예 News 난 안 쓸래 술수 내 돈과 차 막 그런 거 말고 나만을 봐줄 수 있게 하려 해";"1"
"믿게 하고 싶어 클럽에 스케쥴 가도 너만 있게 하고 싶어";"1"
"반오십의 다 큰 놈이래도 너를 봄 쿠키 앞에 어린아이처럼 너무 서둘러";"2"
"너와 정말 달콤한 달을 보는 것 내일 밤엔 가능하길 바래 난 열길 원해 Party";"1"
"Tell me girl now How can I make you my baby 내게 조금만 이라도 알려줘";"2"
"Baby I'm going CRZY 작은 거라도 It's alright";"2"
"네가 좋아하는 색깔 네가 좋아하는 무언가 Oh tell me girl";"2"
"Why don't you tell me girl Oh tell me girl I just wanna talk";"2"
"Tell me girl now How can I make you my baby 내게 조금만 이라도 알려줘";"2"
"Baby I'm going CRZY 작은 거라도 It's alright";"2"
"네가 좋아하는 색깔 네가 좋아하는 무언가";"2"
"I don't know why I miss u I think I still love u";"0"
"I don't know why I miss u I think I still love u";"0"
"넌 나를 얼마나 생각해 음 솔직하게 네 마음을 열어볼 수 있다면 좋을 텐데";"2"
"그러니 말로 해줘 굳이 둘러볼 필요 없지";"3"
"주위 다른 여자는 관심 주지 말고 나만 봐 I'm sorry 사랑 원래 이기주의";"3"
"높일게 우리 사이 수위 네 주위에 이만한 여자 봤어?";"2"
"I got what you need 내 머리 어깨 무릎 발 그만큼 사랑해 줘";"1"
"내 머리 어깨 무릎 발 You know what I mean";"1"
"내 머리 어깨 무릎 발 중 어디가 좋아";"1"
"내 머리 어깨 무릎 발 Sorry not sorry";"3"
"내 머리 어깨 무릎 발 Um 내 머리 어깨 무릎 발 순서대로 Yeah";"1"
"내 머리 어깨 무릎 발 네가 뭘 원하든 내 머리 어깨 무릎 발";"2"
"너의 그 머리 어깨 무릎 WOO 그거 받고 난 내가 사랑한다면";"1"
"너의 다른 부분들까지 안고 살아갈 수 있다고 그래 난 AI 로봇 같은 뻔한 ANSWER";"1"
"그래도 계속 잘 다루는 널 보면 You are early adopter doctor";"1"
"I don't know what to say Do you really think she needs me?";"6"
"죽도록 사랑하냐는 질문을 했지 끄덕이며 대답하는 나를 향해 Breathe";"1"
"혹시 She ain't going home When she post to be";"6"
"내 머리 어깨 무릎 발 머리 어깨 무릎 발";"1"
"내 머리 어깨 무릎 발 You know what I mean";""
"내 머리 어깨 무릎 발 난 내 머리 어깨 무릎 발";"1"
"Sorry not sorry 내 머리 어깨 무릎 발 머리 어깨 무릎 발";"3"
"내 머리 어깨 무릎 발 머리 순서대로 Yeah";"1"
"내 머리 어깨 무릎 발 머리 어깨 무릎 발";"1"
"내 머리 어깨 무릎 발 너의 그 머리 어깨 무릎 WOO";"1"
"도저히 잊을 수 없을걸 넌 나의 목소리부터 자태 그때 맞잡았던 너의 두 손이";"0"
"Babe you make me 목에서 등까지 날 쓸어넘기는 손이 나른한 너의 두 눈이";"1"
"Yeah I know it Don't u want me 선물 뒀으니 원하면 가져가";"2"
"네 마음대로 네 마음대로 네 마음대로 결국 내 마음대로";"1"
"Because you are on my mind All of my days and every single night single night";"1"
"There aint no way to get you Off my mind off my mind Without you I just cant breathe";"1"
"You'll never get away from me You'll never get away from me";"3"
"You'll never get away from me You'll never get away from me Stuck to me like glue";"3"
"말한 대로 If life's a movie 너가 히로인 난 주위를 맴도는 Drug addict now shootin";"2"
"Now cut 실생활로 돌아와서 We can make it store shut Woh hunnid round shots 내 지갑에 더";"2"
"I don't want head cuz u in my head hey 네 생각 해 하루 종일 Single night day after day";"1"
"Don't you get away from me I got this block like lego 우리가 함께한다면 이 영화는 터질거야 Fuego";"2"
"내 이름 출처는 Hustle and flow Yeah this my favourite movie that chosen 같이 보자 With some beer and corn";"2"
"시간 있으면 내게 두 시간만 써줘 밤새도록 짜놓은 계획을 너에게 보여주고 싶어 영화가 여기 있어";"1"
"Because you are on my mind All of my days and every single night single night";"1"
"There aint no way to get you Off my mind off my mind Without you I just cant breathe";"1"
"You'll never get away from me You'll never get away from me";"3"
"You'll never get away from me You'll never get away from me You're on my mind";"3"
"Stuck inside my head like a brain I'd be breaking breads spread it nasty";"6"
"That's a goal in my head And when I'm up You're the first to pop up in my head";"2"
"I don't usually chase a skinny girl like you But what the hell";"2"
"Baby netflix and chill is outdated 보러 갈까 선셋? Maybe we can rock out";"2"
"Some designer clothes and let it Rain 잘 알아 넌 이런 경험 처음 내적 갈등 말고 Dance";"2"
"I've been plotting for this moment I've been waiting for my chance";"2"
"Cus you are on my mind I don't wanna waste your time Now I'm under the limelight";"1"
"I wrote about you last night Imma make my move on sight When things go wrong make right";"1"
"'Rilla grip it's too tight 낮져밤이 Every night";"2"
"Because you are on my mind All of my days and every single night single night";"1"
"There aint no way to get you Off my mind off my mind Without you I just cant breathe";"1"
"You'll never get away from me You'll never get away from me";"3"
"You'll never get away from me You'll never get away from me";"3"
"247 in the studio 여전히 내 옆에서 춤을 춰 Sippin henny right 말해줘 어서";"1"
"No cappin 난 장난 아니어서 그저 Tell me everything you want 내게 말해줘 원하는 건 뭐든 말해";"2"
"Girl I wanna be your love Girl I wanna be your love";"1"
"And I told you to stay away 주위 Fck boys 그 자식들은 전부 Going to make you tired";"3"
"널 가지고 놀 뿐이야 Sit on my lap We're working on it bae I'm tryna make it bae";"1"
"내 돈은 널 위해 Let's go to the Marriott I don't got no time bae";"1"
"Tempo는 계속해서 올라 Show me love Text me when you want me";"2"
"너만 Just hit me up 내 돈을 원해도 난 Just take it off";"2"
"너의 아픔까지 전부 다 Let's run it up 다 두고서 여길 떠나";"1"
"Show me love Show me love Show me love Show me love";"1"
"Show me love Show me love Show me love I don't care if you come for my money";"1"
"니가 잘못된 게 아냐 It's not your fault 다 잡으려 해도 너무 멀지";"6"
"Girl trust me 내려놔 Your anxiety And I know you for a long time";"1"
"Put you on your own grind I'll be by your side 니가 바라던 Life";"1"
"저기 저 보이는 Cartier 니가 원하던 밤이 바로 여기에";"2"
"Cause I'm down for you 지금 분위기 앞으로 계속될 거야";"1"
"Same sxxt Now I'm stackin racks 없어 겁이 지금 Marriott에서 단둘이";"6"
"Show me love Text me when you want me 너만 Just hit me up";"2"
"내 돈을 원해도 난 Just take it off 너의 아픔까지 전부다 Let's run it up";"1"
"다 두고서 여길 떠나 Show me love Show me love Show me love Show me love";"1"
"Show me love Show me love Show me love";"1"
"지금 뭐해 당장 나는 너를 원해 Yeah If you want it Tell me where u at I'm on my way";"2"
"단번에 알아챌게 네 기분 보여줘 네 마음 아름다운 Shape Baby";"1"
"이런 건 어때 안 해 앞뒤 다른 말 원래는 나도 날카로와 내 눈을 바라봐 줘 내 어깨에 기대";"1"
"지금 뭐해 난 그게 궁금해 너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2"
"이건 내 대화의 Intro 지금 뭐해 뭐 하고 있어 I'm waiting waiting waiting waiting 꽤 많이 좋아하고 있어";"2"
"너가 칼 답을 하면 웬일 내가 필요한 건 아닐까 내가 필요한 건 아닌걸 나도 가끔 느껴 네 관심 밖인걸";"0"
"곧 열두 시야 Baby won't you cuddle with me? I can go like Hercules 이 정도면 져주지 좀 어장관리 이딴 거야?";"2"
"아님 관심이 있단 거야? 대답해 지금 뭐해 뭐 안 하면 뭐 할 건데 Right now";"2"
"너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2"
"Divin' Divin' 내 마음이 마음이 더 빠져드는데 견디기 좀 힘드네 이 밤이 밤이 가기 전에";"2"
"Baby can you tell me I'm the one 너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2"
"I think these days I'm better off on my own 요즘 난 혼자가 더 좋아";"1"
"I think these days I'm better off on my own 더 나아지고 있는 것 같거든";"1"
"Can't lie I'm missing all your love but I won't 너의 사랑이 그리운 건 맞지만";"0"
"Run back to you uninvited 무작정 너에게 달려가지는 않을 거야";"1"
"When I think about how your crying 네가 우는 모습이 생각 나도 말이야";"5"
"Something ain't right, yeah 뭔가 이상해";"6"
"Cuz lately I'm fine, yeah 내가 요즘 너무 아무렇지 않은 게";"1"
"Guess there's an end to heartbreak after all this time 마음이 무너지는 시간도 다 끝나가나 봐";"5"
"Just look and you'll find it 너도 보면 무슨 말인지 알 거야";"1"
"Cuz even when crying 가끔 슬픔이 밀려올 때도";"5"
"I'm slowly remembering 나는 천천히 떠올릴 수 있게 됐어";"1"
"how I used to live my life without you 너 없이 내가 살아왔던 시간들을";"0"
"Without you 네가 없는 이 삶은";"4"
"I was living a lie 다 거짓말 같았지만";"5"
"But now I'm thinking on my own 지금 난 온전한 혼자를 상상해";"1"
"Can't lie I'm missing all your love but I won't 너의 사랑이 그리운 건 맞지만";"0"
"Run back to you uninvited 무작정 너에게 달려가지는 않을 거야";"1"
"When I think about how your crying 네가 우는 모습이 생각 나도 말이야";"5"
"I gotta be honest 솔직해져야겠지";"6"
"Stop all the crying, Mm 우는 건 그만 두자";"6"
