diary,emotion
"겨울 방학. 개강을 한 달 정도 앞두고 계획하고 고대하던 강릉 여행을 다녀왔다. 강릉 여행은 이번이 두 번째인데, 저번에 당일치기로 다녀왔던 아쉬움을 잊을 수가 없어서 다시 강릉으로 계획을 잡았다. 밤바다도 보고 싶은 마음도 있어 많은 여행지 중에 강릉으로 골랐다. 여행의 시작은 우여곡절이 많았다. 실수로 버스를 익일자로 예매해서 새로 티켓을 끊어야만 했다. 환불하고 새 티켓을 구매하는 것조차도 여행의 재미인 것 같아서 즐거웠다. 강릉에 도착해서는 곧바로 초당순두부마을로 향해서 짬뽕순두부전골을 먹었다. 순두부마을에서 빼놓을 수 없는 순두부젤라또를 먹으며 허난설헌 생가터로 향했다. 원래 이런 곳은 잘 안 가는데 매번 먹고 숙소에서 쉬는 여행만 할 수는 없다는 생각에 이번 여행은 걷는 계획을 꽤 많이 넣었다. 허난설헌 생가터를 따라 걷다 보면 강릉 바우길이 나온다. 강릉 바우길의 끝은 경포호와 이어져서 경포호까지 볼 수 있었다. 억새가 즐비한 경포호를 따라 걷다가 몸을 녹이려고 근처에 있는 카페로 들어가 휴식을 취했다. 잠시 재충전의 시간을 갖고 다시 출발한 곳이 강릉에서 유명한 빵을 파는 곳이었다. 기다리지 않고 곧바로 구매했고, 저녁으로 먹을 꼬막무침과 육회무침을 사서 숙소로 돌아왔다. 저녁까지 배부르게 먹고 따뜻한 곳에서 몸을 녹이고 침대에 누워 있으니 무릉도원이 따로 없었다. 그러니 잠이 오는 것도 당연한 일이었다. 눈을 감았다가 떴다고 생각했는데 친구와 나 모두 잠들었는지 밤 열 시가 다 되어갔다. 밤바다를 보러 갈지 말지 고민하다가 처음 강릉을 선택한 이유를 잊지 말자며 안목해변으로 출발했다. 안목해변은 추워서인지, 늦어서인지 아무도 없었다. 바다를 독점한 기분으로 한참 동안 바다를 누비고 다녔다. 카메라에, 내 눈에 바다의 모습을 담으려고 노력했다. 귀가 떨어질 것 같은 기분이 들 때 쯤에 다시 숙소로 돌아왔다. 여행의 끝은 언제나 야식이어야 한다며 피자를 시켜서 나눠먹고, 피곤한 몸을 이끌어 잘 준비를 끝마쳤다. 잘 준비를 마치고 나면 침대에 누워 시답잖은 얘기를 나누다가 다음 날의 계획을 생각하며 눈을 감았다. 초등학교 때 일기를 쓰면 보람찬 하루였다는 말을 꽤 많이 썼던 것 같은데 이번에는 그 말의 의미까지 확실하게 달성해 이 말을 마무리 문장으로 쓸 수 있을 것 같다. 보람찬 하루였다, 오늘은.",0
"나는 요즘 너 덕분에 많은것을 느껴. 넌 어제와 다를것 없이 여전하더라. 아 달라진건 딱 하나 있어. 더 느려진 너의 답장 속도. 오늘도 변함없이 똑같은 나의 질문과 너의 대답. 난 항상 니가 밥은 먹었는지, 잠은 잘 잤는지, 오늘 하루는 어땠는지 궁금해하고 넌 항상 그렇다고, 그냥 그렇다고 대답을 하곤해. 그럼 난 너의 대답뒤에 숨겨진 질문이 있을까 항상 기대를 했다가 실망해. 매일 똑같은 상황만 반복돼. 오늘 그렇게 상처를 받고 아파해도 ""에이 내일이면 달라질거야. 오늘은 기분안좋은일이 있어서 그런거겠지"" 라며 나를 세뇌시키고 또 세뇌시켜.  너의 변한 행동이 나 때문일까, 내가 뭘 잘못해서 그런걸까 생각하고 또 생각해. 너의 마음을 다시 되돌리기 위해 난 화가나도, 서운한게 있어도 티 내지 않고 괜찮은척을해. 이제는 괜찮은척을 하도 해서 익숙해졌어. 겉으로는 티가 나진 않지만 속은 얼마나 썩어서 망가져있는지 몰라. 내 망가진 속을 누가 알아줄까. 니가 알아주면 좋겠다. 한번만 꼭 안아주면 좋겠다. 오늘도 나는 눈물 속에 갇혀 눈물이 더이상 나오지 않을 때까지 울다가 잠이 들것같아. 처음으로 돌아가고싶어. 나중에라도 다시 돌아와줘. 그 기간이 반년이고 일년이라도 항상 기다리고 있을게. 사랑해 오늘도. 내일은 오늘보다 더 사랑해.",0
항상 내 손을 내친 건 넌데 나는 한 번도 네 손을 놓은 적이 없는데 우리가 벼랑 끝에 서 있어도 나 혼자 절벽에서 떨어지고 있을 때도 나는 네 손끝조차 한 번 놓은 적이 없었어 너도 알잖아,0
세상을 오래산  할머니의  말씀이,0
"어제, 떠난 그들의 트위터 계정이 사라질지 모른다는 이야기를 들었다.",0
"환기 시키면서 요리를 하느라 창문을 열어놓고 볶았는데, 생각보다 추워서 싫었다. 눈이 오진 않았지만 쌀쌀맞으며 교묘한 찬바람 때문에 성가심을 느꼈다. 요리를 하면서 몸도 추우니 옛 생각이 나서 잠시 서글퍼졌다. 네 가족이 모두 모여 함께 식사를 한게 언제인지… 10년은 더 된것 같아 가족들의 정이 그리워졌다. 어머니는 나와 함께 있고, 동생은 언제든 연락할 수 있는 상황이었지만 아버지는 그렇지 않다. 나의 아버지는 편협하고 자신만이 최우선인 인간이었지만, 때때로 인간적인 면모를 우리에게 보여줘서 좋은 추억들을 만들게 해줬었다. 나쁜 기억도 있지만 좋은 기억들도 있어서 아버지가 다시 보고 싶어졌다. 아버지 생각을 하면서 요리를 하다니, 나도 참 청승이다. 겨울의 마지막자락이 얼마 남지 않아서 그런것일까. 마음이 싱숭생숭해서 그런것일까.",0
내가 겪은,0
"내가 걸어온 이 길들이, 이 기록들이, 결국 내 흔적이자 발자취로 남아 날 지켜주는 전리품이 되었구나.",0
"나는 요즘 너 덕분에 많은것을 느껴. 넌 어제와 다를것 없이 여전하더라. 아 달라진건 딱 하나 있어. 더 느려진 너의 답장 속도. 오늘도 변함없이 똑같은 나의 질문과 너의 대답. 난 항상 니가 밥은 먹었는지, 잠은 잘 잤는지, 오늘 하루는 어땠는지 궁금해하고 넌 항상 그렇다고, 그냥 그렇다고 대답을 하곤해. 그럼 난 너의 대답뒤에 숨겨진 질문이 있을까 항상 기대를 했다가 실망해. 매일 똑같은 상황만 반복돼. 오늘 그렇게 상처를 받고 아파해도 ""에이 내일이면 달라질거야. 오늘은 기분안좋은일이 있어서 그런거겠지"" 라며 나를 세뇌시키고 또 세뇌시켜.  너의 변한 행동이 나 때문일까, 내가 뭘 잘못해서 그런걸까 생각하고 또 생각해. 너의 마음을 다시 되돌리기 위해 난 화가나도, 서운한게 있어도 티 내지 않고 괜찮은척을해. 이제는 괜찮은척을 하도 해서 익숙해졌어. 겉으로는 티가 나진 않지만 속은 얼마나 썩어서 망가져있는지 몰라. 내 망가진 속을 누가 알아줄까. 니가 알아주면 좋겠다. 한번만 꼭 안아주면 좋겠다. 오늘도 나는 눈물 속에 갇혀 눈물이 더이상 나오지 않을 때까지 울다가 잠이 들것같아. 처음으로 돌아가고싶어. 나중에라도 다시 돌아와줘. 그 기간이 반년이고 일년이라도 항상 기다리고 있을게. 사랑해 오늘도. 내일은 오늘보다 더 사랑해.",0
"사실 외할머니와 그렇게 친밀한 관계는 아니었다. 아주 가끔 외할머니로부터 전화가 걸려오면 엄마에게 전화기를  바꿔주기 전까지 간단히 대화하는 정도. 그리고 명절 때 얼굴도장 찍으러 가는 정도. 치매에 걸리신 뒤로는 내 이름도 잘 기억 못하셨고, 아마 돌아가시기 직전에는 내 존재조차 모르셨을거다.",0
세상을 오래산  할머니의  말씀이,0
이리 컷구나 싶게.. 새로운 감회가 든다,0
이제 욕심을 버리로 나와 가족 행복한 삶을 이어나갈수 있도록 남은 내 인생을 돈에 움직이지 말고 나를 위해 가족을 위해 살아가는 내가 되었으면 좋겠다,0
"그렇게 나는 영화관에서 일하며 보게 된 영화가 지금까지 몇백편이나 되는지 셀 수 조차 없다. 내가 본 모든 영화에는 그 순간의 기분이 스며있다. 가끔 티비에서 명작이라며 해주는 옛날 영화들을 보면, 직접 보았던 때의 기분이 다시 생각나고는 한다. 그렇게 영화란 나에게 추억을 되살리는 역할이며, 먹고살기 힘들었던 시절의 먹거리가 되기도 하고, 힘든 일이 있을 때 이겨내거나 도망갈 수 있는 존재이기도 하다.",0
그런 나인데 나는 오늘 비엔나의 왕궁예배당에서 미사를 보며 처음으로 그시절이 그리워졌다.,0
뭉친 신문지 여는 건 늘 너야 유리 조각에 찔려 아픈 건 나고,0
10월은 쌀쌀해져서 아빠 생각난다. 겨울이 생각나서 그립다. 비 올때마다 아빤 가게문을 닫고 재료사러 서울로 갔는데 아빠 차타고 같이 갔던게 그립다. 아빠랑 있었던 그곳의 냄새도 풍경도 그립다. 이제 다신 갈 일이 없어서. 어딘지도 몰라서 슬프다.,0
너를 보면 기쁘다. 힘들다. 슬프다. 사랑스럽다.,0
너를  보내고  첫 편지를  쓸때  산  우표  20개가  5개  남았구나.  이 편지를  받아 볼  때쯤이면  훈련을  끝내고  가벼운 마음으로  수료식을  기다리고  있겠지?  너의  인생에서  가장  길었을  7주를  돌아보면  어떤  마음일까?  도움없이  스스로 겪어냈으니  나는  너에게  최고라고  말하고  싶다.,0
시작은 설 전에 엄마와 이야기하다 외할아버지의 외모 이야기가 나왔었고 엄마는 외할아버지가 제법 잘생기셨다고 했다. 나는 기억이 나지 않으므로 할머니 댁에 가면 할아버지 젊으실적 사진이 있을까? 하고 물었더니 그렇다고 했다. 엄마의 말대로 할머니의 집에는 할머니와 할아버지가 사이좋게 찍으신 사진이 액자에 걸려 있었다. 그리고 또 다른 사진이 있었는데 그건 애기였을적 나와 엄마와 아빠 그리고 할머니 할아버지가 다같이 찍은 할아버지와 할머니 두분이 담긴 사진과 똑같은 구도였다.,0
오늘의 꿈 이야기이다.  꿈 속에서 나는 사촌들과 같은 대학을 다니고 있었다.(지금은 설이나 추석 때에 인사조차 하지 않는 사이지만 무의식의 나는 아직 어릴적처럼 그 친구들과 친한 관계를 자주 상상하는 것 같다.) 그리고 내겐 새로운 친구가 생겼다. 오늘의 꿈 이야기를 이렇게 기록해야지 생각하게 된 건 이 친구때문이다.,0
어느새 익숙해진 공항에서 줄을 서 있을 땐 처음 인천공항에 왔던 남미 여행이 떠올랐다. 어떻게 해야 할지 몰라 우왕좌왕했던 그 때를 생각하면 지금의 긴장감은 아무것도 아니었다. 그렇게 생각하니 좀 마음이 편해지는 것 같았다.,0
형제들과 옹기종기 모여서 영화를 보면 좋았다.  이제는 같이 어린 시절의 이야기를 나누며 추억에 빠져들곤 한다. 여러 번 돌려 보면서 많이 본 영화는 대사를 외워서 주고 받고 할 수 있을 정도이다. 옛날에는 비디오 테이프로 봤는데 이사를 오면서 다 버렸다. 그게 아쉽다.  한 번 보고 나면 비디오 테이프를 다시 되감아야 하는데 잘 되지 않으면 수동으로 감아주곤 했다. 비디오 테이프를 재생할 수 있는 기계도 있어야 하고 비디오 테이프가 한 번 늘어져 버리면 다시 볼 수 없지만 그 시절의 추억이다.,0
또 우리 꽁배우를 보며 세월의 흔적이 보인다,0
천진난만 눈으로 하루하루 엄마를,0
어릴 _에는 이런일 정말 없었는데.,0
시작은 설 전에 엄마와 이야기하다 외할아버지의 외모 이야기가 나왔었고 엄마는 외할아버지가 제법 잘생기셨다고 했다. 나는 기억이 나지 않으므로 할머니 댁에 가면 할아버지 젊으실적 사진이 있을까? 하고 물었더니 그렇다고 했다. 엄마의 말대로 할머니의 집에는 할머니와 할아버지가 사이좋게 찍으신 사진이 액자에 걸려 있었다. 그리고 또 다른 사진이 있었는데 그건 애기였을적 나와 엄마와 아빠 그리고 할머니 할아버지가 다같이 찍은 할아버지와 할머니 두분이 담긴 사진과 똑같은 구도였다.,0
여기에 내용을 직접쓰기엔 너무 유치하고 그림이 많아서 쓸수는 없지만 일기를 읽으니 그때 당시 기억이 새록새록 난다.,0
"내게 할머니는 커다란 둥지였고, 늙은 어머니였고, 내 선생님이었고, 내 친구였고, 내 인생을 손으로 더듬어 쓰다듬어주었던 분이셨다. 내가 너무 당신을 거대하게 만들었다고 생각할 지도 모르겠지만, 안타깝게도 그 분께서는 내 옆에 있으셨을 적부터 눈이 나빠 큰아들이 보낸 편지를 내가 낭랑히 읽어드려야 했고, 내가 이 글을 쓸 때는 이미 할머니께서 내 곁을 떠난지 1년이 되는 날을 하루 앞두고 쓰는 글인지라 어렸을 때처럼 맑은 목소리로 낭랑하게 이 글을 모두 읽어도 나를 탓하실 수는 없으시다. 편지 내용을 낭랑한 손녀의 목소리로 조용히 들으시던 당신 눈동자는 계곡의 돌멩이를 닮았었다. 그 색이 청동을 닮아 내 얼굴이 코앞에 있지 않으면 보지 못하신다는 걸 알면서도 그 눈을 사랑했다.",0
"내게 할머니는 커다란 둥지였고, 늙은 어머니였고, 내 선생님이었고, 내 친구였고, 내 인생을 손으로 더듬어 쓰다듬어주었던 분이셨다. 내가 너무 당신을 거대하게 만들었다고 생각할 지도 모르겠지만, 안타깝게도 그 분께서는 내 옆에 있으셨을 적부터 눈이 나빠 큰아들이 보낸 편지를 내가 낭랑히 읽어드려야 했고, 내가 이 글을 쓸 때는 이미 할머니께서 내 곁을 떠난지 1년이 되는 날을 하루 앞두고 쓰는 글인지라 어렸을 때처럼 맑은 목소리로 낭랑하게 이 글을 모두 읽어도 나를 탓하실 수는 없으시다. 편지 내용을 낭랑한 손녀의 목소리로 조용히 들으시던 당신 눈동자는 계곡의 돌멩이를 닮았었다. 그 색이 청동을 닮아 내 얼굴이 코앞에 있지 않으면 보지 못하신다는 걸 알면서도 그 눈을 사랑했다.",0
슬픔이 물 밀 듯 밀려온다.,0
그고통을 더는 참지 못하고 우리곁을 떠나셨다,0
그렇게 강아지에대해 알아가고 라임이에대해서 알아가면서 어느새 고삼이었던 나는 26살이 되었다.,0
10월은 쌀쌀해져서 아빠 생각난다. 겨울이 생각나서 그립다. 비 올때마다 아빤 가게문을 닫고 재료사러 서울로 갔는데 아빠 차타고 같이 갔던게 그립다. 아빠랑 있었던 그곳의 냄새도 풍경도 그립다. 이제 다신 갈 일이 없어서. 어딘지도 몰라서 슬프다.,0
마지막으로 나는 당신의 행동을 돌이켰다.,0
미래를 향한 꿈보다는 추억할 일들이 많은 삶,0
너무 보고 싶디 보고 싶은 당신 이제 볼 수도 없네,0
너무 고운 당신 이제 가버렸네,0
"일년 정도 지난 후 망설임 끝에 차장님을 찾아갔을 때 차장님은 같은 옷을 입고, 같은 자리를 지키고 있었다. 나와 눈이 마주치자 활짝 웃어주시는 차장님의 얼굴을 보며 망설였던 마음이 죄송함으로 바뀌는 순간이었다.",0
"할아버지는 어린 나를 매우 예뻐하셨다고 했었다. 다만 내가 태어났을때는 이미 할아버지가 아프신 상태였다. 할머니는 할아버지가 살아 계실 적에 했던 말씀 중에 가장 마음에 남는 말이 저 사진을 찍기 전에 하신 말이라고 하셨다. 우리 가족과 놀러갈까 하고 물었더니 할아버지가 할머니에게 나 많이 아파 라고 ,  그 말이 계속 기억에 남는다 하셨다. 그 말을 들은 나도 왠지 울컥했다. 그럼에도 할아버지는 우리 가족과 사진을 찍었으니까.",0
하는 순간 내나이 어느덧 40줄 믿기지 않치만 세월이 이렇게 빨리 간다니,0
지금 이글을 쓰느 순간도 지나고 보면 추억으로 남을것이고 10년뒤 이글을 다시보게 된다면 그때는 어떤기분이 들까?,0
"기회가 되면, 또다시 쿠알라룸푸르의 그 완탕면을 먹어보고 싶다.",0
갑자기 초보시절의 내 모습이 생각나네.,0
나는 잡고 싶으나,0
"소체육관 밖으로 한 걸음을 딛자 쨍한 햇살과 함께 바이바이-하며 손을 흔드는 사람들의 모습이 보이고, 기합이 잔뜩 들어간 목소리들이 들렸다. 그 순간 이게, 이 순간이 뭔가 청춘 같다는 생각이 들었다.",0
상상의 나래를 많이도 펼쳐 보았던 학창시절 아름다운 추억도 많았지,0
상상의 나래를 많이도 펼쳐 보았던 학창시절 아름다운 추억도 많았지,0
학교를 안가는데 놀지도 못해.. 친구들이 보고 싶다. 마스크도 끼지 않은 맨 얼굴을 맘 편하게 보고싶다..,0
하루를 마무리하며 혼자 맞이하는 달빛은 유달리 많은 이야기를 떠 올리게 한다. 바다 위에 떠 있는 보름달빛 받으며 출렁거리는 파도를 보니 하늘에 계신 아버지 생각이 온몸을 휘감는다. 밤에 보는 바닷가 풍경은 낮과 달리 파도 소리가 더 위엄있고 웅장하게 들린다.,0
나는 그 무엇을 이룰 수 있을까,0
이렇게 날 여실히 보여주는 기록이 또 있을까.,0
"할아버지는 어린 나를 매우 예뻐하셨다고 했었다. 다만 내가 태어났을때는 이미 할아버지가 아프신 상태였다. 할머니는 할아버지가 살아 계실 적에 했던 말씀 중에 가장 마음에 남는 말이 저 사진을 찍기 전에 하신 말이라고 하셨다. 우리 가족과 놀러갈까 하고 물었더니 할아버지가 할머니에게 나 많이 아파 라고 ,  그 말이 계속 기억에 남는다 하셨다. 그 말을 들은 나도 왠지 울컥했다. 그럼에도 할아버지는 우리 가족과 사진을 찍었으니까.",0
"우선 컴퓨터공학과 18학번으로서의 지난 1년을 돌이켜보자면, 이제 나름 '생각'이란 걸 하기 시작했다고 볼 수 있겠다. 학교에 이제 막 들어온 1학년 새내기 시절에는 진짜 아무것도 몰랐다. 아무것도 모른다는 핑계로 아무것도 안 했다. 무언가를 알려고 특별한 노력을 하지도 않았다. 우선 그때의 내 상황을 설명하자면, 초등학교 방과 후 시간에 배웠던 파워포인트, 엑셀, 한글, 포토샵과 고등학교 정보 시간에 배웠던 html이 내가 할 줄 아는 전부였다. 그토록 원하던 컴퓨터공학과에 들어왔음에도 불구하고 전공 공부는커년 수험생활 때 놀지 못했던 한을 푸느라 바빴다. C언어와 파이썬을 배울 때도 그냥 수업을 간신히 따라가는 정도로만 공부했다. 프로그래밍이 신기하긴 했지만 딱히 흥미를 느끼지도 않았고, 프로젝트는 무슨 예습 복습도 잘 안 했다. 그렇게 그냥 떠밀리듯이 1년을 보냈다.",0
어느새 익숙해진 공항에서 줄을 서 있을 땐 처음 인천공항에 왔던 남미 여행이 떠올랐다. 어떻게 해야 할지 몰라 우왕좌왕했던 그 때를 생각하면 지금의 긴장감은 아무것도 아니었다. 그렇게 생각하니 좀 마음이 편해지는 것 같았다.,0
미칠 듯한 그리움을 불러일으킬 때,0
다시 기다림속에 이다지 지루한지 새삼 느낀다,0
"그래도 나쁘지 않았다. 소중히 하려고 노력했다. 커다랗게 울리는 음악 소리, 작은 효과음, 화면 가득 차는 배우들의 얼굴, 내가 좋아했던 것들, 미처 내가 놓쳤을 것들.",0
너무 고운 당신 이제 가버렸네,0
완전히 돌아선 이후로 조금은 괜찮아 졌다,0
그냥 내가 덜 아파서 추억이 될 수 있을때,0
그리고 사진은 말할 필요도 없이 할 말이 정말 많았다.,0
엄마도 꽃을 참 좋아하셨는데.- 병상에 계실때에 사위가 보내드린 꽃바구니를 받아들고 행복해 하시던 모습이 떠올라 코끝이 찡해온다,0
새벽 일찍 일어나 일하고 밤 늦게 집에 돌아와 퉁퉁 부은 다리를 주무르며 힘들어서 못하겠다고 했지만 휴게소 알바는 내게 좋은 경험이었다. 그리고 생각해보면 그리 힘들지만은 않았던 것 같기도 하다.,0
별 거 없는데 바빴다. 처음 간단한 (초등학생 수준) 제식을 스무살 청년들이 맞출 땐 우스꽝스럽지만 뿌듯했다.,0
그때까지 더 강해져 있어야지.,0
훈련소에서 지낸 7주가 네 인생에서 어떤 전환점이 될지 무척 궁금하고 기대가 된다. 이제 정보통신학교에 가서 4주간 공부를 한다니 지금까지처럼 잘 해내리라 믿는다. 그리고 그곳에 가면 면회가 가능하다니 너를 만날 생각에 벌써 마음이 들뜬다. 군복입은 너의 모습을 보려고 홈페이지에 올라온 사진을 커다랗게 인쇄해서 책상에 붙여놓고 매일 보고 있다.,0
"12월은 내가 제일 좋아했던 계절이라 슬프다. 크리스마스때마다 아빠랑 차 타고 서울 나들이 갔던 게 생각나서 그립다. 아빠랑 마지막으로 갔던 백화점이 어딘지 기억이 안 나서, 이제 완전히 잊어버려서 아빠 목소리도 잊어버려서 괴롭다. 너무 슬픈데 아무하고도 슬픔을 나눌 사람이 없는 게 괴롭다. 아빠라는 단어를 꺼내 본 게 너무 오래전이라서 아빠라는 단어를 들을 때마다 아빠 생각이 나서 너무 힘들다.",0
엄마 이제는 맘 편히 하시고 싶은 것 맘껏 하시게 지금 세상에 다시 오셔요.,0
"코로나가 하루 빨리 종식되어서 봄꽃사러 오시는 손님이  많이 오셨으면 좋겠다,",0
행여 꿈에라도 나타날까 싶어 밤 이면,0
이제 한국에서 눈을 보기란 쉽지 않은 일이 되어 버렸다.,0
슬픔이 물 밀 듯 밀려온다.,0
천진난만 눈으로 하루하루 엄마를,0
하루를 마무리하며 혼자 맞이하는 달빛은 유달리 많은 이야기를 떠 올리게 한다. 바다 위에 떠 있는 보름달빛 받으며 출렁거리는 파도를 보니 하늘에 계신 아버지 생각이 온몸을 휘감는다. 밤에 보는 바닷가 풍경은 낮과 달리 파도 소리가 더 위엄있고 웅장하게 들린다.,0
"어제, 떠난 그들의 트위터 계정이 사라질지 모른다는 이야기를 들었다.",0
"시간이 많다고 다 할 수 있는게 아니란걸 알고 우선 농협주부대학에 지원해 놓고 자원봉사 신청도  하고 일주일에 한번은  내가 좋아하는 절에 가서 마음을 다스리는  시간을  갖기도 했다.  양산부산대병원에 자원봉사를 하면서 주부대학 수료를하고 민간 자격증도 취득하고 요양보호사 자격증도 취득하고 올해는 동면 주민자치위원회 위원으로 봉사활동을 하면서 하루하루가 꽉 찬 생활이였는데 요즈음 ""사회적 거리""라는  웃지 못할 현실에서  남아있는 시간들을  tv채널과 너무 친해져 있다. 혼자 노인정도 못가고 계신 노모께도 전화로 안부를 여쭐뿐이다. 방문을 극구 반대하시는 모친의 마음이 너무 아프게 느껴진다. 빨리 이 시간들이 지나고 바이러스 없는  세상이 와서 바쁘게 봉사활동도하고 절에도 가고 사람들과 부대끼며 누리던 소소한 일상이 되기를 바래본다.",0
직장생활에 바쁜 딸이 늘 안쓰러워 모든걸 다 챙겨주시던 그감사함을~,0
"요즘은 코로나19바이러스가 어디에 누가 걸려도 이상한게 없어서 내가 조심하는 수 밖에없다 내가 나 자신을 지켜야된다. 밖에나가면 마스크를 안 쓴 사람들을 찾아보기가 힘들다. 사람들도 코로나바이러스가 무섭긴 무서운가보다. 코로나바이러스에 걸리게되면 그냥 감기와 비슷한데 해독제가 없기때문에 무서운것같다. 현제는 빨리 코로나 바이러스 해독제가 생겨 학교 학원만 가길원한다. 집에만 있는 것도 너무힘들고 친구들을 빨리 만나고 선생님도 누군지 만나보고싶다. 나는 현제 일본,중국이 괜찮은지 한번 상황을 보고싶었다.",0
학교 다닌게 어제같은데 친구들과 놀던게 어제 같은데 어느새 서른개를 넘게 먹었다,0
중학교를 떠난다는 슬픔과 새로운 학교를 간다는 만감이 교차하는 상황에서 친구들을 보니 근심이 싹 사라졌다.,0
"4월은 봄이라서 보고 싶다. 아빠가게에 앉아서 사람들 지나가는 거, 차 지나가는 거 구경했던 게 그리워서. 너무 그리워서 슬프다.",0
