lyric,Emotion
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
I know you wish me well,0
저 하얗게 부서져버린 구름이 걷힐 때쯤 그대가 보고 싶죠,0
진심이었기에 더 초라한 이 밤 널 잃고 싶지 않아서,0
다 잊은 줄 알았어 널 다 잊었다고 거짓말했어,0
우리들의 모든 순간을 잊지 않을 게요,0
들려줄께 내 오랜 얘기,0
그대 원하던 답이 아니라서 꽤나 당황스러워 보이네요,0
온 기억들을 엮은 채 네 것이 아닌 것처럼,0
그게 어디든 널 찾아낼 거야,0
네 맘도 이렇게 나와 같다는 걸 이제 알 것 같은데,0
민 우리 약속이 먼저야 알잖아,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
네게 전화걸까 말까 고민하는 나,0
"""당장 와인 잔이 넘치게 생각들을 담아""",0
시간이 더디게만 흐르면 좋을 텐데,0
이 노랜 떠야 돼 널 위해 듣고 있어,0
해가 저물고 그 자릴 메꾼 별들 그 아래 너를 다시 볼 수 있게 밤이 왔으면 좋겠어,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
네가 기다려달라면,0
"""I seen you last night""",0
hey let your sea breeze blow on me when i am sailing internationally and whisper all your prayers on a stormy day,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
바람속을 가르는 내 슬픈 사랑이 제발 니 곁에 영원히 잠들수 있게 oh 내게로 와 이세상 마지막 날까지 혼자 또 헤매다 쓰러져 가는 날 위해,0
오 네 생각이나,0
오래 내 곁에 있어 줘요,0
"""Mother sister father brother""",0
그대 생각이 든 김에 두 눈을 감아 봅니다,0
이 노랜 떠야 돼 널 위해 듣고 있어,0
지금도 널 위해 나는 살아가고 있으니 힘들지만 기다릴게,0
"""Still no matter where I go""",0
내려오는 이 비를 맞으면 가슴속에 너의 추억이 자란다,0
너를 자꾸 떠올리게 돼,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
나 약속할게 언제 어디에 있든 반드시 널 찾을게,0
널 보고싶어서 소리쳐 불러요,0
어쩌면 너도 어쩌면 나와 같은 바램들로 그리워할까,0
편히 지내왔었던 지난 시간을 기억하며,0
술 마시는 날이면 더 보고 싶고,0
지나간다 여겼던 그때는 지나가지 않았음을,0
홀로 사랑의 발자취를 따라가며 애쓰다,0
Really thought I knew you so well (So well),0
다신 볼 수 없어도,0
낡은 책 페이지 한장에 어김없이 다가와 가지런히 개어놓은 내 마음을 어질러 되돌려 달라,0
지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
But now you need me so badly,0
But now you need me so badly,0
"""난 널 앞에 두고 I can't wait""",0
Looking all my life,0
그 모습 그대로 그대로 그대로 내가 처음 만났던 그녀는 그대로,0
I got my cards folded waiting for you babe,0
"""지우려 해도 소용없어 끝도 없이 너를 향해 달려""",0
But I still hold onto the ghost of you,0
내 마지막 사랑은 돌아선 너에게 주고 싶어서,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
시간이 지나니 먹어버린게 나이야,0
난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
But now you need me so badly,0
내사랑 기대조차 버겁다,0
난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
"""One swipe of a finger She leaves and I linger""",0
"""I'm so bad at playin' along""",0
너를 그리워하다 하루가 다 지났어,0
You you remember me,0
하루에도 난 몇번씩 왜 보고싶어,0
너는 내게 미루고 나 역시 네게 미루는 갈 곳을 잃은,0
Oh DJ 다 똑같은 이별 노랜 음 말 아낄게요,0
"""You got me believing""",0
작년엔 혼자만 왔었던 이 거리에 For you 꿈꾸는 것 같아,0
Used to hold my secrets in when we first began,0
만날 수 없을 줄 알았어,0
나 언젠간 그 사람에게도 잊혀질까요,0
네가 날 욕해도 미친 척 널 불러,0
저 나무 위에 핀 작은 한 송이 누가 이곳에 다녀간 걸까,0
아직도 이렇게 너를 기다리는데,0
진심이었기에 더 초라한 이 밤 널 잃고 싶지 않아서,0
I wanna wanna turn back the time we had,0
네가 기다려달라면,0
Never leave Have to stay,0
잊지 못할 거면 이럴거면 널 붙잡을 걸,0
To another life (Another life Another life),0
오늘 가도 왜 말이 없는지,0
"""I know that you won't forget""",0
알고 있잖아,0
몇 초 뒤면 사라질 걸 알지만,0
진심이었기에 더 초라한 이 밤 널 잃고 싶지 않아서,0
Man I used to listen to that nigga When I was younger,0
그대 생각이 든 김에 두 눈을 감아 봅니다,0
내일 아침에 깨면 처음 보는 게 너였으면 해,0
문득 생각을 했어,0
네가 없인 움직이지를 않네 이미 우주가 된 이 내 마음은,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
만날 수 없을 줄 알았어,0
서로 말없이 걷기도 했지만,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
네 맘도 이렇게 나와 같다는 걸 이제 알 것 같은데,0
네 모든 게 궁금해 날 봐줄래,0
이미 정해진 그대가 아닐까,0
이 모든 시작의 처음으로 돌아가 깨어나고 싶어,0
너의 번호를 지우며 좋았던 시간을 덜어내,0
다 잊은 줄 알았어 널 다 잊었다고 거짓말했어,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
숨을 참는다,0
"""I\'ve been thinking lately""",0
그대의 사랑을 알기엔 늦었나 부디 다시 알려주세요,0
You are under me and mine,0
시간 지나면 혹시 나를 봐줄까,0
한참을 멍하니 서서 바보처럼,0
The way it was,0
You are under me and mine,0
We were living together,0
Will fade into the morning light,0
난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
늘 바랬던 네가 시리게 또 불어와,0
이 노랜 떠야 돼 널 위해 듣고 있어,0
먼 일처럼 점점 넌 떠나가나 봐,0
같이 듣던 그 노래처럼,0
여름 끝에 선 너의 뒷모습이 차가웠던 것 같아 다 알 것 같아,0
그리움만 쌓이네,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
꿈을 꾸고 있는 거 같아,0
그리움 멈추는 게 나는 좋아요,0
한두 번씩 떠오르던 생각,0
늦어버린 거겠지,0
오래 내 곁에 있어 줘요,0
먼 일처럼 점점 넌 떠나가나 봐,0
I got my cards folded waiting for you babe,0
깨워주고 싶다 가도 눈을 감고 있는 그 모습에 Oh Oh Oh,0
Just a memory ? no,0
우리였던 그 시간들이 흩어 바래져버린 바램들이,0
걱정은 멀리멀리 다 날아가는 듯해 (사라진 듯해),0
But now you need me so badly,0
강마에 이후 최고 마에스트로라고 불리던 때가 어젠데 그 어제가 네 어제가 아니었구나,0
내 안에 담을 수 없잖아,0
"""I can\'t forget""",0
그리워하다가,0
하루에도 난 몇번씩 왜 보고싶어,0
네게 전화걸까 말까 고민하는 나,0
잊어야 할 일은 잊고서,0
이 노랜 떠야 돼 널 위해 듣고 있어,0
I know you wish me well,0
"""Pray the Lord your soul to keep""",0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
진심이었기에 더 초라한 이 밤 널 잃고 싶지 않아서,0
내 추억 속에 남아있어줘요,0
할 말이 아직 많아서 여기에 말할래요,0
늘 바랬던 네가 시리게 또 불어와,0
이 모든 시작의 처음으로 돌아가 깨어나고 싶어,0
너 다시 돌아와 주라,0
이게 진짜 나야? 아님 내가 되고 싶은 날까?,0
시간이 더디게만 흐르면 좋을 텐데,0
문득 생각을 했어,0
이미 정해진 그대가 아닐까,0
내 미래에는 너 없는 곳을 찾을 수가 없는데 내가 어떻게 너 없이 하루를 살아갈까요,0
"""And I know you for a long time""",0
제발 내 맘 좀 알아줘,0
그만 너를 잊을 수가 없나 봐,0
Man I used to listen to that nigga When I was younger,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
The way it was,0
가끔 그 날의 우릴 생각하나요,0
너의 번호를 지우며 좋았던 시간을 덜어내,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
내 추억 속에 남아있어줘요,0
오래 내 곁에 있어 줘요,0
I got my cards folded waiting for you babe,0
넌 벌써 날 다 잊었니,0
깨워주고 싶다 가도 눈을 감고 있는 그 모습에 Oh Oh Oh,0
그때로 돌아간다면 우린 그대롤까,0
옛날의 기억들은 다시 내게 기대를 부풀려보지만 결국 다음은 이러지 않길 바래,0
But now you need me so badly,0
안녕 차갑던 너의 안녕,0
너는 내게 미루고 나 역시 네게 미루는 갈 곳을 잃은,0
"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
겨울의 나무가 날 위로해,0
Been always on my mind 널 내안에,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
더 멀어지기 전에 내 베개 위로,0
But now you need me so badly,0
이 노랜 떠야 돼 널 위해 듣고 있어,0
어딘가 멀리에,0
쉴 틈 없이 네가 생각나서,0
당신의 쉴 곳 없네,0
I miss you every single day,0
나의 창은 굳게 닫아 두고 해가 뜨면 그때 열어줄래,0
"""Who need a hero? (Hero)""",0
Still I love you and I miss you babe,0
폭우가 그치게 기다릴 필요 이젠 더 없어,0
Oh when will I know?,0
제가 당신이 될 수 있을까요,0
"""And I never see your face around""",0
너의 말투 너의 냄새 너의 모든게 생각이나 후회만 남았나봐,0
우연히 마주침을 바란 적도 있어,0
너에게 오늘 하루는 어땠는지 묻고 싶어,0
차라리 꿈이길 바랐어,0
Were you feeling left out?,0
Lots of songs are on the way,0
다시 뒤돌아보지 말자 길을 잃어버려서 우릴 갈라놓아도,0
너의 말처럼 잘 지낼게,0
차라리 꿈이길 바랐어,0
너의 이름 한 번쯤 부르는 게 지금처럼 아프지 않을 거야,0
"""I think of you""",0
너 없인 내 말 따윈 듣지 않을테니까,0
"""Still no matter where I go""",0
마지막이란 걸 알 수가 있었어,0
오래 내 곁에 있어 줘요,0
지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
그리워하다가,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
그 한마디 하지 못해 후회만 하는 나,0
너를 그리워하다 그리워하다 다 괜찮을 거라 되뇌어 봐도,0
잘 안보이니 네 남자가 안보이니,0
"""I hope I go to heaven""",0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
난 니 생각에 잠 못 이뤘다고 하면 너의 단잠을 깨울까 봐 쿨쿨 잤어,0
안녕 나의 사랑 그대여,0
이제 잔소리 말고 내게로 다시 와줘,0
지난 날과 오는 날의 사이에 서서,0
그 모습 그대로 그대로 그대로 내가 처음 만났던 그녀는 그대로,0
우리 서로 멀리 돌아온 만큼 널 사랑하고 싶은데,0
그래도 목표에 집착,0
이미 정해진 그대가 아닐까,0
우리 둘은 얼마나 오래 같이 걷게 될까,0
계절이 지나 눈처럼 내게 온,0
너의 마음에 문을 두드릴게,0
"""I believe and I can fly 우린 하늘을 날고 있잖아""",0
너 다시 돌아와 주라,0
그리움 멈추는 게 나는 좋아요,0
"""The only place I've ever known""",0
차라리 꿈이길 바랐어,0
내사랑 기대조차 버겁다,0
어딘가 멀리에,0
이 계절이 오면 바람과 함께 찾아오니까,0
이제는 희미해져 가버린 나의 사랑아 나를 밝게 비춰줘,0
마지막이란 걸 알 수가 있었어,0
내 옆에는 오늘 너겠지,0
Were you feeling left out?,0
내가 뱉은 마지막 말들에 상처받진 않았을까 하고 싶었던 말이 아직 너무 많이 남았지만,0
이젠 바쁘더라도 우리의 추억을 기억해줘,0
또 바보처럼 난 너 하나 기다리다,0
그때로 돌아간다면 우린 그대롤까,0
아직 더 가야하는 내게 너 기대할 수도 없겠지,0
해가 저물고 그 자릴 메꾼 별들 그 아래 너를 다시 볼 수 있게 밤이 왔으면 좋겠어,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
오 바보처럼 난 너를 못잊어,0
hey let your sea breeze blow on me when i am sailing internationally and whisper all your prayers on a stormy day,0
제가 당신이 될 수 있을까요,0
기다리고 있나요,0
몇 초 뒤면 사라질 걸 알지만,0
널 지켜보고 있어 Wait,0
너도 아는 그런 맘인 거야,0
"""Pray the Lord your soul to keep""",0
"""Pray the Lord your soul to keep""",0
You you remember me,0
How does the moon look tonight,0
주문에 걸린 것처럼,0
여보 안녕히 잘 가시게,0
흔들리지만 기억할게 When I Fly,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
"""Pray the Lord your soul to keep""",0
무렇지 않게 돌아올 것 같단 말이야,0
But now you need me so badly,0
"""I see you there when you're not around""",0
너는 나보다 낫고 발라서 나의 흠과 실수를 다 알 것 같아서,0
Somebody Somebody Come a long way 그저 꿈이라도,0
괜찮아질거야,0
하루에도 난 몇번씩 왜 보고싶어,0
만날 수 없을 줄 알았어,0
돌아서는 나에게 사랑한단 말대신에 안녕 안녕,0
can i b u?,0
진짜 네 맘을 알고 싶어,0
"""I believe and I can fly 우린 하늘을 날고 있잖아""",0
여전히 잠 못 드는 밤이지만,0
이미 정해진 그대가 아닐까,0
"""I know that you won't forget""",0
여보 안녕히 잘 가시게,0
그대까지 날 그만 잊어요,0
흘려가는 세월을 찾을 수만 있다면 얼마나 좋을까 좋을까,0
그대의 사랑을 알기엔 늦었나 부디 다시 알려주세요,0
너를 자꾸 떠올리게 돼,0
난 그저 멀리서 숨어서 너의 모습을 바라보아도 행복했어,0
"""Too late to turn around""",0
민 우리 약속이 먼저야 알잖아,0
짙어져 가 내게 다가왔던 너의 모든 순간들 모두,0
지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
"""You\'ll learn one day I\'m one in a million""",0
귓가에 맴도는 그대 목소리 아직도 선명하게 기억하죠,0
언젠가 넌 나를 그리워하지 (너와 내가 듣던 음악이 지겨워질 때),0
기다리고 있나요,0
내 마지막 사랑은 돌아선 너에게 주고 싶어서,0
늦어버린 거겠지,0
가만히 눈을 감고 있으면 여전히 느낄 수 있어,0
여보 안녕히 잘 가시게,0
내 맘처럼 비었는지 떨어지는 빗방울 소리도 톡 사라지기만 해,0
지친 마음 속의 너를 꺼내어 오늘을 즐겨,0
너를 그리워하다 하루가 다 지났어,0
낡은 책 페이지 한장에 어김없이 다가와 가지런히 개어놓은 내 마음을 어질러 되돌려 달라,0
돌아서는 나에게 사랑한단 말대신에 안녕 안녕,0
먼 일처럼 점점 넌 떠나가나 봐,0
나 언젠간 그 사람의 품이 잊혀질까요,0
짙어져 가 내게 다가왔던 너의 모든 순간들 모두,0
그대까지 날 그만 잊어요,0
Without it 그토록 원해왔던 건,0
그대까지 날 그만 잊어요,0
이미 정해진 그대가 아닐까,0
But now you need me so badly,0
"""Pray the Lord your soul to keep""",0
폭우가 그치게 기다릴 필요 이젠 더 없어,0
널 보고싶어서 소리쳐 불러요,0
짙어져 가 내게 다가왔던 너의 모든 순간들 모두,0
I got my cards folded waiting for you babe,0
어딘가 멀리에,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
"""When you dream of me""",0
제가 당신이 될 수 있을까요,0
지난 날과 오는 날의 사이에 서서,0
무렇지 않게 돌아올 것 같단 말이야,0
Go back go back,0
넌 이런 내 마음을 아는지 아님 눈치가 없는 건지,0
I got my cards folded waiting for you babe,0
너도 아는 그런 맘인 거야,0
강마에 이후 최고 마에스트로라고 불리던 때가 어젠데 그 어제가 네 어제가 아니었구나,0
그게 뭐라고 또 생각나,0
나 언젠간 그 사람에게도 잊혀질까요,0
무엇이 모자라서 날 떠나가나요,0
"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
걱정은 멀리멀리 다 날아가는 듯해 (사라진 듯해),0
떨려오는 입술을 문 채 마지막 너를 눈에 담고 인사를 전해,0
The way it was,0
"""Mother sister father brother""",0
보고 싶어라 오늘도 그 사람을 떠올리려 산책을 하네,0
The way it was,0
Oh when will I know?,0
낡은 책 페이지 한장에 어김없이 다가와 가지런히 개어놓은 내 마음을 어질러 되돌려 달라,0
다시는 없을 거라면 이젠 보내줄게,0
Oh when will I know?,0
"""Who need a hero? (Hero)""",0
너 다시 돌아와 주라,0
늦어버린 거겠지,0
숨을 참는다,0
널 그리워하다 많은 생각에 잠 못 드는 이 밤,0
옛날 생각나요 우리가 처음 만났었던 그곳의 맛이 없었던 팥빙수,0
이제 그 대상은 다른 사람,0
술 마시는 날이면 더 보고 싶고,0
Waiting for the light to take us in,0
지나가자 못 봤던 것처럼,0
아무렇지 않은 척 살 수 있게 너를 잊고 싶다,0
지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
네 모든 게 궁금해 날 봐줄래,0
Where u at now 언제쯤 수영이 끝나,0
네 맘도 이렇게 나와 같다는 걸 이제 알 것 같은데,0
걱정은 멀리멀리 다 날아가는 듯해 (사라진 듯해),0
"""Mother sister father brother""",0
손에 잡히지 않는 너의 향기,0
"""지우려 해도 소용없어 끝도 없이 너를 향해 달려""",0
More things left for us not found,0
많이 그리울 거야 우리 함께였던 그 하루가 참 고마웠어,0
나 약속할게 언제 어디에 있든 반드시 널 찾을게,0
벌써 2년이 지났지,0
하루에도 난 몇번씩 왜 보고싶어,0
기억 달 밝은 날에 하늘을 보면 우리 상처들이 떠 있고,0
한참을 멍하니 서서 바보처럼,0
"""다른 곳엔 기대지 말자 yeah I believe and I can fly 우린 하늘을 날고 있잖아""",0
바람속을 가르는 내 슬픈 사랑이 제발 니 곁에 영원히 잠들수 있게 oh 내게로 와 이세상 마지막 날까지 혼자 또 헤매다 쓰러져 가는 날 위해,0
넌 늘 무너질 때 쯤 생각나,0
그게 어디든 널 찾아낼 거야,0
"""You got me believing""",0
우연히 마주침을 바란 적도 있어,0
내 생각해주오,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
"""Pray the Lord your soul to keep""",0
어쩌면 가끔은 네 생각이 떠오를까 봐 겁나,0
낡은 책 페이지 한장에 어김없이 다가와 가지런히 개어놓은 내 마음을 어질러 되돌려 달라,0
홀로 사랑의 발자취를 따라가며 애쓰다,0
More things left for us not found,0
지나간다 여겼던 그때는 지나가지 않았음을,0
"""He ducked shots now it \'s ""Bas we got a phoner""""",0
기다릴게 나 달려와줘 너 달려갈게 나 기다려줘 너,0
술 마시는 날이면 더 보고 싶고,0
어쩌면 너도 어쩌면 나와 같은 바램들로 그리워할까,0
I wanna be in your life until the night is over,0
날 좋아해선 안돼요,0
네게 전화걸까 말까 고민하는 나,0
너 없인 내 말 따윈 듣지 않을테니까,0
Lots of songs are on the way,0
기다리고 있나요,0
어린왕자 Your melody 찾아 떠날래 Far away,0
지금은 나 혼자 남아 버렸지만 자는 모습도 좋고 취한 모습도 좋았어,0
진심이었기에 더 초라한 이 밤 널 잃고 싶지 않아서,0
아니 사실 말이야 난 그때가 너무나 그리워서,0
바람속을 가르는 내 슬픈 사랑이 제발 니 곁에 영원히 잠들수 있게 oh 내게로 와 이세상 마지막 날까지 혼자 또 헤매다 쓰러져 가는 날 위해,0
이 길끝에 니가 있음 얼마나좋을까,0
이제는 희미해져 가버린 나의 사랑아 나를 밝게 비춰줘,0
Save yourself,0
옛날의 기억들은 다시 내게 기대를 부풀려보지만 결국 다음은 이러지 않길 바래,0
매일 상상하고 있는데 난 여전히 그때 행복했던 우리는 Cause we loved,0
그만 너를 잊을 수가 없나 봐,0
가끔 생각날 테니 그렇게 내게 전부였던 그대를,0
하지만 그대여 다른 건 다 잊어도 이것만은 기억했으면 좋겠어,0
언제부턴가 가끔 너와 마주칠 때마다 한참을 머뭇거린 어설픈 손 인사만,0
계절의 밤이 끝나면 그대는 이곳을 떠나,0
문득 생각을 했어,0
나 약속할게 언제 어디에 있든 반드시 널 찾을게,0
"""Mother sister father brother""",0
차라리 꿈이길 바랐어,0
너의 번호를 지우며 좋았던 시간을 덜어내,0
We were living together,0
지금도 널 위해 나는 살아가고 있으니 힘들지만 기다릴게,0
I got my cards folded waiting for you babe,0
Looking all my life,0
Were you feeling left out?,0
낡은 책 페이지 한장에 어김없이 다가와 가지런히 개어놓은 내 마음을 어질러 되돌려 달라,0
그리워하다가,0
감긴 네 눈동자 숨소리 사이로 보여,0
돌아갈 수 없는 우리 사이란 걸 이미 알고 있지만,0
목소리 듣고 싶을 때 대답해 줘요,0
괜찮아질거야,0
And give my heart a holiday,0
And give my heart a holiday,0
너의 사진도 향기도 모두 상자 속에 넣어버릴래,0
네 맘도 이렇게 나와 같다는 걸 이제 알 것 같은데,0
I got my cards folded waiting for you babe,0
기다릴게 나 달려와줘 너 달려갈게 나 기다려줘 너,0
I froze,0
하지만 그대여 다른 건 다 잊어도 이것만은 기억했으면 좋겠어,0
"""The only place I've ever known""",0
날 이제 놔줘,0
그대 어디에 있나요 내게 대답해줘요,0
그만 너를 잊을 수가 없나 봐,0
내 두사랑은 한 사랑보다 깊어 난 두 사람 중 한 사람도 곁에서 보낼 수 없는데 이러면 안 되는데,0
"""더 아쉬워도 Goodbye""",0
I wanna be in your life until the night is over,0
Looking all my life,0
"""Still no matter where I go""",0
이 모든 시작의 처음으로 돌아가 깨어나고 싶어,0
