id,album_name,song_name,issue_date,year,lyrics
911,Loop # 1999,Dj Big Beat,19990519,1999,N/A
912,Strangers,Strangers,20180914,2018,N/A
913,전통가요 미스터 트롯트,마음이 울적해서,20190827,2019,N/A
914,THE CODE,Deja Vu,20171107,2017,"Turn the lights on
Turn the lights on
Turn the lights on
Uhh MONSTA X
회색빛 거리에 빛이 모여
하나 둘 모여든 빛이 보여
기억 저 너머에 Let's run up
다른 차원의 세계 Arrival
두 눈을 감고 깊이
잠들어있던 감정
이게 꿈인지 현실인지
모르는 게 반전
눈부신 빛이 날 향해
서서히 걸어오잖아
온 몸이 왠지 모르게 떨려오잖아
조금만 천천히 가까이와
오늘 난 온전히 너에게만
집중한 채 내 시선을 모아
널 감당해보려 해 이 시작의 반
이미 어디선가 본 광경 알고 있지
결말은 Outcha
머릿속을 스친 찰나의 섬광
잊혀지지 않는 꿈인 것 같아
이미 정해진 것처럼
운명은 나를 이끌어
한 순간 나를 관통한
넌 데자뷰 Break out
회색빛 거리에 빛이 모여
하나 둘 모여든 빛이 보여
기억 저 너머에 Let's run up
다른 차원의 세계 Arrival
뜨겁게 타오를 때가 됐어
숨죽여 기다린 때가 왔어
긴 터널 너머에 저 빛을 따라서
달려와 Escape
기시감 미시감
본 것 같기도 어디선가
아닌가 맞나 모르겠지만 심장은
똑같이 뛰어 Hol’ up
익숙한 듯 익숙하지 않은 듯
머릿속은 혼동 초점은 흔들리며
부르르 떨고 있어 동공
답을 알 수 없던 수많은 날들
낯설지가 않아 첨 본 모든 게
지금 이 순간 깨어나
마주한 곳에 너와 나
한 순간 나를 관통한 넌
데자뷰 Break out
회색빛 거리에 빛이 모여
하나 둘 모여든 빛이 보여
기억 저 너머에 Let's run up
다른 차원의 세계 Arrival
뜨겁게 타오를 때가 됐어
숨죽여 기다린 때가 왔어
긴 터널 너머에 저 빛을 따라서
달려와 Escape
너의 꿈이 현실이 돼가
니가 내게 올 길을 알려
눈에 밟힌 널 찾아갈게
I wanna go I wanna go
날 깨운 빛을 넌 기억해
어지러운 이 도시를 버리고 달려
너 있는 그 곳에 내가 있을 테니
저 빛을 향해 뛰어
Now escape
끝없이 간다면 기적처럼
꿈속의 기억은 현재가 돼
돌아왔어도 Let's run up
우린 결국 그 곳에 Arrival
누군가 우리를 막는대도
애썼던 몸이 멈추게 되면
익숙한 네가 Let's right up
운명처럼 나타나 눈 앞에 서 있어"
915,The Ghibli Set,Hauru No Ugoku Shiro :Jinsei No Merry-Go-Round (하울의 움직이는 성 :인생의 회전목마),20080702,2008,N/A
916,크리스마스의 기적,Springtime In December,20170825,2017,N/A
917,Latimore Remembers Ray Charles,I Can`t Stop Loving You,20130416,2013,N/A
918,Dears (All Singles Best),Will,20141105,2014,"아노고롯테 보쿠타치와
요루노소라오 신지테이타
오나지 무키노 보오엔교오데
치이사나 호시 사가시타
이쯔모소바니 다레카이테
고도쿠노카케 마기라세타
테이데응시타 나쯔노오와리니
테사구리시테 키스오시타네
아래카라 보쿠와이쿠츠노
유메오미테키타노다로
메오토지테미루유메요리모
메오히라키나가라
WOW WOW
아레카라 보쿠와이쿠츠노
지유우오 이키테키타다로오
운메이노 지하이쟈나쿠테
키메테타노와
보쿠노 will
키라메이테루 호시타치와
다레카가 모오 미츠케테루
히카리노나이 야미노도코카니
마다미에나이 미라이가아루
기오쿠가 세이자노요오니
카가야키나가라 츠나가루
바라바라니
미에테이타케도
이마나라와카루요
기오쿠가 세이자노요오니
히토츠니낫테 오시에루
구우젠노시와자쟈나쿠테
보쿠노 will
스기테쿠 카코와
스베테 지분노토오리미치
코노요루노소라니
카와라나이 에이에응가
미마못테루
아래카라 보쿠와이쿠츠노
유메오미테키타노다로
메오토지테미루유메요리모
메오히라키나가라
WOW WOW
아레카라 보쿠와이쿠츠노
지유우오 이키테키타다로오
운메이노 지하이쟈나쿠테
키메테타노와
보쿠노 will"
919,Un-Touch-Able,비야,20031122,2003,"떠나지 말라고 애원하지않겠어
네게 그런모습 보인적 없잖아
그래도 조금더 있다가라 말했어
곧 이 비가 그치고나면
All day
저 하늘은
All night
하루종일 소리지르며 서럽게 울어
All day, All night
My heart
내 진심은
My soul
다 아는데
니가 떠나지못하게 한없이울어
I can't let go
정말 난많이 생각했어
널 잊고 사는건
나자신이없어
I can't I can't let go
정말 날떠나가겠다면이비를맞고가
너를 지울수있게
서로가말없이담담한척했지만
내 가슴은 숨을 쉴 수 조차없어
(정말로) 정말로
(이 비가) 이 비가
멎길 기다리는지
너도 못내 아쉬운건지
All day
나 생각해
All night
나 기도해
비 때문이라고 말을 해도
All day, All night
My heart
내가슴은
My soul
내 영혼을
팔아서라도 널 돌릴수만 있다면
I can't let go
정말 난많이 생각했어
널 잊고 사는건
나자신이없어
I can't I can't let go
정말 날떠나가겠다면이비를맞고가
너를 지울수있게
이제 비가 그치고 있어
너는 나를 떠나야하겠지
비야 너는 알잖니 제발 멈추지말아
니가 영원히 떠나가지 못하게
I can't let go
정말 난많이 생각했어
널 잊고 사는건
나자신이없어
I can't I can't let go
정말 날떠나가겠다면 이 비를 맞고가
너를 지울수있게
I can't let go
한번 더 생각해 날 위해
나가지말라고 이렇게 애원해
I can't I can't let go
그래도 떠나가겠다면
내 숨을 멎게해 슬퍼할 수도 없게"
920,Music Of The Sun,Pon De Replay (Remix Clean),20050830,2005,N/A
921,Kickin` It,Snakebite,20041102,2004,N/A
922,너로 가득해 (With 김형중),너로 가득해 (With 김형중),20150121,2015,"니가 생각난다 기억은
시간 조차도 어쩔 수 없다
하얀 눈이 내리면
우리 행복했었던 추억들도
함께 내려온다
함께 걷던 거릴 지날때마다
혼자여도 아무렇지 않은 척
괜스레 어깨를 편다
애써 웃어도 본다
어쩌면 멀리서 날 볼지도 몰라
온통 너로 가득해
내리는 눈처럼
온 세상이 너로 가득해
어쩜 이길 저 편에
니가 있을 것만 같아
내게 올 것만 같아
니가 보고 싶다 시간은
내 맘 하나도 어쩌지 못해
이렇게 눈이 내리면
지워진 날들 속에 널 찾아
이 거릴 헤매인다
그때 그 약속 잊은건지 몰라
눈이 오면 기억날지도 몰라
부질없는 바램도
바보같은 미련도
오늘까지만 여기까지만
온통 너로 가득해
내리는 눈처럼
온 세상이 너로 가득해
어쩜 이길 저편에
니가 있을 것만 같아
내게 올 것만 같아
오늘만 기다릴게
이 눈이 그치면 정말
이젠 정말 안녕"
923,다시가본 동물원,흐린 가을 하늘에 편지를 써,19960901,1996,"비가 내리면 음
나를 둘러싸는
시간의 숨결이 잊혀질까
비가 내리면 음
내가 간직하는
서글픈 상념이 떨쳐질까
난 책을 접어놓으며
창문을 열어
흐린 가을 하늘에
편지를 써
난 잊혀져간 꿈들을
다시 만나고파
흐린 가을 하늘에
편지를 써
바람이 불면 음
내가 알고 있는
허위의 길들이 잊혀질까
바람이 불면 음
나를 유혹하는
안일한 만족이 떨쳐질까
난 책을 접어놓으며
창문을 열어
흐린 가을 하늘에
편지를 써
잊혀져간 꿈들을
다시 만나고파
흐린 가을 하늘에
편지를 써
난 책을 접어놓으며
창문을 열어
흐린 가을 하늘에
편지를 써
잊혀져간 꿈들을
다시 만나고파
흐린 가을 하늘에
편지를 써
난 책을 접어놓으며
창문을 열어
흐린 가을 하늘에
편지를 써
잊혀져간 꿈들을
다시 만나고파
흐린 가을 하늘에
편지를 써
난 책을 접어놓으며
창문을 열어
흐린 가을 하늘에
편지를 써
잊혀져간 꿈들을"
924,EndlessWinter,HereWithMe／MyBoo,20190704,2019,N/A
925,Biber: Fidicinium sacro-profanum,Fidicinium sacro-profanum Sonate III,20090126,2009,N/A
926,nu: electronica_,We Are All Made of Stars,20030415,2003,N/A
927,H.A.L.F (Have.A.Little.Fun),Interlude: 24 7 365,20170605,2017,"we finna get naked
finna get faded
for your love
24 7 365
we finna get naked
finna get faded
for your love
24 7 365
we finna get naked
finna get faded
for your love
24 7 365
we finna get naked
and faded
for your love
24 7 365
전부 벗어 your designer cloth
괜찮아 we gonna keep it lowkey
drop that thing for me
drop that thing for me
drop that thing for me"
928,Jentrify,No Return (Feat. Jay Ant),20160916,2016,N/A
929,Nothing (Deluxe),Nothing On You,20101101,2010,N/A
930,ONE & SIX,I Like That Kiss,20180702,2018,"Oh I Like That Kiss
간지런 느낌 just enough
애매한 제스처도 그만
자꾸 눈에 걸리는 입술
지금일까 timing
바보 같은 내 맘
커져갈수록 꿈꾸는 나 어떡해
우우우 다가와 Blow your mind
Oh I Like That
벌써 맘속이 쿵 Oh I Like That Kiss
That Kiss
몰래 빠지는 중 Oh I Like That Kiss
Oh I Like That
날 원하게 원하게 해
너도 모르게 모르게 쉿
원하게 원하게 돼 baby
상상만 해도 쿵 내 맘속의 Kiss
Oh I Like That
손끝에 닿은 온기와
수줍게 번져간 미소
어색한 순간 너와 나
지금일까 지금이야 timing
사랑인 거 맞죠
다가갈수록 떨리는 heart 어떡해
우우우 느껴봐 Blow your mind
Oh I Like That
벌써 맘속이 쿵 Oh I Like That Kiss
That Kiss
몰래 빠지는 중 Oh I Like That Kiss
Oh I Like That
왜 모를까 내 맘 눈치 없는 너
마음이 좀 급한 가요 나 Let me know
Blow your mind
Oh I Like That
자꾸 맘속이 쿵 Oh I Like That Kiss
That Kiss
점점 빠지는 중 Oh I Like That Kiss
Oh I Like That
날 원하게 원하게 해
너도 모르게 모르게 쉿
원하게 원하게 돼 baby
상상만 해도 쿵 내 맘속의 Kiss
Oh I Like That Kiss"
931,여자의 비밀 OST Part.12,괜찮아요 (Inst.),20161011,2016,"내 눈에 그댈 자꾸 담아서
가슴에 모아 나만 보고 있죠
사랑이란 게 멀리 있어도
곁에 있어도 그리운 거겠죠
많이 보고 싶어도
그댈 사랑할 수 없고
지켜낼 수 없는 나
이렇게 부족한 날 그만 잊어요
함께 했던 기억들만
간직하고 살 수 있다면 괜찮아요
날 잊고서 그대 울지 마요
아닌 척 그댄 웃음 짓지만
아픈 사랑은 숨길 수가 없죠
사랑이란 게 멀리 있어도
곁에 있어도 그리운 거겠죠
많이 보고 싶어도
그댈 사랑할 수 없고
지켜낼 수 없는 나
이렇게 부족한 날 그만 잊어요
함께 했던 기억들만
간직하고 살 수 있다면 괜찮아요
날 잊고서 그대 울지 마요
그대가 없인 하루도
견딜 수 없을 만큼 힘들지만
후회하지 않을 게요
되돌릴 수 없어도
아픈 사랑만 주던 내 잘못이죠
그대 흘린 눈물만큼 부디
행복할 수 있다면 괜찮아요
날 위해서 그대 행복해요"
932,Smile,Rainy Day,20100318,2010,N/A
933,Hyem-In-Park,A Song,20081217,2008,N/A
934,"햇살, 바람... 라일락 향기","햇살, 바람... 라일락 향기",20130520,2013,N/A
935,Moonlight,10 Years,20160218,2016,N/A
936,Couldn`t Be Better (ARTY x Vion Konger Remix),Couldn`t Be Better (ARTY x Vion Konger Remix),20180907,2018,N/A
937,Cookies & Cream,Nite & Day,20110524,2011,N/A
938,Dreams To Remember : The Otis Redding Anthology,You Left The Water Running,19980818,1998,"You left the water running when you left me here behind
You left the water running, running from these eyes of mine

You turned out the light of love
You left with another guy
You turned off all your love for me
But you forgot to turn off the cry
You forgot to turn off the cry

You pulled the shades away down low
And disconnected the telephone
But these tears a running from my eyes
I can't turn them off and on
No, I can't turn them off and on

You left the water running when you left me here behind
You left the water running, running from these eyes of mine

You locked the door and left me outside
And then you threw the key away
But baby, you'll regret, baby you'll be upset
When you get your water bill to pay
When you get your water bill to pay

You left the water running when you left me here behind
You left the water running, running from these eyes of mine"
939,"삼둥이 클래식: 대한, 민국, 만세와 함께하는 클래식 음악 여행, Part 1",Tchaikovsky : The Nutcracker Op.71 Act.II - Russian Dance `Trepak` (차이콥스키 : 호두까기 인형 작품번호 71 2막 - 러시아의 춤 `트레팍`),20150918,2015,N/A
940,"XXXTENTACION Presents：Members Only, Vol.4",Make Eem Run!,20190125,2019,N/A
941,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos), Vol.2",Tus Ojitos (Vals de la Guardia Vieja) (Feat. Los Macorinos),20180209,2018,"Tus ojitos que contemplo con delirio
Tus ojitos que contemplo con delirio
Yo los quiero y los adoro con empe?o
Tienen la palidez de mi martirio
Y la dulce mirada del ensue?o
¡Ay Y la dulce mirada del ensue?o

Es por eso que siempre me enamoran
En el fondo del alma me embelesan
Me hacen llorar de pena cuando lloran
Y me llenan de amor cuando me miran
¡Ay Y me llenan de amor cuando me miran

Bendito es el amor, bendito sea
Bendito es el amor, bendito sea
¡Oh imagen adorada del ensue?o
Deja que con mi canto tu alma sepa
C?mo yo te adoro con empe?o
¡Ay Bendito es el amor, bendito sea

Es por eso que que siempre me enamoran
En el fondo del alma me embelesan
Me hacen llorar de pena cuando lloran
Y me llenan de amor cuando me miran
¡Ay Y me llenan de amor cuando me miran"
942,Cats,Memory,20140730,2014,"Midnight
Not a sound from the pavement
한 밤중
거리에서는 아무 소리도 들리지 않네
Has the moon lost her memory?
달님도 추억을 잃어버린 걸까?
She is smiling alone
홀로 미소짓고 있네
In the lamp light the withered leaves
collect at my feet
가로등의 불빛아래 시든 낙엽들이
내 발밑에 쌓이고 있어
And the wind begins to moan
게다가 바람은 '윙윙'
구슬픈 소리를 내기 시작하네

Memory, all alone in the moon light
추억을 회상하며, 달빛 아래 나 홀로
I can dream of the old days
과거의 아름답던 시절을 다시 꿈꿀 수 있지
life was beautiful then
그 때에는 삶이 무척 아름다웠는데...
I remember the time
I knew what happiness was
내 기억으론, 그 때에는
내가 행복이 무엇인지를 알고 있었던 것 같아.
Let the memory live again
과거의 즐거웠던 그 추억, 다시 내게 돌아오라...

Every street lamp seems to beat
a fatalistic warning
모든 가로등들이
곧 아침이 밝아올 것을 예시라도 하는 듯
깜빡거리며 운명적인 사인을 내보내고 있어
Someone mutters and a street lamp sputters
어떤이가 투덜거리고,
가로등이 서서히 꺼져가는 것을 보니
And soon it will be morning
곧 아침이 밝아올것 같아

Daylight
I must wait for the sunrise
새벽에 해가 뜰 때까지
기다려야만해
I must think of a new life
새로운 삶을 설계해야만 하니까
And I mustn't give in
그리고 절대 포기해서는 안된다구
When the dawn comes tonight
will be a memory too
여명이 밝아오면 오늘밤도
역시 또 하나의 추억이 될거야
And a new day will begin
그리곤 새로운 날이 펼쳐질거야

Burnt-out ends of smoky days
연기 자욱하게 낀 암울한 날이 완전히 타들어 갈 무렵
The stale cold smell of morning
케케하고 냉랭한 아침 냄새가 느껴지고
A street lamp dies
가로등은 차츰 꺼져가네
Another night is over
또 하룻밤이 지나가고
Another day is dawning
새로운 날이 밝아오고 있어

Touch me
It's so easy to leave me
절 잡아줘요
사람들은 저를 쉽게 외면하곤 한답니다
All alone with the memory
of my days in the sun
과거 즐거웠던 시절을 회상하며
홀로 외로이 추억에 잠기게 하죠
If you touch me
만약 당신이 제 감정을 만질 수 있다면
You'll understand shat happiness is
행복이라는 것이 무엇인지 이해할 수 있을 거예요
Look, a new day has begun
자 보세요, 어느덧 새 날이 밝았군요"
943,Around The Fur,My Own Summer (Shove It),19970101,1997,"Hey you, big star
Tell me when it's over

Hey you, big mood, guide me to shelter
'Cause I'm through
When the two hits the six and it's summer

Cloud, come
(Shove it, shove it, shove it)
Shove
(Shove it, shove it, shove it)
The sun
(Shove it, shove it, shove it)
Aside
(Shove it aside)

I think God is moving its tongue
There's no crowd in the streets
And no sun in my own summer

The shade is a tool, a device, a savior
See, I try and look up to the sky
But my eyes burn

Cloud, come
(Shove it, shove it, shove it)
Shove
(Shove it, shove it, shove it)
The sun
(Shove it, shove it, shove it)
Aside
(Shove it aside)

Cloud, come
(Shove it, shove it, shove it)
Shove
(Shove it, shove it, shove it)
The sun
(Shove it, shove it, shove it)
Aside
(Shove it aside)

I think Gis moving its tongue
There are no crowds in the streets
And no sun in my own summer

Come
(Shove it, shove it, shove it)
Shove
(Shove it, shove it, shove it)
The sun
(Shove it, shove it, shove it)
Aside
(Shove it aside)"
944,Vivaldi : The Four Season,Vivaldi : The Four Seasons No.4 In F Minor Op.8 RV.297 `Winter` - I. Allegro Non Molto (비발디 : 사계 4번 바단조 작품번호 8 `겨울` - 1악장),20110303,2011,N/A
945,The 2nd Asia Tour Concert `O` Live Album,Spokes Man - 유노개인기 (Feat. Super Junior - 동해),20070618,2007,"Now listen
자 들어봐
내 말에 귀기울여봐
항상 반대쪽에서 나와
너에게 말하지
어지러운 세상속의 혼돈
but break it
다 주먹을 꽉쥐고 거친 세상을
흔들어 질러나가봐
하나 둘 셋 그리고 넷
북치기 박치기 Say Ho
나는 야 랩쟁이지
내 스타일에 한번 빠져봐봐
이리저리 흔들어 대며
힘껏 느끼고 즐겨볼까
준비됐지
I'm O K
to the party go
Yo TVXQ
with the Super Junior
R U Ready What'up
왔어 내 발이 스테이지에 섰어
울분터진 목소리로
너의 귀를 잠시 빌려보겠어
MY NAME is U Know
내 나이 이제 갓 20
아직 여리고 어리지만
할테면 다하는 겁없는 애송이
애송이가 가지고 있는 세상이란
곳에서 멜로디를 타고
또 리듬위를 달려요
That's right
보여줄께 여기 주목해봐 봐
내가 가지고 있는 MIC를 통해서

시간을 거꾸로
다시 거슬러 되돌리고 싶은가

여전히 꼭두각시처럼
세상에 묻혀살텐가

자신이 서있는 곳을 되새겨봐
그렇게 생각만
계속하고 살고 싶던가
세상속의 주인공이 된다해봐
그래도 남이 바꿔주는
삶만 원하겠는가
인정받고 싶은 사람 손들어봐
이렇게 언제까지
낙오자로 남을것인가
내가 눈을 감는다고 생각해봐
그러면 이 세상의
모든것이 존재한걸까

남겨진 시간속에서
난 앓고 살 수 있을까
하루하루 지나갈수록
하루가 다르게 변하고
생각이 많아질수록
가식만 커다랗게 커져가는 세상
가식과 허울속에서
넌 등 돌릴 수 있을까
어지럽지 복잡하지
마치 롤러코스터처럼
그냥 이젠 내말에 집중하고
나를 따라와
I SAY 백지장이 꺼멓게
타들어가도록
모두 하나같이 똑같이
떠들어 대고있지 바꿔 바꿔
너희들의 썩어빠진
생각들을 이 음악을 듣고
너희의 생각을 한번 바꿔봐
가식적인 모습의
둘러 쌓인 그들 I SAY
죽이고 먹히는 먹이사슬의 놀이
이젠 가꾸고
너희들의 생각없는 뇌리속을
습관처럼 출발해주는
노래로만 아시나
자신이 서있는 곳을 되새겨봐
그렇게 생각만
계속하고 살고 싶던가
세상속의 주인공이 된다해봐
그래도 남이 바꿔주는
삶만 원하겠는가
인정받고 싶은 사람 손들어봐
이렇게 언제까지
낙오자로 남을것인가
내가 눈을 감는다고 생각해봐
그러면 이 세상의
모든것이 존재한걸까"
