id,album_name,song_name,issue_date,year,lyrics
812,Todokanai Koi `13 (Single),さよならのこと / Sayonarano Koto (안녕이라는것),20131127,2013,"忘れられない 無邪？な？

와스레 라레나이 무쟈키나 코에

잊어지지 않는 천진난만한 목소리



今も色褪せずに

이마모 이로 아세즈니

지금도 퇴색하지 않은 채



？しい日？が ？していた 小さな想いを

타노시이 히비가 카쿠시테 이타 치이사나 오모이오

즐거운 날들이 숨기고 있었던 수줍은 마음을



でもね このしあわせ 疑いもしないで

데모네 코노 시아와세 우타가이모 시나이데

하지만 , 이 행복을 의심도 하지 않고



「さよなら」なんて言葉の意味を習わなかった

「사요나라」나은테 코토바노 이미오 나라와 나카앗타

「이별」이라는 말의 의미를 알려고 하지도 않았어



もう夢じゃなくて そうこの世界に

모오 유메쟈 나쿠테 소오 코노 세카이니

이제는 꿈이 아닌 , 이 세계에



あの時のように素直に

아노 토키노 요오니 스나오니

그때 처럼 솔직하게



ただ泣いて泣いた日？はどこにもない

타다 나이테 나이타 히비와 도코니모 나이

그저 울고 울었던 날들은 어디에도 없어



ねえ僕たちにはたどり着けない場所に

네에 보쿠타치니와 타도리 츠케나이 바쇼니

우리에게는 닿을 수 없는 장소에



答えがあったのかな

코타에가 아앗타노 카나

대답이 있었던 걸까



君と出？わなければつらくないのに

키미토 데아와 나케레바 츠라쿠 나이노니

너와 만나지 않았더라면 괴롭지 않았을 텐데



？人たちの ささやか？

코이비토 타치노 사사야카 코에

연인들의 속삭이는 목소리는



街をあたためてく

마치오 아타타 메테쿠

거리를 따스하게 했어



？しい日？は ？していた 深い悲しみも

타노시이 히비와 카쿠시테 이타 후카이 카나시미모

즐거운 나날 속에 감추고 있었던 깊은 슬픔도



でもね このしあわせ

데모네 코노 시아와세

그렇지만 이 행복은



まわりが見えなくて

마와리가 미에나쿠테

나의 주변에선 보이지 않아서



「さよなら」のこと置き去りのままはしゃぎすぎてた

「사요나라」노 코토 오키자리노 마마 하샤기스기 테타

「이별」에 대해선 내버려 둔채 너무 들떠 있었어



まだ夢の中で そう信じたくて

마다 유메노 나카데 소오 시은지타쿠테

아직 꿈 속에선 그렇게 믿고 싶었지만



夢からもう？めているのに

유메카라 모오 사메테 이루노니

이제는 꿈에서 깨어나있어



ただ笑って笑った日？はどこにもない

타다 와라앗테 와라앗타 히비와 도코니모 나이

하염없이 웃고 웃었던 날들은 이제 어디에도 없어



でもあの場所には間違いじゃない

데모 아노 바쇼니와 마치가이 쟈나이

하지만 그 장소임이 틀림없어



確かに笑顔の僕らがいた

타시카니 에가오노 보쿠라가 이타

제대로 미소짓는 우리들이 있었어



君と出？わなければつらくないのに

키미토 데아와 나케레바 츠라쿠 나이노니

너와 만나지 않았더라면 괴롭지 않았을 텐데



また冬が？る

마타 후유가 쿠루

다시 겨울이 와



僕たちのためじゃない ？する人たちに

보쿠타치노 타메쟈 나이 코이스루 히토타치니

우리들을 위해서가 아닌 사랑하는 사람들에게



もう夢じゃなくて そうこの世界に

모오 유메쟈 나쿠테 소오 코노 세카이니

이제는 꿈이 아닌 , 이 세계에



あの時のように素直に

아노 토키노 요오니 스나오니

그때 처럼 솔직하게



ただ泣いて泣いた日？はどこにもない

타다 나이테 나이타 히비와 도코니모 나이

그저 울고 울었던 날들은 어디에도 없어



ねえ僕たちにはたどり着けない場所に

네에 보쿠타치니와 타도리 츠케나이 바쇼니

우리에게는 닿을 수 없는 장소에



答えがあったのかな

코타에가 아앗타노 카나

대답이 있었던 걸까



君に出？えないなんてイヤだと？付いた

키미니 데아에 나이 나은테 이야다토 키즈이타

너와 만날 수 없다는 걸 깨달았던



冬

후유

겨울"
813,Outsiders,Dealer,20171114,2017,N/A
814,Someone To Love You,Someone To Love You,20020514,2002,"I betcha that
I could read your mind
And tell you everything
you're going through
Baby I cry to find
a thousand reasons why
You're alone and acting so cold
Tell me how long you've been this way
Maybe I can open up your heart
See I've been waiting all
my life for someone just like you
And I know you've been waiting too
For someone to love you
All you need is someone who cares
Someone who will always be there
All you need is to say is
that you want me to be with you
Girl I know you waited so long
For someone to love you

Baby I wish I could be there
For every time you ever shed a tear
Baby I hate to see a pretty girl
like you Going through the
things that you do yeah
Girl I think you've
gone for far too long
Without a good man to make you smile
Now how can I appeal to you
and make you understand
That I'm here
what are you waiting for
Someone to love you
All you need is someone who cares
Someone who will always be there
All you need is to say is
that you want me to be with you
Girl I know you waited so long
For someone to love you
Maybe you've been waiting for
a man from all your fairy tales
Or maybe just a man
from all your dreams
Try and think reality
enjoy the possibilities cause girl
you now you've waited so long
For someone to love you you you
you you You waited oh so long
All you need is someone to care
Someone who will always be there
All you need is someone to care
Someone who will always be there
All you need is someone to care
Someone who will always be there
All you need is someone to care
Someone who will always be there"
815,김현식 3집,떠나가 버렸네,19861205,1986,"그대 내 맘에서
떠나가 버렸네
사랑을 남긴 채
그대 내 맘에서
떠나가 버렸네
아쉬움 남긴 채
외로운 이내 마음에
사랑을 남긴 채
떠나가 버렸네
내 맘속에 그대는
떠나가 버렸네
사랑했던 그대는
그대 내 맘에서
떠나가 버렸네
사랑을 남긴 채
그대 내 맘에서
떠나가 버렸네
아쉬움 남긴 채
내 마음 깊은 그곳에
사랑을 남긴 채
떠나가 버렸네
내 맘속에 그대는
떠나가 버렸네
사랑했던 그대는
떠나가 버렸네
내 맘속에 그대는
떠나가 버렸네"
816,로맨스 타운 OST,잘될 거야,20110715,2011,N/A
817,불야성 OST,CITY OF BLINDING LIGHT,20170125,2017,N/A
818,Shall We Dance?,Comes Love,20021001,2002,N/A
819,"Trio Music, Live In Europe","Prelude No. 2, Mock Up",20081104,2008,N/A
820,영화속 주옥 같은 OST 테마음악,Romance (금지된장난),20110706,2011,N/A
821,Weather or Not,Throw It All Away,20180126,2018,N/A
822,불면증을 치유할 숙면 클래식 테라피,Schumann : Kinderszenen Op.15 - XIII. Der Dichter Spricht (슈만 : 어린이의 정경 작품번호 15 - 13번. 시인의 이야기),20150313,2015,N/A
823,19.9,사소한 고백,20150323,2015,"만나서 하고 싶은 얘기도 많고
사랑해 말도 직접 하고 싶은데
어딜 가서 이런 얘기를 할지
하도 많아서 정말 답답해
사실 요즘 고민이 많아
어디서부터 얘길 꺼내야할지
이런 말하기까지가 나 사실
쉽지는 않았어
미안해 고마워 사랑해
너에게 가장 듣고 싶은 말
오늘은 말해줄래
용기 내 말하는 건데
이건 내 사소한 고백이야
미안해 고마워 사랑해
미안해 고마워 사랑해
너에게 가장 하고 싶은 말
이제는 들어줄래
용기 내 말하는 건데
이건 내 사소한 고백
이건 내 사소한 고백
이건 내 사소한 고백이야"
824,Just Like (Remixes),Just Like (CRNKN Remix),20150423,2015,N/A
825,Bossa Nova Breeze Part.1,Voce E Eu,20160405,2016,N/A
826,Born To Play Guitar,Thick Like Mississippi Mud,20150731,2015,"The whiskey and the women
They can drop you to your knees
Hey I say good whiskey and the women
They can drop you to your knees
Man been hunting lord
Since Adam got a hold of Eve
Some people think I'm stone crazy
They think I've lost my mind
Some people think I'm crazy
But I'm doing just fine
Nobody wants to break their own rules
But they have no problem breaking mine
I've been around the world
I know, I know the world is round
I've been around the world
Hey I know the world is around
You know those blues have took my life
And turned it upside down
The smoke is getting thick
Thick like Mississippi mud
Oh the smoke is getting thicker
Thick like Mississippi mud
That's how many people at his party
Ohhh I can't even get drunk
I've been around the world
I know, I know the world is round
I've been around the world
Hey I know the world is around
You know those blues have took my life
And turned it upside down"
827,Saxofonica,Saxofonica (Original Mix),20161125,2016,N/A
828,5 Seconds Of Summer (Deluxe),Good Girls,20140630,2014,"Do do do d do do do do do do
She's a good girl
She's Daddy's favourite
He's saved for Harvard
He know she'll make it
She's good at school
She's never truant
She can speak French
I think she's fluent
'Cause every night
she studies hard in her room
At least that's what her
parents assume
But she sneaks out the window
to meet with her boyfriend
Here's what she told me
the time that I caught 'em
She said to me
Forget what you thought
'Cause good girls are bad girls
that haven't been caught
So just turn around
and forget what you saw
'Cause good girls are bad girls
that haven't been caught
Whoa oh oh oh oh whoa oh
Good girls are bad girls
that haven't been caught
Whoa oh oh oh oh whoa oh
Good girls are bad girls
that haven't been caught
She's a good girl
A straight A student
She's really into
All that self improvement
I swear she lives in that library
But if you ask her she'll say
That's where you'll find me
But if you look then
you won't find her there
She may be clever
but she just acts too square
'Cause in the back of the room
where nobody looks
She'll be with her boyfriend
She's not reading books
She said to me
Forget what you thought
'Cause good girls are bad girls
that haven't been caught
So just turn around
and forget what you saw
'Cause good girls are bad girls
that haven't been caught
Do do do d do do do do do do
Good girls are bad girls
and good girls are bad girls
Do do do d do do do do do do
Good girls are bad girls
and good girls are bad girls
She's a good girl
Hasn't been caught
She's a good girl
Hasn't been caught caught caught
caught caught caught caught caught
She said to me
Forget what you thought
'Cause good girls are bad girls
that haven't been caught
So just turn around
and forget what you saw
'Cause good girls are bad girls
that haven't been caught
She said to me
Forget what you thought
'Cause good girls are bad girls
that haven't been caught
So just turn around
And forget what you saw
'Cause good girls are bad girls
that haven't been caught
Whoa oh oh oh oh whoa oh
Good girls are bad girls
that haven't been caught
Whoa oh oh oh oh whoa oh
Good girls are bad girls
that haven't been caught
Whoa oh oh oh oh whoa oh
Whoa oh oh oh oh whoa oh
Good girls are bad girls
that haven't been caught"
829,(Paint It H.E.R),내사랑 안녕,20150420,2015,"우리의 시간 before sunset
여기까지란 말로
서로 추억을 꺼내
헤어지지 않았어도
want you turn back
from heart to head
너의 전불 기억해
always focus on you
떨어져도 너와 가까워졌어
엄청나 너와 나만이 아는 대화
보기전까진 보고싶을꺼야 맨날
하늘로 연결된 너의 목소리엔
천재가 된듯 기분이 다풀린듯해
기억나 우리 시간속을 걸어
짧게 나마 우리가 함께 걸었던
때론 기다리다 지쳐 가도
노래따라 우리는 안 그럴꺼라고
저공원의 키스하는 커플을 봐도
1년뒤엔 모두
우릴 부러워 할꺼라고
내사랑 안녕
니가 어디에 있어도 안녕
어디있어도 내사랑 안녕
네가 내곁에 없어도 안녕 안녕
내 기억의 무겐 점점더 무거워
안녕이라 외쳤던
제목따라 슬퍼졌어
아름다운 기억은 여전해
근데 그 기억에
자꾸 그기억만 더해
널 본 순간부터 내사랑은 안녕
근데 이제 볼수 없어진
내사랑 안녕
1절의 기억은 아직 내맘에
오늘도 눈을 떠보면 아직 내 안에
어쩌면 우린 당연한건지도 몰라
지금 감사의 의미는 난 뭔지 몰라
서로가 이제 너와나
너와나는 반대로 서로가
이건 다른 의미의 before sunset
다시 반갑게
맞이해주는 너를 볼래
이노랠 부를땐 널생각해
이노랠 부르지 않을 때까진
널생각해
내사랑 안녕
니가 어디에 있어도 안녕
어디있어도 내사랑 안녕
네가 내곁에 없어도 안녕
하루하루 마주보면서
웃음짓던 그자리에
이제는 홀로남아
너를 그려보고 있어
나와같지 않을까
용기내 전활 들어봐도
아무것도 못한채
한숨만 되내이고 있어
내사랑 안녕
니가 어디에 있어도 안녕 안녕"
830,In Love (Jose AM & Jack Mazzoni Remix),In Love (Jose AM & Jack Mazzoni Remix),20170210,2017,N/A
831,A Real Live Dead One,2 Minutes To Midnight,19980914,1998,"Kill for gain or shoot to maim
But we don't need a reason
The golden goose is on the loose
And never out of season
Some blackened pride still burns inside
This shell of bloody treason
Here's my gun for a barrel of fun
For the love of living death.

The killers breed or the Demon's seed,
The glamour, the fortune, the pain,
Go to war again, blood is freedom's stain
But don't you pray for my soul anymore.

2 minutes to midnight,
The hands that threaten doom.

2 minutes to midnight,
To kill the unborn in the womb.

The blind men shout let the creatures out
We'll show the unbelievers.
The Napalm screams of human flames
Of a prime time Belsen Feast.....Yeah!
As the reasons for the carnage cut their meat and lick the gravy,
We oil the jaws of the war machine and feed it with out babies.

The killers breed or the Demon's seed,
The glamour, the fortune, the pain,
Go to war again, blood is freedom's stain
But don't you pray for my soul anymore.

2 minutes to midnight,
The hands that threaten doom.
2 minutes to midnight,
To kill the unborn in the womb.

The body bags and little rags of children torn in two
And the jellied brains of those who remain to put the finger right on you,
As the Madmen play on words and make us all dance to their song,
To the tune of starving millions to make a better kind of gun.

The killers breed or the Demon's seed,
The glamour, the fortune, the pain,
Go to war again, blood is freedom's stain
But don't you pray for my soul anymore.

2 minutes to midnight,
The hands that threaten doom.
2 minutes to midnight,
To kill the unborn in the womb.

Midnight...all night"
832,Sweet Impact,So Real (ArmySlick`s Scratch Build Vocal),20070425,2007,"쟈난데손나카오시테타노
모요시테난데모나이나라시
메킷타키미노헤야와마루데
PRISM 맛쿠라나파라다이스
나이트쟈키레나이야미오
카케 네무이메오사마세
리아루나키미데인쟈나이
유메난카미나이데이
키미와키미데이이
신코큐시테토비다소 잇사이갓사이
부치깃테 멘도나코토와아토데

도스루노 햐쿠만넨맛테이루노
쿄마데모쿠효니모나이노
아시타모쿄토오나지데모이이노
소난데이와케나이
Cry 키코에테루키미노코에
제츠보난다 아나타
우마레타히오모이다소
잇쇼켄메닷타쟈나이
켓코간밧테타쟈나이
무네니다이테루키모치와
크레이지닷테 펑키닷테
젠젠돈돈시테레바이
와타시모히토리다요
키미다케쟈나이요
데모키즈리가메오토지나케랴
히토리니난카나라나이

다레니모나라나쿠테이
도아오케리야붓테사오의데
리아루나키미오이키로
나이테모 와랏테모 Yeah
키미와키미시카이나이
신코큐시테토비다소 잇사이갓사이
부치깃테멘도 나코토와아토데"
833,Lights And Sounds,Two Weeks From Twenty,20060124,2006,"Jimmy wasn't really popular
He had a couple of friends
back home
And sooner or later
they're all getting out
so he had to join up alone
He was dreaming of
the ivory league
since he was only
three feet tall
And get the hell out of jersey
and then he would never
look back at all
And then your heroes say
That miles away
We lost another one
that we sent with a gun
They're gonna miss him
he was two weeks from twenty
and there's still no shame
From the man to blame
Jimmy never had a reason
to stay
Cos all the factories
shut down
All he had was a line
for his name
So he could sign away
his right to be proud
He tried to kiss her
on the way out the door
She just put her little hand
on his face
I don't understand
why you're leaving she said
But I hope your gonna ask me
to wait
And then your heroes say
That miles away
We lost another one
that we sent with a gun
His lady missed him
he was two weeks from twenty
and there's still no shame
From the man to blame

Jimmy's mother went to
Capitol Hill
So she could fill her heart
up with joy
Maybe shake a few hands
while she's there
and tell them thank you
sir for taking my boy
And then your heroes say
That miles away
We lost another one
that we sent with a gun
His mama missed him
he was two weeks from twenty
and there's still no shame
From the man to blame
No there's still no shame
And we're all to blame
We're all to blame
We're all to blame
We're all to blame
We're all to blame"
834,Classic Nuts Vol. 1,Props Over Here (Explicit Version),20101206,2010,N/A
835,Wildheart (Standard Ver.) (Explicit),FLESH,20150626,2015,"Savage and an angel, we call out in tantrum
Glad I kept on your throat, we would rather turn down
And I think she bankrupt
Breathe, breathe, fast
Flesh, addicted, yeah
I mean it, I'm a mess, now
I'm a slave to your flesh
Woman put me right where I belong
Skin on you is always
Calling me with your face
Wrap yourself around me, do whatever I say
Kiss me like a cream pie, sweet, sweet control
Flesh, addicted, yeah
I mean it, I'm a mess, now
I'm a slave to your flesh
Woman put me right where I belong
Fall on your faith like you faith for religion
The light in the way, you're begging for forgiveness
Lost summers here as we both bathe in sweet sin
Leave it to me, I'll give you something to believe in
Surrender to friction kiss me, kiss me, kiss me, kiss me
This is body language and deep diction
I love it, back for it, yeah, yeah, yeah
Flesh, addicted, yeah
I mean it, I'm a mess, now I'm a slave to your flesh
Woman put me right and wrap it all
Come here darling, help me tackle this darling
I don't wanna let go
All of a sudden baby, darling no"
836,Very,Liberation,20010604,2001,N/A
837,타요 인기동요 1 (영어),Finger Family,20170510,2017,N/A
838,Cbw (Crazy Black Woman),Cbw (Crazy Black Woman),20141029,2014,N/A
839,새콤 달콤 유아동요 베스트 300,기운이나요,20170428,2017,"아침 일찍 일어나 마당을 쓸면

잡곡밥도 맛있고 기운이 나요

이웃끼리 도와서 일을 하면

마음도 즐겁고 기운이 나요

(반복)"
840,"These Days (Feat. Jess Glynne, Macklemore & Dan Caplen) (Acoustic)","These Days (Feat. Jess Glynne, Macklemore & Dan Caplen) (Acoustic)",20180223,2018,N/A
841,7080 멋진 당신의 팝송 (수지 큐!!! 아빠를 위한 추억의 올드팝 베스트),Welcome To My World,20090113,2009,N/A
842,Money On Me (Feat. Anderson .Paak),Money On Me (Feat. Anderson .Paak),20160401,2016,N/A
843,야망의 함정 OST,Stars On The Water,19930101,1993,N/A
844,조희연 피아노 명곡집 3,Rubinstein : 2 Melodies Op.3 - Melody No.1 In F Major (루빈슈타인 : 2개의 멜로디 작품번호 3 - 멜로디 1번 바장조),20101015,2010,N/A
845,Kiss Me,헤어지면서,19981200,1998,"오랫동안 사귀었던
정든 내 친구야
작별이란 왠 말인가
가야만 하는가
나에겐 우리가 함께 한
모든 시간들이
이제는 끝났다는 것이
그 아픈 사실이 힘들구나
함께 한 그 많은 웃음과
또 함께 흘렸던 많은 눈물들이
이제는 우리의 미래를
이끌어 줄 큰 힘이 될꺼야
오랫동안 사귀었던
정든 내 친구야
작별이란 왠 말인가
가야만 하는가
우리가 처음 만난
그 날이 아직도 선한데
이별을 말하고 있는 걸
도무지 믿을 수가 없구나
언젠가 세월이 흘러서
헤어진 우리가 다시 만난다면
맘 속 깊이 간직했었던
우리의 얘기를 또 나누자
어딜간들 잊으리오
두터운 우리 정
다시 만날
그 날 위해 노래를 부르자

이별 이란 또 다른 만남을
위한 거랬죠
우리는 새로운 모습으로
더 멋진 모습으로
다시 만날걸 약속해요"
846,Disney Family Christmas Collection,Sleigh Ride,20131125,2013,N/A
847,The Way We Were,Thinking Of My Brother (오빠생각),20090908,2009,N/A
848,그 다음은 나도 몰라요 / 청풍명월,청풍명월,20100301,2010,"사람이 좋아보여서 그대가 좋아보여서

그렇게 시작한 이제는 끝이난 눈물만 남은 내사랑



좋은 사람 편한 사람 나만을 사랑해준 그 사람

아니죠 이제는 아니죠 모질게 변한 그 사람

사랑해서 정말 미안합니다 못잊어서 정말 죄송합니다

이제 그대 흔적을 지우렵니다 한때 나의 전부를



사랑이 정말 싫어서 그런 거 이젠 안해요

이렇게 말해도 다시 또 찾겠죠 그대와 닮은 사람을



좋은 사람 좋은 여자 되려면 아직 부족 했나요

그래요 내가 좀 그래요 그래서 그댈 보냈죠

사랑해서 정말 미안합니다 못잊어서 정말 죄송합니다

이제 그대 흔적을 지우렵니다 한때 나의 전부를



사랑만 남겨놓고 이별만 남겨놓고

그럼 난 어떡하나요



속절없이 사랑했나봅니다 나란여자 미련했나봅니다

이제 그대 뒤에서 바라봅니다 눈물로 바라봅니다

사랑해서 정말 미안합니다 못잊어서 정말 죄송합니다

이제 그대 흔적을 지우렵니다 한때 나의 전부를



모두 다 지우렵니다 깨끗히 잊겠습니다"
849,Discovery (Mastersound),Last Train To London,19790000,1979,"It was 9:29...
9:29, back street, big city
The sun was going down
There was music all around
It felt so right.

It was one of those nights
One of those nights
When you feel the world stop turning
You were standing there
There was music in the air
I should have been away
But I knew I had to stay

CHORUS:
Last train to London, just heading out
Last train to London, just leaving town
But I really want tonight to last forever
I really want to be with you
Let the music play on down the line tonight.

It was one of those nights
One of those nights
When you feel the fire burning
Everybody was there
Everybody to share
It was so right.

There you were on your own
Looking like you were the only one around
I had to be with you
Nothing else that I could do
I should have been away
But I knew I had to stay.

REPEAT CHORUS

Underneath a starry sky
Time was still but hours must really have rushed by
I didn't realize
But love was in your eyes
I really should have gone
But love went on and on.

REPEAT CHORUS

But I really want tonight to last forever
I really want to be with you
Let the music play on down the line tonight."
850,Brahms : Nelson Freire,Brahms : Piano Sonata No.3 In F Minor Op.5 - V. Finale (Allegro Moderato Ma Rubato) (브람스 : 피아노 소나타 3번 바단조 작품번호 5 - 5악장),20170825,2017,N/A
851,Varanasi,Varanasi (Original Mix),20170201,2017,N/A
852,Out To Lunch (The Rudy Van Gelder Edition),Out To Lunch (Rudy Van Gelder Edition) (1999 - Remaster),19990323,1999,N/A
853,Adam,Monolith,20150303,2015,N/A
854,Greatest Hits,Man On Your Mind,20140310,2014,N/A
855,The Downward Spiral,March Of The Pigs,19940308,1994,"Step right up march push
Crawl right up on your knees
Please greed feed (no time to hesitate)
I want a little bit i want a piece of it i think he's losing it
I want to watch it come down
Don't like the look of it don't like the taste of it don't like the smell of it
I want to watch it come down
All the pigs are all lined up
I give you all that you want
Take the skin and peel it back
Now doesn't that make you feel better?
Shove it up inside surprise! lies
Stains like the blood on your teeth
Bite chew suck away the tender parts
I want to break it up i want to smash it up i want to fuck it up
I want to watch it come down
Maybe afraid of it let's discredit it let's pick away at it
I want to watch it come down
Now doesn't that make you feel better?
The pigs have won tonight
Now they can all sleep soundly
And everything is all right"
856,Let`s Dance,Let`s Dance (Magic Mix),19910615,1991,N/A
857,The Advent,Brave Warriors,20170929,2017,N/A
858,Platform,Home,20150515,2015,N/A
859,Snoop Dogg Presents Bible of Love,You (Feat. Tye Tribbett),20180316,2018,"Okay are y'all ready
Turn it up Snoop
Yeah let's go to church like yah
Come on
everybody clap your hands
Listen up let me testify
how God's been good to me
He came through for me time after time
Even when I didn't believe
When my life took a real bad turn
He turned it for my good
He never left me
He never left me even thought I forgot
Just like He said He would
Here we go You are
You are the antidote
You're the healing for my soul
You are the remedy
You have been so good to me
You are my heart's desire
You're the reason for this burning fire
You are the friend in me
Everything God that
I ever need is in You You
You You
Everything I'll ever need is in You You
You You
Everything I'll ever need is in You You
You You
Everything I'll ever need is in You You
You You
Here we go Verse 2
Everybody's got a story to
tell how good You are
About how You're the great Redeemer
And You brought us out of the dark
No words can even describe
just how good You've been
So glad that I know
You and that You're deep within
You are the antidote
You're the healing for my soul
You are the remedy
You have been so good to me
You are my heart's desire
You're the reason for this burning fire
You are the friend in me
Everything God that
I'll ever need is in You You
You You
My life
my health and strength is in You You
You You
Every blessing every good thing
it's in You You
You You
Hallelujah it's in You You
You You
Everybody just clap your hands like
You You
You You
Father You're everything to me
All I need is You You
You You
You're my joy You're my peace
all I need is You You
You You
I gotta lift my hands and praise You You
You You
Now everybody raise your voice
with me and sing oh
Oh-oh oh-o-oh Everybody sing oh
Oh-oh oh-o-oh Everybody sing oh
Oh-oh oh-o-oh Everybody sing oh
Oh-oh oh-o-oh Yeah everybody sing oh
Oh-oh oh-o-oh
Oh-oh oh-o-oh"
